sensor_id,timestamp,sensor_type,value,status,location
S5,2024-01-01,Pressure,26.619538490427523,OK,Location_A
S1,2024-01-02,Pressure,66.6226234388786,OK,Location_C
S4,2024-01-03,Humidity,47.246472577783706,WARN,Location_C
S4,2024-01-04,Pressure,42.53429551175635,OK,Location_C
S4,2024-01-05,Pressure,62.251034612955706,OK,Location_C
S2,2024-01-06,Pressure,48.89567541039722,OK,Location_A
S4,2024-01-07,Pressure,37.26510614695623,WARN,Location_B
S3,2024-01-08,Pressure,50.317861517293835,OK,Location_A
S5,2024-01-09,Temperature,54.623583343156184,WARN,Location_C
S1,2024-01-10,Humidity,53.53548350260829,OK,Location_A
S1,2024-01-11,Pressure,39.380206792639484,WARN,Location_A
S5,2024-01-12,Pressure,47.38645327189676,OK,Location_C
S3,2024-01-13,Humidity,38.28601481956669,WARN,Location_B
S2,2024-01-14,Pressure,31.42912561922099,OK,Location_C
S1,2024-01-15,Humidity,48.551837468729595,WARN,Location_C
S2,2024-01-16,Temperature,45.16131886738819,ERROR,Location_B
S2,2024-01-17,Pressure,42.20203022641696,WARN,Location_B
S1,2024-01-18,Pressure,62.139059463589874,WARN,Location_C
S2,2024-01-19,Temperature,28.7748798911323,ERROR,Location_B
S5,2024-01-20,Pressure,48.6223318905961,WARN,Location_C
S4,2024-01-21,Temperature,45.826773754263584,OK,Location_B
S1,2024-01-22,Temperature,45.934634729776405,OK,Location_C
S4,2024-01-23,Pressure,60.60951150092669,OK,Location_A
S1,2024-01-24,Temperature,48.964775038153,OK,Location_B
S3,2024-01-25,Pressure,51.41816828676621,OK,Location_B
S4,2024-01-26,Pressure,55.818197433471916,OK,Location_C
S1,2024-01-27,Pressure,63.54540640135772,OK,Location_C
S2,2024-01-28,Temperature,54.61577056767499,ERROR,Location_A
S4,2024-01-29,Temperature,43.482847239838804,OK,Location_C
S4,2024-01-30,Temperature,50.00038117194301,OK,Location_B
S4,2024-01-31,Humidity,58.89754309871687,OK,Location_C
S1,2024-02-01,Pressure,38.437185317439095,WARN,Location_A
S2,2024-02-02,Temperature,53.972173966355115,OK,Location_B
S2,2024-02-03,Humidity,55.76847700627731,OK,Location_C
S2,2024-02-04,Pressure,50.60000092637698,OK,Location_A
S1,2024-02-05,Pressure,55.137938415420244,OK,Location_C
S3,2024-02-06,Pressure,43.42822970782548,WARN,Location_B
S5,2024-02-07,Humidity,43.19020920687608,ERROR,Location_C
S4,2024-02-08,Temperature,53.547696644226804,OK,Location_B
S4,2024-02-09,Temperature,35.65845606264429,ERROR,Location_A
S3,2024-02-10,Temperature,54.71743384817711,OK,Location_A
S5,2024-02-11,Temperature,49.519555859258624,OK,Location_B
S3,2024-02-12,Pressure,44.19361676502443,OK,Location_A
S1,2024-02-13,Pressure,52.52785256631332,WARN,Location_C
S1,2024-02-14,Temperature,49.81062581789028,OK,Location_A
S5,2024-02-15,Temperature,43.093169421262175,OK,Location_B
S1,2024-02-16,Temperature,57.997616451649066,WARN,Location_C
S5,2024-02-17,Humidity,72.141411963167,OK,Location_A
S2,2024-02-18,Pressure,54.38871416531386,WARN,Location_C
S5,2024-02-19,Temperature,56.382597023506435,WARN,Location_A
S2,2024-02-20,Temperature,70.15841384033298,OK,Location_A
S3,2024-02-21,Humidity,47.56347249423605,OK,Location_B
S3,2024-02-22,Temperature,65.33835655123268,OK,Location_A
S1,2024-02-23,Pressure,57.647502303607354,OK,Location_B
S2,2024-02-24,Humidity,25.433209771637234,OK,Location_A
S2,2024-02-25,Humidity,32.963512894636494,OK,Location_C
S2,2024-02-26,Humidity,54.20153073621759,OK,Location_A
S2,2024-02-27,Temperature,47.018509253291164,OK,Location_C
S4,2024-02-28,Temperature,52.63602189757979,OK,Location_B
S4,2024-02-29,Temperature,57.31265924384392,WARN,Location_A
S3,2024-03-01,Humidity,52.28070417081272,OK,Location_C
S4,2024-03-02,Humidity,29.71476087372228,WARN,Location_A
S1,2024-03-03,Pressure,59.661904030944015,OK,Location_C
S4,2024-03-04,Humidity,48.130782008978,OK,Location_A
S5,2024-03-05,Temperature,45.276751655280236,OK,Location_C
S2,2024-03-06,Temperature,69.36655873094114,OK,Location_C
S3,2024-03-07,Humidity,64.77340421407176,WARN,Location_A
S5,2024-03-08,Pressure,49.151098914504594,OK,Location_A
S4,2024-03-09,Humidity,54.27696570095941,OK,Location_C
S5,2024-03-10,Humidity,46.95720408279328,OK,Location_B
S5,2024-03-11,Humidity,52.046245707436015,OK,Location_B
S5,2024-03-12,Temperature,49.166618364842805,WARN,Location_B
S4,2024-03-13,Temperature,68.28930938732488,OK,Location_B
S5,2024-03-14,Temperature,47.55820522181534,WARN,Location_A
S5,2024-03-15,Humidity,54.75260833707962,ERROR,Location_C
S5,2024-03-16,Pressure,42.85783810186742,WARN,Location_B
S1,2024-03-17,Humidity,38.13064131515511,OK,Location_B
S5,2024-03-18,Humidity,56.088908373077196,OK,Location_B
S4,2024-03-19,Temperature,55.0422279138773,WARN,Location_B
S3,2024-03-20,Temperature,44.86004377418803,OK,Location_C
S1,2024-03-21,Humidity,58.18475365163381,OK,Location_A
S2,2024-03-22,Pressure,61.56600110070067,OK,Location_C
S2,2024-03-23,Temperature,41.9631116248965,OK,Location_B
S4,2024-03-24,Pressure,44.48437721373486,WARN,Location_B
S1,2024-03-25,Pressure,46.6758620708129,OK,Location_B
S1,2024-03-26,Humidity,68.44516490418461,OK,Location_B
S2,2024-03-27,Humidity,45.772240567846126,OK,Location_C
S3,2024-03-28,Humidity,54.8765942915811,OK,Location_A
S5,2024-03-29,Pressure,46.24172305018209,OK,Location_B
S3,2024-03-30,Temperature,52.278507662917846,OK,Location_C
S1,2024-03-31,Temperature,57.03788681874696,OK,Location_B
S4,2024-04-01,Humidity,42.022001148624064,OK,Location_B
S3,2024-04-02,Temperature,43.24100068614531,OK,Location_B
S3,2024-04-03,Pressure,40.774536745211584,OK,Location_C
S1,2024-04-04,Pressure,45.51413654303424,OK,Location_A
S2,2024-04-05,Temperature,51.819790990558296,ERROR,Location_C
S1,2024-04-06,Pressure,47.79916237960298,OK,Location_C
S3,2024-04-07,Pressure,50.24956183343096,WARN,Location_C
S3,2024-04-08,Pressure,41.08105187847235,WARN,Location_C
S4,2024-04-09,Humidity,55.70080807385633,OK,Location_C
