시점,사교육참여율,지역별
2009.01,68.100,강원
2009.02,67.967,강원
2009.03,67.833,강원
2009.04,67.700,강원
2009.05,67.567,강원
2009.06,67.433,강원
2009.07,67.300,강원
2009.08,67.167,강원
2009.09,67.033,강원
2009.10,66.900,강원
2009.11,66.767,강원
2009.12,66.633,강원
2010.01,66.500,강원
2010.02,66.050,강원
2010.03,65.600,강원
2010.04,65.150,강원
2010.05,64.700,강원
2010.06,64.250,강원
2010.07,63.800,강원
2010.08,63.350,강원
2010.09,62.900,강원
2010.10,62.450,강원
2010.11,62.000,강원
2010.12,61.550,강원
2011.01,61.100,강원
2011.02,61.383,강원
2011.03,61.667,강원
2011.04,61.950,강원
2011.05,62.233,강원
2011.06,62.517,강원
2011.07,62.800,강원
2011.08,63.083,강원
2011.09,63.367,강원
2011.10,63.650,강원
2011.11,63.933,강원
2011.12,64.217,강원
2012.01,64.500,강원
2012.02,64.283,강원
2012.03,64.067,강원
2012.04,63.850,강원
2012.05,63.633,강원
2012.06,63.417,강원
2012.07,63.200,강원
2012.08,62.983,강원
2012.09,62.767,강원
2012.10,62.550,강원
2012.11,62.333,강원
2012.12,62.117,강원
2013.01,61.900,강원
2013.02,61.817,강원
2013.03,61.733,강원
2013.04,61.650,강원
2013.05,61.567,강원
2013.06,61.483,강원
2013.07,61.400,강원
2013.08,61.317,강원
2013.09,61.233,강원
2013.10,61.150,강원
2013.11,61.067,강원
2013.12,60.983,강원
2014.01,60.900,강원
2014.02,61.008,강원
2014.03,61.117,강원
2014.04,61.225,강원
2014.05,61.333,강원
2014.06,61.442,강원
2014.07,61.550,강원
2014.08,61.658,강원
2014.09,61.767,강원
2014.10,61.875,강원
2014.11,61.983,강원
2014.12,62.092,강원
2015.01,62.200,강원
2015.02,62.133,강원
2015.03,62.067,강원
2015.04,62.000,강원
2015.05,61.933,강원
2015.06,61.867,강원
2015.07,61.800,강원
2015.08,61.733,강원
2015.09,61.667,강원
2015.10,61.600,강원
2015.11,61.533,강원
2015.12,61.467,강원
2016.01,61.400,강원
2016.02,61.742,강원
2016.03,62.083,강원
2016.04,62.425,강원
2016.05,62.767,강원
2016.06,63.108,강원
2016.07,63.450,강원
2016.08,63.792,강원
2016.09,64.133,강원
2016.10,64.475,강원
2016.11,64.817,강원
2016.12,65.158,강원
2017.01,65.500,강원
2017.02,65.525,강원
2017.03,65.550,강원
2017.04,65.575,강원
2017.05,65.600,강원
2017.06,65.625,강원
2017.07,65.650,강원
2017.08,65.675,강원
2017.09,65.700,강원
2017.10,65.725,강원
2017.11,65.750,강원
2017.12,65.775,강원
2018.01,65.800,강원
2018.02,65.792,강원
2018.03,65.783,강원
2018.04,65.775,강원
2018.05,65.767,강원
2018.06,65.758,강원
2018.07,65.750,강원
2018.08,65.742,강원
2018.09,65.733,강원
2018.10,65.725,강원
2018.11,65.717,강원
2018.12,65.708,강원
2019.01,65.700,강원
2019.02,65.525,강원
2019.03,65.350,강원
2019.04,65.175,강원
2019.05,65.000,강원
2019.06,64.825,강원
2019.07,64.650,강원
2019.08,64.475,강원
2019.09,64.300,강원
2019.10,64.125,강원
2019.11,63.950,강원
2019.12,63.775,강원
2020.01,63.600,강원
2020.02,64.108,강원
2020.03,64.617,강원
2020.04,65.125,강원
2020.05,65.633,강원
2020.06,66.142,강원
2020.07,66.650,강원
2020.08,67.158,강원
2020.09,67.667,강원
2020.10,68.175,강원
2020.11,68.683,강원
2020.12,69.192,강원
2021.01,69.700,강원
2021.02,69.750,강원
2021.03,69.800,강원
2021.04,69.850,강원
2021.05,69.900,강원
2021.06,69.950,강원
2021.07,70.000,강원
2021.08,70.050,강원
2021.09,70.100,강원
2021.10,70.150,강원
2021.11,70.200,강원
2021.12,70.250,강원
2022.01,70.300,강원
2022.02,70.492,강원
2022.03,70.683,강원
2022.04,70.875,강원
2022.05,71.067,강원
2022.06,71.258,강원
2022.07,71.450,강원
2022.08,71.642,강원
2022.09,71.833,강원
2022.10,72.025,강원
2022.11,72.217,강원
2022.12,72.408,강원
2023.01,72.600,강원
2009.01,77.400,경기
2009.02,77.325,경기
2009.03,77.250,경기
2009.04,77.175,경기
2009.05,77.100,경기
2009.06,77.025,경기
2009.07,76.950,경기
2009.08,76.875,경기
2009.09,76.800,경기
2009.10,76.725,경기
2009.11,76.650,경기
2009.12,76.575,경기
2010.01,76.500,경기
2010.02,76.408,경기
2010.03,76.317,경기
2010.04,76.225,경기
2010.05,76.133,경기
2010.06,76.042,경기
2010.07,75.950,경기
2010.08,75.858,경기
2010.09,75.767,경기
2010.10,75.675,경기
2010.11,75.583,경기
