"지역별","시점","사교육참여율"
"서울","2009",79.6
"서울","2010",77.5
"서울","2011",77.0
"서울","2012",73.5
"서울","2013",75.0
"서울","2014",74.4
"서울","2015",74.3
"서울","2016",73.7
"서울","2017",77.6
"서울","2018",79.9
"서울","2019",80.0
"서울","2020",75.0
"서울","2021",81.5
"서울","2022",84.3
"서울","2023",84.8
"부산광역시","2009",72.4
"부산광역시","2010",72.7
"부산광역시","2011",69.7
"부산광역시","2012",68.7
"부산광역시","2013",67.3
"부산광역시","2014",65.8
"부산광역시","2015",67.8
"부산광역시","2016",69.8
"부산광역시","2017",73.0
"부산광역시","2018",70.3
"부산광역시","2019",75.9
"부산광역시","2020",67.1
"부산광역시","2021",77.4
"부산광역시","2022",78.7
"부산광역시","2023",80.1
"대구광역시","2009",77.5
"대구광역시","2010",77.4
"대구광역시","2011",74.4
"대구광역시","2012",75.4
"대구광역시","2013",71.9
"대구광역시","2014",70.3
"대구광역시","2015",71.3
"대구광역시","2016",68.9
"대구광역시","2017",74.0
"대구광역시","2018",73.7
"대구광역시","2019",75.5
"대구광역시","2020",65.9
"대구광역시","2021",79.1
"대구광역시","2022",79.9
"대구광역시","2023",80.2
"인천광역시","2009",73.9
"인천광역시","2010",72.1
"인천광역시","2011",70.0
"인천광역시","2012",66.6
"인천광역시","2013",65.3
"인천광역시","2014",65.9
"인천광역시","2015",65.9
"인천광역시","2016",64.9
"인천광역시","2017",68.0
"인천광역시","2018",72.6
"인천광역시","2019",75.1
"인천광역시","2020",66.6
"인천광역시","2021",73.9
"인천광역시","2022",77.9
"인천광역시","2023",77.3
"광주광역시","2009",75.9
"광주광역시","2010",74.5
"광주광역시","2011",72.7
"광주광역시","2012",70.8
"광주광역시","2013",69.8
"광주광역시","2014",68.7
"광주광역시","2015",68.8
"광주광역시","2016",64.8
"광주광역시","2017",68.7
"광주광역시","2018",69.4
"광주광역시","2019",73.7
"광주광역시","2020",67.1
"광주광역시","2021",73.6
"광주광역시","2022",74.9
"광주광역시","2023",76.3
"대전광역시","2009",74.2
"대전광역시","2010",75.4
"대전광역시","2011",73.2
"대전광역시","2012",73.4
"대전광역시","2013",72.7
"대전광역시","2014",70.5
"대전광역시","2015",70.2
"대전광역시","2016",68.8
"대전광역시","2017",72.7
"대전광역시","2018",73.8
"대전광역시","2019",74.5
"대전광역시","2020",68.2
"대전광역시","2021",75.6
"대전광역시","2022",77.7
"대전광역시","2023",77.9
"울산광역시","2009",75.4
"울산광역시","2010",73.5
"울산광역시","2011",72.3
"울산광역시","2012",70.9
"울산광역시","2013",67.3
"울산광역시","2014",67.6
"울산광역시","2015",69.6
"울산광역시","2016",68.1
"울산광역시","2017",69.4
"울산광역시","2018",73.3
"울산광역시","2019",73.0
"울산광역시","2020",65.2
"울산광역시","2021",73.7
"울산광역시","2022",78.4
"울산광역시","2023",78.2
"세종특별자치시","2014",66.3
"세종특별자치시","2015",67.7
"세종특별자치시","2016",69.2
"세종특별자치시","2017",74.5
"세종특별자치시","2018",77.9
"세종특별자치시","2019",81.3
"세종특별자치시","2020",73.0
"세종특별자치시","2021",81.1
"세종특별자치시","2022",80.5
"세종특별자치시","2023",83.9
"경기도","2009",77.4
"경기도","2010",76.5
"경기도","2011",75.4
"경기도","2012",70.9
"경기도","2013",72.0
"경기도","2014",72.8
"경기도","2015",72.3
"경기도","2016",71.5
"경기도","2017",74.0
"경기도","2018",76.1
"경기도","2019",78.3
"경기도","2020",68.4
"경기도","2021",77.6
"경기도","2022",82.1
"경기도","2023",81.9
"강원특별자치도","2009",68.1
"강원특별자치도","2010",66.5
"강원특별자치도","2011",61.1
"강원특별자치도","2012",64.5
"강원특별자치도","2013",61.9
"강원특별자치도","2014",60.9
"강원특별자치도","2015",62.2
"강원특별자치도","2016",61.4
"강원특별자치도","2017",65.5
"강원특별자치도","2018",65.8
"강원특별자치도","2019",65.7
"강원특별자치도","2020",63.6
"강원특별자치도","2021",69.7
"강원특별자치도","2022",70.3
"강원특별자치도","2023",72.6
"충청북도","2009",69.4
"충청북도","2010",66.9
"충청북도","2011",64.9
"충청북도","2012",63.9
"충청북도","2013",62.5
"충청북도","2014",60.7
"충청북도","2015",61.6
"충청북도","2016",60.5
"충청북도","2017",63.0
"충청북도","2018",69.4
"충청북도","2019",69.0
"충청북도","2020",61.6
"충청북도","2021",69.5
"충청북도","2022",73.1
"충청북도","2023",72.0
"충청남도","2009",68.5
"충청남도","2010",66.2
"충청남도","2011",66.7
"충청남도","2012",61.2
"충청남도","2013",60.7
"충청남도","2014",61.1
"충청남도","2015",61.2
"충청남도","2016",58.8
"충청남도","2017",64.6
"충청남도","2018",63.7
"충청남도","2019",69.4
"충청남도","2020",59.2
"충청남도","2021",67.2
"충청남도","2022",68.9
"충청남도","2023",70.2
"전북특별자치도","2009",65.8
"전북특별자치도","2010",65.2
"전북특별자치도","2011",60.9
"전북특별자치도","2012",62.0
"전북특별자치도","2013",59.9
