시점,사설학원수,지역별
2003.01,2146.000,강원
2003.02,2134.833,강원
2003.03,2123.667,강원
2003.04,2112.500,강원
2003.05,2101.333,강원
2003.06,2090.167,강원
2003.07,2079.000,강원
2003.08,2067.833,강원
2003.09,2056.667,강원
2003.10,2045.500,강원
2003.11,2034.333,강원
2003.12,2023.167,강원
2004.01,2012.000,강원
2004.02,2022.583,강원
2004.03,2033.167,강원
2004.04,2043.750,강원
2004.05,2054.333,강원
2004.06,2064.917,강원
2004.07,2075.500,강원
2004.08,2086.083,강원
2004.09,2096.667,강원
2004.10,2107.250,강원
2004.11,2117.833,강원
2004.12,2128.417,강원
2005.01,2139.000,강원
2005.02,2144.917,강원
2005.03,2150.833,강원
2005.04,2156.750,강원
2005.05,2162.667,강원
2005.06,2168.583,강원
2005.07,2174.500,강원
2005.08,2180.417,강원
2005.09,2186.333,강원
2005.10,2192.250,강원
2005.11,2198.167,강원
2005.12,2204.083,강원
2006.01,2210.000,강원
2006.02,2218.750,강원
2006.03,2227.500,강원
2006.04,2236.250,강원
2006.05,2245.000,강원
2006.06,2253.750,강원
2006.07,2262.500,강원
2006.08,2271.250,강원
2006.09,2280.000,강원
2006.10,2288.750,강원
2006.11,2297.500,강원
2006.12,2306.250,강원
2007.01,2315.000,강원
2007.02,2315.583,강원
2007.03,2316.167,강원
2007.04,2316.750,강원
2007.05,2317.333,강원
2007.06,2317.917,강원
2007.07,2318.500,강원
2007.08,2319.083,강원
2007.09,2319.667,강원
2007.10,2320.250,강원
2007.11,2320.833,강원
2007.12,2321.417,강원
2008.01,2322.000,강원
2008.02,2327.917,강원
2008.03,2333.833,강원
2008.04,2339.750,강원
2008.05,2345.667,강원
2008.06,2351.583,강원
2008.07,2357.500,강원
2008.08,2363.417,강원
2008.09,2369.333,강원
2008.10,2375.250,강원
2008.11,2381.167,강원
2008.12,2387.083,강원
2009.01,2393.000,강원
2009.02,2398.250,강원
2009.03,2403.500,강원
2009.04,2408.750,강원
