"지역별","시점","사설학원수"
"서울","2003",11176
"서울","2004",11382
"서울","2005",11603
"서울","2006",11794
"서울","2007",11549
"서울","2008",12006
"서울","2009",12086
"서울","2010",13168
"서울","2011",13477
"서울","2012",13688
"서울","2013",13405
"서울","2014",13671
"서울","2015",13989
"서울","2016",13974
"서울","2017",14189
"서울","2018",14080
"서울","2019",14044
"서울","2020",13992
"서울","2021",13809
"서울","2022",14414
"서울","2023",14832
"부산광역시","2003",4987
"부산광역시","2004",4842
"부산광역시","2005",4661
"부산광역시","2006",4709
"부산광역시","2007",4779
"부산광역시","2008",4751
"부산광역시","2009",4751
"부산광역시","2010",4860
"부산광역시","2011",5026
"부산광역시","2012",4859
"부산광역시","2013",4638
"부산광역시","2014",4529
"부산광역시","2015",4696
"부산광역시","2016",4708
"부산광역시","2017",4748
"부산광역시","2018",4666
"부산광역시","2019",4790
"부산광역시","2020",4938
"부산광역시","2021",5000
"부산광역시","2022",5164
"부산광역시","2023",5400
"대구광역시","2003",2978
"대구광역시","2004",2907
"대구광역시","2005",2908
"대구광역시","2006",3041
"대구광역시","2007",2929
"대구광역시","2008",2978
"대구광역시","2009",3435
"대구광역시","2010",3910
"대구광역시","2011",3746
"대구광역시","2012",3542
"대구광역시","2013",3639
"대구광역시","2014",3651
"대구광역시","2015",3639
"대구광역시","2016",3744
"대구광역시","2017",3815
"대구광역시","2018",3901
"대구광역시","2019",3948
"대구광역시","2020",3941
"대구광역시","2021",3968
"대구광역시","2022",4146
"대구광역시","2023",4354
"인천광역시","2003",2778
"인천광역시","2004",2766
"인천광역시","2005",2678
"인천광역시","2006",2652
"인천광역시","2007",2684
"인천광역시","2008",2879
"인천광역시","2009",2853
"인천광역시","2010",2924
"인천광역시","2011",2831
"인천광역시","2012",3338
"인천광역시","2013",3198
"인천광역시","2014",3167
"인천광역시","2015",3209
"인천광역시","2016",3395
"인천광역시","2017",3585
"인천광역시","2018",3702
"인천광역시","2019",3747
"인천광역시","2020",3904
"인천광역시","2021",3897
"인천광역시","2022",4126
"인천광역시","2023",4421
"광주광역시","2003",2646
"광주광역시","2004",2515
"광주광역시","2005",2667
"광주광역시","2006",2640
"광주광역시","2007",2420
"광주광역시","2008",2760
"광주광역시","2009",2211
"광주광역시","2010",2476
"광주광역시","2011",2281
"광주광역시","2012",2038
"광주광역시","2013",3368
"광주광역시","2014",3497
"광주광역시","2015",3535
