"지역별","특성별(1)","특성별(2)",시점,매우효과있음,약간효과있음,보통,별로효과없음,전혀효과없음,모르겠음
"서울","전체","계",2008,5.9,27.3,38.7,20.5,4.1,3.6
"서울","전체","계",2010,7.4,27.6,37.6,17.5,5.6,4.2
"서울","전체","계",2012,7.3,26.9,41.2,17.4,4.6,2.6
"서울","전체","계",2014,7.7,26.6,38.3,17.3,4.8,5.3
"서울","전체","계",2016,7.6,25.9,41.1,18.3,4.8,2.4
"서울","전체","계",2018,6.4,25.4,41.0,18.7,5.3,3.2
"서울","전체","계",2020,9.8,30.0,37.0,15.0,3.6,4.6
"서울","전체","계",2022,12.4,31.1,34.0,14.6,4.0,3.9
"부산광역시","전체","계",2008,6.2,25.0,40.0,19.4,4.5,4.9
"부산광역시","전체","계",2010,6.0,23.5,41.9,20.9,4.2,3.5
"부산광역시","전체","계",2012,5.6,31.8,37.7,17.9,4.2,2.9
"부산광역시","전체","계",2014,11.7,29.5,34.7,15.0,4.6,4.5
"부산광역시","전체","계",2016,11.1,30.3,36.7,14.7,4.0,3.2
"부산광역시","전체","계",2018,11.5,33.4,32.1,14.2,3.9,4.9
"부산광역시","전체","계",2020,13.4,29.8,35.3,13.4,2.8,5.3
"부산광역시","전체","계",2022,15.6,30.8,34.1,11.8,4.1,3.7
"대구광역시","전체","계",2008,4.0,25.8,40.3,21.8,3.8,4.4
"대구광역시","전체","계",2010,3.9,23.6,42.2,20.2,4.7,5.3
"대구광역시","전체","계",2012,6.3,29.1,40.0,18.2,3.8,2.6
"대구광역시","전체","계",2014,6.0,25.7,43.9,16.4,3.8,4.2
"대구광역시","전체","계",2016,5.7,28.1,41.6,17.7,3.3,3.5
"대구광역시","전체","계",2018,5.5,26.5,42.5,17.1,4.0,4.4
"대구광역시","전체","계",2020,9.1,31.0,38.5,15.7,3.0,2.6
"대구광역시","전체","계",2022,12.9,30.5,39.4,11.7,3.5,2.0
"인천광역시","전체","계",2008,4.5,21.9,42.1,21.5,5.1,4.8
"인천광역시","전체","계",2010,5.6,22.6,43.5,17.9,5.3,5.0
"인천광역시","전체","계",2012,6.9,25.0,40.3,17.5,4.8,5.6
"인천광역시","전체","계",2014,7.2,26.9,39.9,16.2,5.5,4.2
"인천광역시","전체","계",2016,6.8,27.0,41.1,16.7,4.7,3.7
"인천광역시","전체","계",2018,7.7,24.1,36.6,20.5,5.5,5.6
"인천광역시","전체","계",2020,9.0,27.6,37.8,15.6,4.7,5.3
