"지역별","특성별(1)","특성별(2)",시점,매우 만족,약간 만족,보통,약간 불만족,매우 불만족
"서울","전체","계",2008,8.7,41.7,43.1,5.3,1.3
"서울","전체","계",2010,10.9,38.6,45.1,5.0,0.4
"서울","전체","계",2012,10.1,38.9,41.9,7.0,2.0
"서울","전체","계",2014,13.7,37.6,43.4,4.1,1.2
"서울","전체","계",2016,13.4,40.2,40.8,4.7,0.9
"서울","전체","계",2018,14.7,49.2,33.9,2.2,-
"서울","전체","계",2020,25.6,40.8,26.1,6.4,1.1
"서울","전체","계",2022,19.9,27.2,49.1,3.4,0.5
"부산광역시","전체","계",2008,11.7,41.7,41.3,4.5,0.9
"부산광역시","전체","계",2010,5.2,33.6,50.1,9.3,1.9
"부산광역시","전체","계",2012,7.6,40.8,45.1,4.2,2.4
"부산광역시","전체","계",2014,12.0,41.8,39.3,6.6,0.3
"부산광역시","전체","계",2016,13.5,41.2,39.1,5.9,0.3
"부산광역시","전체","계",2018,20.4,40.8,34.4,3.5,0.9
"부산광역시","전체","계",2020,28.1,33.9,35.9,2.1,-
"부산광역시","전체","계",2022,23.9,24.0,47.9,3.1,1.1
"대구광역시","전체","계",2008,8.8,41.2,45.6,3.3,1.1
"대구광역시","전체","계",2010,7.0,38.6,51.4,2.7,0.4
"대구광역시","전체","계",2012,7.1,37.3,47.3,8.0,0.2
"대구광역시","전체","계",2014,9.7,35.5,48.4,5.3,1.2
"대구광역시","전체","계",2016,9.9,42.4,44.0,2.7,1.0
"대구광역시","전체","계",2018,17.5,34.8,46.8,0.9,-
"대구광역시","전체","계",2020,12.0,36.8,47.8,3.3,-
"대구광역시","전체","계",2022,24.6,31.0,36.8,6.5,1.2
"인천광역시","전체","계",2008,13.5,33.9,45.2,6.5,0.9
"인천광역시","전체","계",2010,12.0,35.8,46.6,5.6,-
"인천광역시","전체","계",2012,10.4,32.1,50.3,5.1,2.1
"인천광역시","전체","계",2014,17.3,36.4,40.7,5.0,0.7
"인천광역시","전체","계",2016,16.0,34.8,43.9,3.6,1.7
"인천광역시","전체","계",2018,23.7,38.5,33.1,3.9,0.7
"인천광역시","전체","계",2020,37.8,23.2,33.1,4.1,1.7
"인천광역시","전체","계",2022,20.7,27.3,38.3,13.7,-
"광주광역시","전체","계",2008,15.5,40.6,38.6,5.2,-
"광주광역시","전체","계",2010,7.5,37.9,47.2,6.2,1.1
"광주광역시","전체","계",2012,12.0,35.9,48.7,2.3,1.1
"광주광역시","전체","계",2014,6.2,34.4,53.3,5.0,1.1
"광주광역시","전체","계",2016,9.8,33.3,51.0,4.9,1.0
"광주광역시","전체","계",2018,16.5,44.5,35.1,1.6,2.3
"광주광역시","전체","계",2020,25.9,44.7,24.3,5.1,-
"광주광역시","전체","계",2022,25.9,37.1,35.8,-,1.2
"대전광역시","전체","계",2008,12.1,29.7,53.6,3.4,1.2
"대전광역시","전체","계",2010,8.9,36.2,48.8,4.5,1.7
"대전광역시","전체","계",2012,10.8,35.6,44.4,8.4,0.8
"대전광역시","전체","계",2014,16.2,37.6,39.1,6.5,0.6
"대전광역시","전체","계",2016,12.4,32.6,47.3,4.6,3.1
"대전광역시","전체","계",2018,16.4,40.0,40.7,2.9,-
"대전광역시","전체","계",2020,26.4,35.5,33.2,4.9,-
"대전광역시","전체","계",2022,14.8,42.2,41.8,1.2,-
"울산광역시","전체","계",2008,12.1,33.4,45.7,8.2,0.6
"울산광역시","전체","계",2010,8.3,37.3,43.7,9.6,1.1
"울산광역시","전체","계",2012,6.1,29.6,55.8,7.0,1.5
"울산광역시","전체","계",2014,9.3,38.4,48.5,3.3,0.5
"울산광역시","전체","계",2016,13.0,34.2,47.8,3.8,1.2
"울산광역시","전체","계",2018,20.7,38.3,38.0,3.0,-
"울산광역시","전체","계",2020,26.1,31.0,39.0,3.1,0.9
"울산광역시","전체","계",2022,25.9,25.2,39.8,9.1,-
"세종특별자치시","전체","계",2016,17.9,35.3,43.1,2.5,1.2
"세종특별자치시","전체","계",2018,22.5,45.8,30.8,0.9,-
"세종특별자치시","전체","계",2020,19.1,37.1,34.8,6.5,2.4
"세종특별자치시","전체","계",2022,28.7,21.0,45.8,4.5,-
"경기도","전체","계",2008,12.0,41.5,39.4,5.8,1.3
"경기도","전체","계",2010,7.6,38.7,46.7,6.4,0.6
"경기도","전체","계",2012,11.0,36.0,46.5,6.0,0.5
"경기도","전체","계",2014,14.5,35.9,40.5,8.3,0.9
"경기도","전체","계",2016,13.9,38.9,39.6,6.3,1.2
"경기도","전체","계",2018,18.0,36.7,37.9,7.2,0.3
"경기도","전체","계",2020,25.2,30.8,38.9,3.4,1.6
"경기도","전체","계",2022,23.1,26.4,46.4,2.9,1.1
"강원특별자치도","전체","계",2008,13.9,37.8,44.9,3.4,-
"강원특별자치도","전체","계",2010,8.1,39.6,43.8,8.1,0.5
"강원특별자치도","전체","계",2012,12.7,33.5,43.4,8.9,1.5
"강원특별자치도","전체","계",2014,13.6,33.1,45.8,4.5,3.0
"강원특별자치도","전체","계",2016,9.8,44.7,36.8,6.4,2.3
"강원특별자치도","전체","계",2018,12.9,39.8,42.3,5.0,-
"강원특별자치도","전체","계",2020,24.5,36.6,33.7,5.2,-
"강원특별자치도","전체","계",2022,31.8,20.8,39.9,7.4,-
"충청북도","전체","계",2008,10.9,35.7,44.1,8.1,1.2
"충청북도","전체","계",2010,10.8,32.7,47.6,6.7,2.1
"충청북도","전체","계",2012,11.0,32.1,44.5,10.0,2.3
"충청북도","전체","계",2014,13.1,36.9,42.8,6.2,1.0
"충청북도","전체","계",2016,14.7,36.2,41.7,5.8,1.5
"충청북도","전체","계",2018,20.8,39.9,36.2,3.1,-
"충청북도","전체","계",2020,22.6,37.1,37.5,2.8,-
"충청북도","전체","계",2022,16.7,43.7,33.4,6.2,-
"충청남도","전체","계",2008,20.2,43.0,32.7,3.4,0.7
"충청남도","전체","계",2010,13.2,45.8,38.7,1.0,1.3
"충청남도","전체","계",2012,11.8,31.4,47.2,9.3,0.4
"충청남도","전체","계",2014,11.5,36.5,48.4,3.0,0.7
"충청남도","전체","계",2016,16.6,48.6,32.3,2.2,0.3
"충청남도","전체","계",2018,19.5,40.2,34.9,4.4,1.0
"충청남도","전체","계",2020,27.9,33.4,35.6,3.1,-
"충청남도","전체","계",2022,29.0,29.6,35.4,5.0,1.1
"전북특별자치도","전체","계",2008,7.6,47.8,40.2,3.7,0.7
"전북특별자치도","전체","계",2010,10.6,32.2,49.8,5.3,2.0
"전북특별자치도","전체","계",2012,7.8,30.6,51.4,8.9,1.3
"전북특별자치도","전체","계",2014,7.4,33.3,53.9,4.2,1.2
"전북특별자치도","전체","계",2016,11.1,34.2,46.1,5.4,3.2
"전북특별자치도","전체","계",2018,14.2,35.6,44.9,4.8,0.6
"전북특별자치도","전체","계",2020,16.7,30.3,47.9,4.1,1.1
"전북특별자치도","전체","계",2022,12.1,29.4,49.4,4.9,4.2
"전라남도","전체","계",2008,20.8,30.1,46.9,1.9,0.3
"전라남도","전체","계",2010,8.9,44.8,39.8,6.2,0.3
"전라남도","전체","계",2012,16.1,28.1,51.7,3.7,0.4
"전라남도","전체","계",2014,7.8,33.6,50.5,6.1,2.1
"전라남도","전체","계",2016,11.7,40.8,42.8,4.7,-
"전라남도","전체","계",2018,22.6,35.4,35.2,3.1,3.7
"전라남도","전체","계",2020,28.0,39.6,30.9,1.5,-
"전라남도","전체","계",2022,25.1,32.6,30.4,8.8,3.2
"경상북도","전체","계",2008,10.6,36.5,49.6,3.2,-
"경상북도","전체","계",2010,9.5,31.0,49.0,8.9,1.7
"경상북도","전체","계",2012,12.1,35.3,50.2,1.9,0.5
"경상북도","전체","계",2014,11.7,37.1,47.7,3.0,0.4
"경상북도","전체","계",2016,16.1,30.0,49.5,4.4,-
"경상북도","전체","계",2018,16.4,43.0,38.9,1.3,0.4
"경상북도","전체","계",2020,16.1,29.2,51.8,3.0,-
"경상북도","전체","계",2022,19.5,28.6,51.0,1.0,-
"경상남도","전체","계",2008,15.4,29.9,49.3,4.6,0.8
"경상남도","전체","계",2010,8.5,36.0,47.8,7.8,-
"경상남도","전체","계",2012,11.6,43.1,37.5,6.3,1.4
"경상남도","전체","계",2014,17.7,35.6,43.0,3.2,0.5
"경상남도","전체","계",2016,13.9,40.8,42.3,3.0,-
"경상남도","전체","계",2018,14.5,42.1,38.0,4.7,0.8
"경상남도","전체","계",2020,27.1,36.7,34.0,1.6,0.6
"경상남도","전체","계",2022,24.2,30.1,38.9,5.4,1.4
"제주특별자치도","전체","계",2008,13.7,40.8,41.9,3.6,-
"제주특별자치도","전체","계",2010,12.8,37.3,44.6,5.3,-
"제주특별자치도","전체","계",2012,12.8,37.7,46.1,3.0,0.5
"제주특별자치도","전체","계",2014,24.1,38.1,34.1,2.9,0.7
"제주특별자치도","전체","계",2016,21.5,29.3,45.8,2.0,1.4
"제주특별자치도","전체","계",2018,19.4,36.7,42.6,1.2,-
"제주특별자치도","전체","계",2020,35.1,35.9,28.2,0.7,-
"제주특별자치도","전체","계",2022,23.5,28.8,42.6,5.1,-
