시점,학생수,지역별
2011.01,99.250,강원
2011.02,99.153,강원
2011.03,99.057,강원
2011.04,98.960,강원
2011.05,98.863,강원
2011.06,98.767,강원
2011.07,98.670,강원
2011.08,98.573,강원
2011.09,98.477,강원
2011.10,98.380,강원
2011.11,98.283,강원
2011.12,98.187,강원
2012.01,98.090,강원
2012.02,97.958,강원
2012.03,97.827,강원
2012.04,97.695,강원
2012.05,97.563,강원
2012.06,97.432,강원
2012.07,97.300,강원
2012.08,97.168,강원
2012.09,97.037,강원
2012.10,96.905,강원
2012.11,96.773,강원
2012.12,96.642,강원
2013.01,96.510,강원
2013.02,96.309,강원
2013.03,96.108,강원
2013.04,95.907,강원
2013.05,95.707,강원
2013.06,95.506,강원
2013.07,95.305,강원
2013.08,95.104,강원
2013.09,94.903,강원
2013.10,94.703,강원
2013.11,94.502,강원
2013.12,94.301,강원
2014.01,94.100,강원
2014.02,93.925,강원
2014.03,93.750,강원
2014.04,93.575,강원
2014.05,93.400,강원
2014.06,93.225,강원
2014.07,93.050,강원
2014.08,92.875,강원
2014.09,92.700,강원
2014.10,92.525,강원
2014.11,92.350,강원
2014.12,92.175,강원
2015.01,92.000,강원
2015.02,91.802,강원
2015.03,91.605,강원
2015.04,91.407,강원
2015.05,91.210,강원
2015.06,91.013,강원
2015.07,90.815,강원
2015.08,90.617,강원
2015.09,90.420,강원
2015.10,90.222,강원
2015.11,90.025,강원
2015.12,89.828,강원
2016.01,89.630,강원
2016.02,89.289,강원
2016.03,88.948,강원
2016.04,88.608,강원
2016.05,88.267,강원
2016.06,87.926,강원
2016.07,87.585,강원
2016.08,87.244,강원
2016.09,86.903,강원
2016.10,86.562,강원
2016.11,86.222,강원
2016.12,85.881,강원
2017.01,85.540,강원
2017.02,85.241,강원
2017.03,84.942,강원
2017.04,84.643,강원
2017.05,84.343,강원
2017.06,84.044,강원
2017.07,83.745,강원
2017.08,83.446,강원
2017.09,83.147,강원
2017.10,82.847,강원
2017.11,82.548,강원
2017.12,82.249,강원
2018.01,81.950,강원
2018.02,81.653,강원
2018.03,81.357,강원
2018.04,81.060,강원
2018.05,80.763,강원
2018.06,80.467,강원
2018.07,80.170,강원
2018.08,79.873,강원
2018.09,79.577,강원
2018.10,79.280,강원
2018.11,78.983,강원
2018.12,78.687,강원
2019.01,78.390,강원
2019.02,78.238,강원
2019.03,78.087,강원
2019.04,77.935,강원
2019.05,77.783,강원
2019.06,77.632,강원
2019.07,77.480,강원
2019.08,77.328,강원
2019.09,77.177,강원
2019.10,77.025,강원
2019.11,76.873,강원
2019.12,76.722,강원
2020.01,76.570,강원
2020.02,76.523,강원
2020.03,76.477,강원
2020.04,76.430,강원
2020.05,76.383,강원
2020.06,76.337,강원
2020.07,76.290,강원
2020.08,76.243,강원
2020.09,76.197,강원
2020.10,76.150,강원
2020.11,76.103,강원
2020.12,76.057,강원
2021.01,76.010,강원
2021.02,75.943,강원
2021.03,75.877,강원
2021.04,75.810,강원
2021.05,75.743,강원
2021.06,75.677,강원
2021.07,75.610,강원
2021.08,75.543,강원
2021.09,75.477,강원
2021.10,75.410,강원
2021.11,75.343,강원
2021.12,75.277,강원
2022.01,75.210,강원
2022.02,75.158,강원
2022.03,75.107,강원
2022.04,75.055,강원
2022.05,75.003,강원
2022.06,74.952,강원
2022.07,74.900,강원
2022.08,74.848,강원
2022.09,74.797,강원
2022.10,74.745,강원
2022.11,74.693,강원
2022.12,74.642,강원
2023.01,74.590,강원
2023.02,74.531,강원
2023.03,74.472,강원
2023.04,74.412,강원
2023.05,74.353,강원
2023.06,74.294,강원
2023.07,74.235,강원
2023.08,74.176,강원
2023.09,74.117,강원
2023.10,74.058,강원
2023.11,73.998,강원
2023.12,73.939,강원
2024.01,73.880,강원
2011.01,120.170,경기
2011.02,119.993,경기
2011.03,119.817,경기
2011.04,119.640,경기
2011.05,119.463,경기
2011.06,119.287,경기
2011.07,119.110,경기
2011.08,118.933,경기
2011.09,118.757,경기
2011.10,118.580,경기
2011.11,118.403,경기
2011.12,118.227,경기
2012.01,118.050,경기
2012.02,117.811,경기
2012.03,117.572,경기
2012.04,117.332,경기
2012.05,117.093,경기
2012.06,116.854,경기
2012.07,116.615,경기
2012.08,116.376,경기
2012.09,116.137,경기
2012.10,115.898,경기
2012.11,115.658,경기
2012.12,115.419,경기
2013.01,115.180,경기
2013.02,114.679,경기
2013.03,114.178,경기
2013.04,113.678,경기
2013.05,113.177,경기
2013.06,112.676,경기
2013.07,112.175,경기
2013.08,111.674,경기
2013.09,111.173,경기
2013.10,110.672,경기
2013.11,110.172,경기
2013.12,109.671,경기
2014.01,109.170,경기
2014.02,109.023,경기
2014.03,108.877,경기
2014.04,108.730,경기
2014.05,108.583,경기
2014.06,108.437,경기
2014.07,108.290,경기
2014.08,108.143,경기
2014.09,107.997,경기
2014.10,107.850,경기
2014.11,107.703,경기
2014.12,107.557,경기
2015.01,107.410,경기
2015.02,107.127,경기
2015.03,106.845,경기
