"지역별","시점",유치원,초등학교,중학교,고등학교
"서울","2011",21.81,26.81,32.84,33.57
"서울","2012",24.18,25.55,32.01,32.77
"서울","2013",24.13,24.51,31.39,31.87
"서울","2014",21.87,24.27,30.20,30.94
"서울","2015",21.38,24.00,28.49,30.13
"서울","2016",21.08,23.42,26.57,29.67
"서울","2017",20.41,23.00,25.55,28.61
"서울","2018",19.52,22.86,24.43,26.80
"서울","2019",18.57,22.59,23.65,24.97
"서울","2020",18.20,22.06,23.91,23.74
"서울","2021",18.89,21.71,24.49,23.53
"서울","2022",17.96,21.43,24.17,22.90
"서울","2023",17.38,21.27,23.77,22.96
"서울","2024",17.09,20.83,23.77,23.65
"부산","2011",24.61,24.80,32.48,32.16
"부산","2012",25.15,23.73,31.66,31.06
"부산","2013",24.35,22.76,30.97,30.16
"부산","2014",21.81,22.04,29.83,28.87
"부산","2015",22.75,21.84,28.00,27.90
"부산","2016",22.79,22.00,26.88,27.36
"부산","2017",21.99,22.06,25.78,26.34
"부산","2018",20.52,22.28,25.31,24.83
"부산","2019",19.35,22.53,24.81,23.11
"부산","2020",19.00,22.21,24.91,22.11
"부산","2021",19.71,22.26,24.99,21.29
"부산","2022",18.56,21.80,24.61,20.44
"부산","2023",17.87,21.49,24.58,20.68
"부산","2024",18.06,20.93,24.41,21.07
"대구","2011",24.21,26.23,35.04,34.74
"대구","2012",24.37,24.63,34.14,34.21
"대구","2013",23.49,22.83,32.71,33.60
"대구","2014",20.45,22.26,31.18,32.12
"대구","2015",20.15,22.26,28.63,31.07
"대구","2016",20.63,22.60,26.40,30.23
"대구","2017",20.12,22.65,25.24,28.95
"대구","2018",19.55,22.87,24.77,26.66
"대구","2019",18.96,23.11,24.03,24.70
"대구","2020",18.83,22.52,24.09,23.45
"대구","2021",20.21,22.40,24.15,22.90
"대구","2022",19.82,22.17,23.84,22.01
"대구","2023",19.24,21.99,23.52,22.32
"대구","2024",18.73,21.71,24.82,22.82
"인천","2011",22.91,25.30,35.98,32.41
"인천","2012",23.04,24.47,34.62,31.62
"인천","2013",22.73,23.51,33.68,31.01
"인천","2014",20.24,23.20,32.47,30.12
"인천","2015",20.20,23.26,30.49,29.20
"인천","2016",20.07,22.98,28.73,28.42
"인천","2017",20.79,23.05,27.66,27.29
"인천","2018",18.60,22.76,26.67,25.62
"인천","2019",18.13,23.00,25.77,24.01
"인천","2020",18.08,22.70,26.24,23.25
"인천","2021",18.68,22.25,26.72,23.05
"인천","2022",18.16,21.99,26.32,22.62
