지역별,시점,합계출산율,인터넷이용률
강원,2000,1.6,
경기,2000,1.628,
경남,2000,1.586,
경북,2000,1.578,
광주,2000,1.636,
대구,2000,1.378,
대전,2000,1.501,
부산,2000,1.235,
서울,2000,1.275,
세종,2000,-,
울산,2000,1.633,
인천,2000,1.473,
전남,2000,1.75,
전북,2000,1.595,
제주,2000,1.783,
충남,2000,1.698,
충북,2000,1.583,
강원,2001,1.413,
경기,2001,1.437,
경남,2001,1.417,
경북,2001,1.402,
광주,2001,1.421,
대구,2001,1.216,
대전,2001,1.33,
부산,2001,1.103,
서울,2001,1.111,
세종,2001,-,
울산,2001,1.423,
인천,2001,1.324,
전남,2001,1.566,
전북,2001,1.426,
제주,2001,1.564,
충남,2001,1.532,
충북,2001,1.426,
강원,2002,1.317,
경기,2002,1.305,
경남,2002,1.272,
경북,2002,1.232,
광주,2002,1.264,
대구,2002,1.076,
대전,2002,1.207,
부산,2002,0.975,
서울,2002,1.006,
세종,2002,-,
울산,2002,1.242,
인천,2002,1.185,
전남,2002,1.391,
전북,2002,1.275,
제주,2002,1.394,
충남,2002,1.361,
충북,2002,1.294,
강원,2003,1.279,
경기,2003,1.321,
경남,2003,1.29,
경북,2003,1.253,
광주,2003,1.278,
대구,2003,1.116,
대전,2003,1.221,
부산,2003,0.988,
서울,2003,1.014,
세종,2003,-,
울산,2003,1.28,
인천,2003,1.213,
전남,2003,1.389,
전북,2003,1.274,
제주,2003,1.438,
충남,2003,1.358,
충북,2003,1.27,
강원,2004,1.261,
경기,2004,1.28,
경남,2004,1.266,
경북,2004,1.203,
광주,2004,1.203,
대구,2004,1.087,
대전,2004,1.181,
부산,2004,0.953,
서울,2004,1.015,
세종,2004,-,
울산,2004,1.241,
인천,2004,1.158,
전남,2004,1.36,
전북,2004,1.239,
제주,2004,1.365,
충남,2004,1.357,
충북,2004,1.272,
강원,2005,1.188,
경기,2005,1.183,
경남,2005,1.189,
경북,2005,1.173,
광주,2005,1.105,
대구,2005,1.001,
대전,2005,1.107,
부산,2005,0.887,
서울,2005,0.932,
세종,2005,-,
울산,2005,1.186,
인천,2005,1.075,
전남,2005,1.29,
전북,2005,1.184,
제주,2005,1.31,
충남,2005,1.267,
충북,2005,1.195,
강원,2006,1.202,
경기,2006,1.239,
경남,2006,1.254,
경북,2006,1.208,
광주,2006,1.152,
대구,2006,1.011,
대전,2006,1.158,
부산,2006,0.915,
서울,2006,0.98,
세종,2006,-,
울산,2006,1.242,
인천,2006,1.116,
전남,2006,1.337,
전북,2006,1.213,
제주,2006,1.372,
충남,2006,1.356,
충북,2006,1.233,
강원,2007,1.356,
경기,2007,1.361,
경남,2007,1.434,
경북,2007,1.369,
광주,2007,1.262,
대구,2007,1.137,
대전,2007,1.274,
부산,2007,1.024,
서울,2007,1.068,
세종,2007,-,
울산,2007,1.403,
인천,2007,1.257,
전남,2007,1.542,
전북,2007,1.38,
제주,2007,1.489,
충남,2007,1.506,
충북,2007,1.398,
강원,2008,1.253,
경기,2008,1.285,
경남,2008,1.368,
경북,2008,1.313,
광주,2008,1.198,
대구,2008,1.072,
대전,2008,1.215,
부산,2008,0.98,
서울,2008,1.01,
세종,2008,-,
울산,2008,1.338,
인천,2008,1.186,
전남,2008,1.449,
전북,2008,1.305,
제주,2008,1.386,
충남,2008,1.444,
충북,2008,1.319,
강원,2009,1.248,
경기,2009,1.226,
경남,2009,1.323,
경북,2009,1.274,
광주,2009,1.137,
대구,2009,1.029,
대전,2009,1.156,
부산,2009,0.94,
서울,2009,0.962,
세종,2009,-,
울산,2009,1.308,
인천,2009,1.143,
전남,2009,1.445,
전북,2009,1.279,
제주,2009,1.378,
충남,2009,1.408,
충북,2009,1.317,
강원,2010,1.313,
경기,2010,1.309,
경남,2010,1.413,
경북,2010,1.377,
광주,2010,1.223,
대구,2010,1.109,
대전,2010,1.205,
부산,2010,1.045,
서울,2010,1.015,
세종,2010,-,
울산,2010,1.369,
인천,2010,1.214,
전남,2010,1.537,
전북,2010,1.374,
제주,2010,1.463,
충남,2010,1.479,
충북,2010,1.402,
강원,2011,1.338,
경기,2011,1.314,
경남,2011,1.446,
경북,2011,1.434,
광주,2011,1.234,
대구,2011,1.146,
대전,2011,1.261,
부산,2011,1.078,
서울,2011,1.014,
세종,2011,-,
울산,2011,1.393,
인천,2011,1.232,
전남,2011,1.568,
전북,2011,1.405,
제주,2011,1.487,
충남,2011,1.496,
충북,2011,1.428,
강원,2012,1.374,72.1
경기,2012,1.355,83.1
경남,2012,1.503,73.2
경북,2012,1.489,69.0
광주,2012,1.295,81.4
대구,2012,1.217,76.5
대전,2012,1.315,81.4
부산,2012,1.135,76.3
서울,2012,1.059,81.5
세종,2012,1.597,
울산,2012,1.481,85.7
인천,2012,1.301,82.2
전남,2012,1.642,68.5
전북,2012,1.44,73.7
제주,2012,1.598,74.5
충남,2012,1.571,71.1
충북,2012,1.485,72.7
강원,2013,1.249,75.8
경기,2013,1.226,84.3
경남,2013,1.367,81.9
경북,2013,1.379,76.6
광주,2013,1.17,83.0
대구,2013,1.127,84.7
대전,2013,1.234,87.9
부산,2013,1.049,84.3
서울,2013,0.968,83.2
세종,2013,1.435,
울산,2013,1.391,89.5
인천,2013,1.195,82.1
전남,2013,1.518,68.2
전북,2013,1.32,73.5
제주,2013,1.427,80.8
충남,2013,1.442,80.3
충북,2013,1.365,80.7
강원,2014,1.248,71.5
경기,2014,1.241,84.9
경남,2014,1.409,82.9
경북,2014,1.408,87.5
광주,2014,1.199,88.1
대구,2014,1.169,92.1
대전,2014,1.25,83.8
부산,2014,1.09,83.8
서울,2014,0.983,86.2
세종,2014,1.354,
울산,2014,1.437,92.7
인천,2014,1.212,82.6
전남,2014,1.497,73.0
전북,2014,1.329,75.5
제주,2014,1.481,83.8
충남,2014,1.421,74.0
충북,2014,1.363,75.4
충청,2014,,70.9
강원,2015,1.311,74.1
경기,2015,1.272,86.1
경남,2015,1.437,86.0
경북,2015,1.464,86.6
광주,2015,1.207,90.1
대구,2015,1.216,91.1
대전,2015,1.277,85.3
부산,2015,1.139,87.2
서울,2015,1.001,86.7
