"지역별","시점","성별",고용률
"서울","2012.01","계",59.1
"서울","2012.02","계",59.2
"서울","2012.03","계",59.7
"서울","2012.04","계",60.4
"서울","2012.05","계",61.0
"서울","2012.06","계",60.8
"서울","2012.07","계",60.6
"서울","2012.08","계",59.7
"서울","2012.09","계",59.9
"서울","2012.10","계",59.7
"서울","2012.11","계",59.5
"서울","2012.12","계",59.3
"서울","2013.01","계",59.1
"서울","2013.02","계",58.7
"서울","2013.03","계",58.8
"서울","2013.04","계",59.6
"서울","2013.05","계",60.0
"서울","2013.06","계",60.2
"서울","2013.07","계",60.2
"서울","2013.08","계",59.7
"서울","2013.09","계",60.3
"서울","2013.10","계",60.6
"서울","2013.11","계",60.7
"서울","2013.12","계",60.8
"서울","2014.01","계",60.1
"서울","2014.02","계",60.3
"서울","2014.03","계",60.3
"서울","2014.04","계",60.5
"서울","2014.05","계",60.4
"서울","2014.06","계",60.4
"서울","2014.07","계",60.6
"서울","2014.08","계",60.4
"서울","2014.09","계",60.5
"서울","2014.10","계",60.6
"서울","2014.11","계",61.0
"서울","2014.12","계",60.6
"서울","2015.01","계",60.0
"서울","2015.02","계",59.7
"서울","2015.03","계",59.5
"서울","2015.04","계",59.6
"서울","2015.05","계",60.3
"서울","2015.06","계",59.8
"서울","2015.07","계",60.3
"서울","2015.08","계",60.3
"서울","2015.09","계",60.0
"서울","2015.10","계",59.9
"서울","2015.11","계",60.2
"서울","2015.12","계",60.1
"서울","2016.01","계",59.7
"서울","2016.02","계",59.3
"서울","2016.03","계",58.8
"서울","2016.04","계",59.3
"서울","2016.05","계",60.2
"서울","2016.06","계",60.4
"서울","2016.07","계",60.4
"서울","2016.08","계",60.0
"서울","2016.09","계",60.2
"서울","2016.10","계",60.5
"서울","2016.11","계",60.5
"서울","2016.12","계",60.3
"서울","2017.01","계",59.4
"서울","2017.02","계",59.7
"서울","2017.03","계",59.7
"서울","2017.04","계",59.9
"서울","2017.05","계",60.5
"서울","2017.06","계",60.8
"서울","2017.07","계",61.0
"서울","2017.08","계",60.6
"서울","2017.09","계",60.4
"서울","2017.10","계",60.4
"서울","2017.11","계",60.3
"서울","2017.12","계",59.9
"서울","2018.01","계",59.8
"서울","2018.02","계",59.3
"서울","2018.03","계",59.6
"서울","2018.04","계",59.7
"서울","2018.05","계",59.7
"서울","2018.06","계",60.1
"서울","2018.07","계",59.9
"서울","2018.08","계",59.5
"서울","2018.09","계",59.3
"서울","2018.10","계",59.4
"서울","2018.11","계",59.9
"서울","2018.12","계",59.3
"서울","2019.01","계",58.7
"서울","2019.02","계",58.4
"서울","2019.03","계",58.7
"서울","2019.04","계",59.6
"서울","2019.05","계",60.3
"서울","2019.06","계",60.6
"서울","2019.07","계",60.8
"서울","2019.08","계",60.6
"서울","2019.09","계",60.8
"서울","2019.10","계",60.7
"서울","2019.11","계",60.5
"서울","2019.12","계",60.4
"서울","2020.01","계",60.0
"서울","2020.02","계",60.1
"서울","2020.03","계",59.0
"서울","2020.04","계",58.6
"서울","2020.05","계",59.1
"서울","2020.06","계",59.2
"서울","2020.07","계",59.5
"서울","2020.08","계",59.6
"서울","2020.09","계",58.9
"서울","2020.10","계",59.2
"서울","2020.11","계",59.8
"서울","2020.12","계",58.8
"서울","2021.01","계",57.3
"서울","2021.02","계",57.9
"서울","2021.03","계",59.1
"서울","2021.04","계",59.2
"서울","2021.05","계",59.6
"서울","2021.06","계",59.7
"서울","2021.07","계",59.6
"서울","2021.08","계",59.2
"서울","2021.09","계",59.7
"서울","2021.10","계",59.5
"서울","2021.11","계",59.9
"서울","2021.12","계",60.2
"서울","2022.01","계",59.0
"서울","2022.02","계",59.7
"서울","2022.03","계",59.8
"서울","2022.04","계",60.4
"서울","2022.05","계",60.8
"서울","2022.06","계",60.8
"서울","2022.07","계",60.9
"서울","2022.08","계",60.7
"서울","2022.09","계",60.7
"서울","2022.10","계",60.5
"서울","2022.11","계",60.8
"서울","2022.12","계",60.8
"서울","2023.01","계",59.8
"서울","2023.02","계",60.2
"서울","2023.03","계",60.8
"서울","2023.04","계",60.8
"서울","2023.05","계",61.6
"서울","2023.06","계",61.6
"서울","2023.07","계",61.1
"서울","2023.08","계",61.4
"서울","2023.09","계",61.1
"서울","2023.10","계",61.6
"서울","2023.11","계",61.7
"서울","2023.12","계",61.2
"서울","2024.01","계",61.3
"서울","2024.02","계",61.6
"서울","2024.03","계",61.6
"서울","2024.04","계",62.0
"서울","2024.05","계",62.0
"서울","2024.06","계",61.9
"서울","2024.07","계",61.8
"서울","2024.08","계",61.8
"부산","2012.01","계",55.2
"부산","2012.02","계",55.0
"부산","2012.03","계",55.7
"부산","2012.04","계",55.7
"부산","2012.05","계",56.3
"부산","2012.06","계",56.7
"부산","2012.07","계",56.6
"부산","2012.08","계",55.9
"부산","2012.09","계",56.0
"부산","2012.10","계",55.7
"부산","2012.11","계",55.8
"부산","2012.12","계",56.0
"부산","2013.01","계",56.1
"부산","2013.02","계",55.3
"부산","2013.03","계",55.7
"부산","2013.04","계",56.6
"부산","2013.05","계",56.8
"부산","2013.06","계",56.8
"부산","2013.07","계",56.5
"부산","2013.08","계",55.9
"부산","2013.09","계",56.1
"부산","2013.10","계",55.9
"부산","2013.11","계",56.4
"부산","2013.12","계",55.6
"부산","2014.01","계",55.4
"부산","2014.02","계",55.1
"부산","2014.03","계",55.3
"부산","2014.04","계",56.5
"부산","2014.05","계",57.2
"부산","2014.06","계",57.4
"부산","2014.07","계",58.0
"부산","2014.08","계",57.9
"부산","2014.09","계",57.3
"부산","2014.10","계",57.2
"부산","2014.11","계",57.1
"부산","2014.12","계",56.5
"부산","2015.01","계",55.9
"부산","2015.02","계",56.1
"부산","2015.03","계",55.9
"부산","2015.04","계",56.3
"부산","2015.05","계",56.4
"부산","2015.06","계",56.4
"부산","2015.07","계",56.6
"부산","2015.08","계",55.9
"부산","2015.09","계",56.4
"부산","2015.10","계",56.6
"부산","2015.11","계",56.7
"부산","2015.12","계",56.2
"부산","2016.01","계",55.8
"부산","2016.02","계",56.0
"부산","2016.03","계",55.9
"부산","2016.04","계",56.5
"부산","2016.05","계",56.2
"부산","2016.06","계",56.3
"부산","2016.07","계",56.4
"부산","2016.08","계",56.2
