"지역별","시점",비만유병률
"서울","2018",30.6
"서울","2019",31.3
"부산광역시","2018",31.4
"부산광역시","2019",32.3
"대구광역시","2018",31.3
"대구광역시","2019",32.5
"인천광역시","2018",34.5
"인천광역시","2019",35.1
"광주광역시","2018",31.5
"광주광역시","2019",33.3
"대전광역시","2018",31.1
"대전광역시","2019",30.0
"울산광역시","2018",29.9
"울산광역시","2019",33.1
"세종특별자치시","2018",27.7
"세종특별자치시","2019",31.0
"경기도","2018",33.1
"경기도","2019",33.6
"강원특별자치도","2018",36.9
"강원특별자치도","2019",35.0
"충청북도","2018",34.2
"충청북도","2019",34.7
"충청남도","2018",32.8
"충청남도","2019",36.1
"전북특별자치도","2018",34.2
"전북특별자치도","2019",33.0
"전라남도","2018",34.4
"전라남도","2019",36.2
"경상북도","2018",34.2
"경상북도","2019",36.0
"경상남도","2018",34.7
"경상남도","2019",34.2
"제주특별자치도","2018",35.6
"제주특별자치도","2019",38.6
