"시점","지역별",스트레스인지율
"2021","서울",28.0
"2021","부산광역시",25.7
"2021","대구광역시",24.2
"2021","인천광역시",29.5
"2021","광주광역시",27.7
"2021","대전광역시",24.0
"2021","울산광역시",24.8
"2021","세종특별자치시",25.5
"2021","경기도",28.1
"2021","강원특별자치도",28.3
"2021","충청북도",27.2
"2021","충청남도",27.0
"2021","전북특별자치도",26.2
"2021","전라남도",23.7
"2021","경상북도",24.7
"2021","경상남도",24.9
"2021","제주특별자치도",25.3
"2022","서울",25.7
"2022","부산광역시",22.8
"2022","대구광역시",22.6
"2022","인천광역시",26.3
"2022","광주광역시",25.9
"2022","대전광역시",24.5
"2022","울산광역시",21.9
"2022","세종특별자치시",20.1
"2022","경기도",24.6
"2022","강원특별자치도",25.5
"2022","충청북도",25.2
"2022","충청남도",25.4
"2022","전북특별자치도",24.9
"2022","전라남도",21.5
"2022","경상북도",23.4
"2022","경상남도",23.1
"2022","제주특별자치도",25.0
"2023","서울",27.1
"2023","부산광역시",23.9
"2023","대구광역시",23.8
"2023","인천광역시",27.0
"2023","광주광역시",24.7
"2023","대전광역시",28.3
"2023","울산광역시",25.8
"2023","세종특별자치시",25.8
"2023","경기도",27.7
"2023","강원특별자치도",27.2
"2023","충청북도",26.3
"2023","충청남도",27.7
"2023","전북특별자치도",26.5
"2023","전라남도",25.6
"2023","경상북도",23.9
"2023","경상남도",24.5
"2023","제주특별자치도",23.5
