"지역별","시점",음주율
"서울","2008",57.8
"서울","2009",58.1
"서울","2010",60.4
"서울","2011",62.3
"서울","2012",60.3
"서울","2013",62.3
"서울","2014",62.2
"서울","2015",63.6
"서울","2016",63.8
"서울","2017",63.8
"서울","2018",62.8
"서울","2019",62.1
"서울","2020",56.5
"서울","2021",54.9
"서울","2022",59.4
"서울","2023",60.7
"부산광역시","2008",58.5
"부산광역시","2009",60.2
"부산광역시","2010",61.3
"부산광역시","2011",62.4
"부산광역시","2012",63.0
"부산광역시","2013",63.5
"부산광역시","2014",64.1
"부산광역시","2015",64.3
"부산광역시","2016",64.0
"부산광역시","2017",63.7
"부산광역시","2018",64.0
"부산광역시","2019",61.9
"부산광역시","2020",56.0
"부산광역시","2021",54.3
"부산광역시","2022",59.2
"부산광역시","2023",59.6
"대구광역시","2008",55.7
"대구광역시","2009",58.2
"대구광역시","2010",56.6
"대구광역시","2011",59.9
"대구광역시","2012",60.9
"대구광역시","2013",62.2
"대구광역시","2014",62.0
"대구광역시","2015",61.3
"대구광역시","2016",60.6
"대구광역시","2017",60.9
"대구광역시","2018",61.5
"대구광역시","2019",58.6
"대구광역시","2020",51.1
"대구광역시","2021",53.7
"대구광역시","2022",56.7
"대구광역시","2023",57.9
"인천광역시","2008",55.2
"인천광역시","2009",56.8
"인천광역시","2010",59.1
"인천광역시","2011",60.6
"인천광역시","2012",59.6
"인천광역시","2013",59.2
"인천광역시","2014",62.7
"인천광역시","2015",62.1
"인천광역시","2016",62.7
"인천광역시","2017",64.0
"인천광역시","2018",63.8
"인천광역시","2019",60.7
"인천광역시","2020",55.3
"인천광역시","2021",55.2
"인천광역시","2022",58.1
"인천광역시","2023",59.5
"광주광역시","2008",51.2
"광주광역시","2009",55.4
"광주광역시","2010",59.2
"광주광역시","2011",59.3
"광주광역시","2012",59.5
"광주광역시","2013",59.6
"광주광역시","2014",60.6
"광주광역시","2015",61.9
"광주광역시","2016",58.6
"광주광역시","2017",61.6
"광주광역시","2018",60.3
"광주광역시","2019",61.1
"광주광역시","2020",52.9
"광주광역시","2021",54.5
"광주광역시","2022",58.6
"광주광역시","2023",59.5
"대전광역시","2008",53.2
"대전광역시","2009",53.5
"대전광역시","2010",53.5
"대전광역시","2011",58.7
"대전광역시","2012",59.6
"대전광역시","2013",59.6
"대전광역시","2014",59.6
"대전광역시","2015",60.7
"대전광역시","2016",61.5
"대전광역시","2017",61.9
"대전광역시","2018",60.5
"대전광역시","2019",58.7
"대전광역시","2020",56.5
"대전광역시","2021",52.2
"대전광역시","2022",57.2
"대전광역시","2023",59.4
"울산광역시","2008",59.9
"울산광역시","2009",59.1
"울산광역시","2010",59.4
"울산광역시","2011",58.8
"울산광역시","2012",60.5
"울산광역시","2013",60.3
"울산광역시","2014",63.3
"울산광역시","2015",63.8
"울산광역시","2016",63.7
"울산광역시","2017",63.2
"울산광역시","2018",62.6
"울산광역시","2019",63.5
"울산광역시","2020",57.4
"울산광역시","2021",56.5
"울산광역시","2022",62.0
"울산광역시","2023",61.0
"세종특별자치시","2012",62.0
"세종특별자치시","2013",58.9
"세종특별자치시","2014",57.2
"세종특별자치시","2015",54.9
"세종특별자치시","2016",59.6
"세종특별자치시","2017",62.5
"세종특별자치시","2018",56.6
"세종특별자치시","2019",60.8
"세종특별자치시","2020",47.4
"세종특별자치시","2021",48.4
"세종특별자치시","2022",58.1
"세종특별자치시","2023",57.2
"경기도","2008",55.9
"경기도","2009",57.5
"경기도","2010",57.8
"경기도","2011",59.8
"경기도","2012",59.9
"경기도","2013",60.9
"경기도","2014",62.5
"경기도","2015",62.8
"경기도","2016",62.5
"경기도","2017",63.0
"경기도","2018",61.9
"경기도","2019",61.0
"경기도","2020",56.1
"경기도","2021",53.7
"경기도","2022",59.0
"경기도","2023",59.0
"강원특별자치도","2008",58.9
"강원특별자치도","2009",59.0
"강원특별자치도","2010",60.8
"강원특별자치도","2011",60.0
"강원특별자치도","2012",60.8
"강원특별자치도","2013",62.2
"강원특별자치도","2014",63.0
"강원특별자치도","2015",63.5
"강원특별자치도","2016",62.2
"강원특별자치도","2017",63.7
"강원특별자치도","2018",62.2
"강원특별자치도","2019",60.5
"강원특별자치도","2020",57.2
"강원특별자치도","2021",56.5
"강원특별자치도","2022",60.2
"강원특별자치도","2023",60.2
"충청북도","2008",53.6
"충청북도","2009",55.0
"충청북도","2010",56.2
"충청북도","2011",58.4
"충청북도","2012",59.9
"충청북도","2013",62.0
"충청북도","2014",60.1
"충청북도","2015",61.6
"충청북도","2016",61.9
"충청북도","2017",63.4
"충청북도","2018",61.1
"충청북도","2019",61.7
"충청북도","2020",57.4
"충청북도","2021",55.7
"충청북도","2022",59.9
"충청북도","2023",62.2
"충청남도","2008",51.3
"충청남도","2009",53.8
"충청남도","2010",53.3
"충청남도","2011",57.3
"충청남도","2012",55.4
"충청남도","2013",56.6
"충청남도","2014",60.6
"충청남도","2015",60.2
"충청남도","2016",60.7
"충청남도","2017",62.2
"충청남도","2018",62.9
"충청남도","2019",58.8
"충청남도","2020",53.7
"충청남도","2021",53.9
"충청남도","2022",57.9
"충청남도","2023",58.4
"전북특별자치도","2008",50.1
"전북특별자치도","2009",48.8
"전북특별자치도","2010",51.3
"전북특별자치도","2011",52.9
"전북특별자치도","2012",51.6
"전북특별자치도","2013",55.7
"전북특별자치도","2014",56.5
"전북특별자치도","2015",56.4
"전북특별자치도","2016",56.6
"전북특별자치도","2017",56.2
"전북특별자치도","2018",58.7
"전북특별자치도","2019",56.9
"전북특별자치도","2020",50.6
"전북특별자치도","2021",52.8
"전북특별자치도","2022",55.3
"전북특별자치도","2023",54.1
"전라남도","2008",50.4
"전라남도","2009",53.4
"전라남도","2010",52.3
"전라남도","2011",54.3
"전라남도","2012",54.4
"전라남도","2013",55.4
"전라남도","2014",58.1
"전라남도","2015",58.1
"전라남도","2016",57.9
"전라남도","2017",59.2
"전라남도","2018",57.8
"전라남도","2019",58.4
"전라남도","2020",52.5
"전라남도","2021",53.6
"전라남도","2022",56.0
"전라남도","2023",55.5
"경상북도","2008",53.1
"경상북도","2009",54.9
"경상북도","2010",56.7
"경상북도","2011",57.6
"경상북도","2012",56.8
"경상북도","2013",57.8
"경상북도","2014",59.6
"경상북도","2015",60.7
"경상북도","2016",59.6
"경상북도","2017",60.1
"경상북도","2018",59.9
"경상북도","2019",58.9
"경상북도","2020",55.1
"경상북도","2021",52.5
"경상북도","2022",56.6
"경상북도","2023",57.5
"경상남도","2008",54.5
"경상남도","2009",57.8
"경상남도","2010",61.7
"경상남도","2011",59.8
"경상남도","2012",61.2
"경상남도","2013",63.1
"경상남도","2014",64.1
"경상남도","2015",63.6
"경상남도","2016",63.1
"경상남도","2017",63.7
"경상남도","2018",63.5
"경상남도","2019",61.6
"경상남도","2020",57.3
"경상남도","2021",55.1
"경상남도","2022",60.1
"경상남도","2023",57.8
"제주특별자치도","2008",51.8
"제주특별자치도","2009",54.8
"제주특별자치도","2010",58.5
"제주특별자치도","2011",63.0
"제주특별자치도","2012",58.2
"제주특별자치도","2013",61.3
"제주특별자치도","2014",64.7
"제주특별자치도","2015",58.7
"제주특별자치도","2016",61.9
"제주특별자치도","2017",62.6
"제주특별자치도","2018",60.1
"제주특별자치도","2019",58.8
"제주특별자치도","2020",55.2
"제주특별자치도","2021",55.7
"제주특별자치도","2022",57.3
"제주특별자치도","2023",53.8
