시점,인터넷이용률,지역별
2012.01,72.10,강원
2012.02,72.41,강원
2012.03,72.72,강원
2012.04,73.02,강원
2012.05,73.33,강원
2012.06,73.64,강원
2012.07,73.95,강원
2012.08,74.26,강원
2012.09,74.57,강원
2012.10,74.88,강원
2012.11,75.18,강원
2012.12,75.49,강원
2013.01,75.80,강원
2013.02,75.44,강원
2013.03,75.08,강원
2013.04,74.72,강원
2013.05,74.37,강원
2013.06,74.01,강원
2013.07,73.65,강원
2013.08,73.29,강원
2013.09,72.93,강원
2013.10,72.58,강원
2013.11,72.22,강원
2013.12,71.86,강원
2014.01,71.50,강원
2014.02,71.72,강원
2014.03,71.93,강원
2014.04,72.15,강원
2014.05,72.37,강원
2014.06,72.58,강원
2014.07,72.80,강원
2014.08,73.02,강원
2014.09,73.23,강원
2014.10,73.45,강원
2014.11,73.67,강원
2014.12,73.88,강원
2015.01,74.10,강원
2015.02,74.14,강원
2015.03,74.18,강원
2015.04,74.22,강원
2015.05,74.27,강원
2015.06,74.31,강원
2015.07,74.35,강원
2015.08,74.39,강원
2015.09,74.43,강원
2015.10,74.47,강원
2015.11,74.52,강원
2015.12,74.56,강원
2016.01,74.60,강원
2016.02,75.31,강원
2016.03,76.02,강원
2016.04,76.72,강원
2016.05,77.43,강원
2016.06,78.14,강원
2016.07,78.85,강원
2016.08,79.56,강원
2016.09,80.27,강원
2016.10,80.97,강원
2016.11,81.68,강원
2016.12,82.39,강원
2017.01,83.10,강원
2017.02,83.15,강원
2017.03,83.20,강원
2017.04,83.25,강원
2017.05,83.30,강원
2017.06,83.35,강원
2017.07,83.40,강원
2017.08,83.45,강원
2017.09,83.50,강원
2017.10,83.55,강원
2017.11,83.60,강원
2017.12,83.65,강원
2018.01,83.70,강원
2018.02,83.80,강원
2018.03,83.90,강원
2018.04,84.00,강원
2018.05,84.10,강원
2018.06,84.20,강원
2018.07,84.30,강원
2018.08,84.40,강원
2018.09,84.50,강원
2018.10,84.60,강원
2018.11,84.70,강원
2018.12,84.80,강원
2019.01,84.90,강원
2019.02,84.54,강원
2019.03,84.18,강원
2019.04,83.83,강원
2019.05,83.47,강원
2019.06,83.11,강원
2019.07,82.75,강원
2019.08,82.39,강원
2019.09,82.03,강원
2019.10,81.67,강원
2019.11,81.32,강원
2019.12,80.96,강원
2020.01,80.60,강원
2020.02,80.72,강원
2020.03,80.83,강원
2020.04,80.95,강원
2020.05,81.07,강원
2020.06,81.18,강원
2020.07,81.30,강원
2020.08,81.42,강원
2020.09,81.53,강원
2020.10,81.65,강원
2020.11,81.77,강원
2020.12,81.88,강원
2021.01,82.00,강원
2021.02,82.09,강원
2021.03,82.18,강원
2021.04,82.28,강원
2021.05,82.37,강원
2021.06,82.46,강원
2021.07,82.55,강원
2021.08,82.64,강원
2021.09,82.73,강원
2021.10,82.82,강원
2021.11,82.92,강원
2021.12,83.01,강원
2022.01,83.10,강원
2022.02,83.75,강원
2022.03,84.40,강원
2022.04,85.05,강원
2022.05,85.70,강원
2022.06,86.35,강원
2022.07,87.00,강원
2022.08,87.65,강원
2022.09,88.30,강원
2022.10,88.95,강원
2022.11,89.60,강원
2022.12,90.25,강원
2023.01,90.90,강원
2012.01,83.10,경기
2012.02,83.20,경기
2012.03,83.30,경기
2012.04,83.40,경기
2012.05,83.50,경기
2012.06,83.60,경기
2012.07,83.70,경기
2012.08,83.80,경기
2012.09,83.90,경기
2012.10,84.00,경기
2012.11,84.10,경기
2012.12,84.20,경기
2013.01,84.30,경기
2013.02,84.35,경기
2013.03,84.40,경기
2013.04,84.45,경기
2013.05,84.50,경기
2013.06,84.55,경기
2013.07,84.60,경기
2013.08,84.65,경기
2013.09,84.70,경기
2013.10,84.75,경기
2013.11,84.80,경기
2013.12,84.85,경기
2014.01,84.90,경기
2014.02,85.00,경기
2014.03,85.10,경기
2014.04,85.20,경기
2014.05,85.30,경기
2014.06,85.40,경기
2014.07,85.50,경기
2014.08,85.60,경기
2014.09,85.70,경기
2014.10,85.80,경기
2014.11,85.90,경기
2014.12,86.00,경기
2015.01,86.10,경기
2015.02,86.32,경기
2015.03,86.55,경기
2015.04,86.77,경기
2015.05,87.00,경기
2015.06,87.22,경기
2015.07,87.45,경기
2015.08,87.67,경기
2015.09,87.90,경기
2015.10,88.12,경기
2015.11,88.35,경기
2015.12,88.58,경기
2016.01,88.80,경기
2016.02,88.92,경기
2016.03,89.05,경기
2016.04,89.17,경기
2016.05,89.30,경기
2016.06,89.42,경기
2016.07,89.55,경기
2016.08,89.67,경기
2016.09,89.80,경기
2016.10,89.92,경기
2016.11,90.05,경기
2016.12,90.17,경기
2017.01,90.30,경기
2017.02,90.42,경기
2017.03,90.53,경기
2017.04,90.65,경기
2017.05,90.77,경기
2017.06,90.88,경기
2017.07,91.00,경기
2017.08,91.12,경기
2017.09,91.23,경기
2017.10,91.35,경기
2017.11,91.47,경기
2017.12,91.58,경기
2018.01,91.70,경기
2018.02,91.65,경기
2018.03,91.60,경기
2018.04,91.55,경기
2018.05,91.50,경기
2018.06,91.45,경기
2018.07,91.40,경기
2018.08,91.35,경기
2018.09,91.30,경기
2018.10,91.25,경기
2018.11,91.20,경기
2018.12,91.15,경기
2019.01,91.10,경기
2019.02,91.20,경기
2019.03,91.30,경기
2019.04,91.40,경기
2019.05,91.50,경기
2019.06,91.60,경기
2019.07,91.70,경기
2019.08,91.80,경기
2019.09,91.90,경기
2019.10,92.00,경기
2019.11,92.10,경기
2019.12,92.20,경기
2020.01,92.30,경기
2020.02,92.47,경기
2020.03,92.63,경기
2020.04,92.80,경기
2020.05,92.97,경기
2020.06,93.13,경기
2020.07,93.30,경기
2020.08,93.47,경기
2020.09,93.63,경기
2020.10,93.80,경기
2020.11,93.97,경기
2020.12,94.13,경기
2021.01,94.30,경기
2021.02,94.19,경기
2021.03,94.08,경기
2021.04,93.97,경기
2021.05,93.87,경기
2021.06,93.76,경기
2021.07,93.65,경기
2021.08,93.54,경기
2021.09,93.43,경기
2021.10,93.33,경기
2021.11,93.22,경기
2021.12,93.11,경기
2022.01,93.00,경기
2022.02,93.02,경기
2022.03,93.03,경기
2022.04,93.05,경기
2022.05,93.07,경기
2022.06,93.08,경기
2022.07,93.10,경기
2022.08,93.12,경기
2022.09,93.13,경기
2022.10,93.15,경기
2022.11,93.17,경기
2022.12,93.18,경기
2023.01,93.20,경기
2012.01,73.20,경남
2012.02,73.92,경남
2012.03,74.65,경남
