"시점","지역별",흡연율
"2008","서울",24.6
"2008","부산광역시",26.9
"2008","대구광역시",25.5
"2008","인천광역시",26.3
"2008","광주광역시",21.5
"2008","대전광역시",25.9
"2008","울산광역시",27.7
"2008","경기도",25.6
"2008","강원특별자치도",28.3
"2008","충청북도",24.6
"2008","충청남도",25.5
"2008","전북특별자치도",23.6
"2008","전라남도",22.5
"2008","경상북도",27.1
"2008","경상남도",25.8
"2008","제주특별자치도",27.3
"2009","서울",24.7
"2009","부산광역시",27.4
"2009","대구광역시",26.1
"2009","인천광역시",26.8
"2009","광주광역시",22.5
"2009","대전광역시",25.8
"2009","울산광역시",27.6
"2009","경기도",26.4
"2009","강원특별자치도",28.5
"2009","충청북도",26.7
"2009","충청남도",27.4
"2009","전북특별자치도",22.6
"2009","전라남도",24.6
"2009","경상북도",27.2
"2009","경상남도",26.8
"2009","제주특별자치도",28.3
"2010","서울",23.7
"2010","부산광역시",25.5
"2010","대구광역시",25.0
"2010","인천광역시",27.0
"2010","광주광역시",22.7
"2010","대전광역시",24.5
"2010","울산광역시",25.3
"2010","경기도",24.9
"2010","강원특별자치도",28.0
"2010","충청북도",25.3
"2010","충청남도",25.1
"2010","전북특별자치도",23.1
"2010","전라남도",23.6
"2010","경상북도",27.0
"2010","경상남도",25.7
"2010","제주특별자치도",27.4
"2011","서울",23.0
"2011","부산광역시",25.2
"2011","대구광역시",25.1
"2011","인천광역시",26.0
"2011","광주광역시",23.2
"2011","대전광역시",22.3
"2011","울산광역시",24.6
"2011","경기도",24.8
"2011","강원특별자치도",26.2
"2011","충청북도",25.9
"2011","충청남도",26.0
"2011","전북특별자치도",22.5
"2011","전라남도",22.9
"2011","경상북도",26.1
"2011","경상남도",24.8
"2011","제주특별자치도",27.7
"2012","서울",23.0
"2012","부산광역시",24.5
"2012","대구광역시",25.2
"2012","인천광역시",25.9
"2012","광주광역시",23.7
"2012","대전광역시",23.9
"2012","울산광역시",23.3
"2012","세종특별자치시",27.3
"2012","경기도",24.5
"2012","강원특별자치도",26.2
"2012","충청북도",25.8
"2012","충청남도",24.2
"2012","전북특별자치도",23.1
"2012","전라남도",23.3
"2012","경상북도",25.4
"2012","경상남도",24.1
"2012","제주특별자치도",26.0
"2013","서울",22.6
"2013","부산광역시",24.3
"2013","대구광역시",24.4
"2013","인천광역시",24.5
"2013","광주광역시",22.5
"2013","대전광역시",23.4
"2013","울산광역시",23.2
"2013","세종특별자치시",21.9
"2013","경기도",24.4
"2013","강원특별자치도",25.6
"2013","충청북도",25.5
"2013","충청남도",23.7
"2013","전북특별자치도",23.4
"2013","전라남도",22.2
"2013","경상북도",23.9
"2013","경상남도",23.4
"2013","제주특별자치도",26.0
"2014","서울",21.4
"2014","부산광역시",23.4
"2014","대구광역시",23.6
"2014","인천광역시",25.6
"2014","광주광역시",23.1
"2014","대전광역시",22.2
"2014","울산광역시",22.5
"2014","세종특별자치시",22.8
"2014","경기도",23.4
"2014","강원특별자치도",25.4
"2014","충청북도",25.0
"2014","충청남도",24.0
"2014","전북특별자치도",22.4
"2014","전라남도",22.6
"2014","경상북도",24.2
"2014","경상남도",24.1
"2014","제주특별자치도",24.8
"2015","서울",20.4
"2015","부산광역시",21.7
"2015","대구광역시",21.2
"2015","인천광역시",24.0
"2015","광주광역시",19.5
"2015","대전광역시",21.1
"2015","울산광역시",21.2
"2015","세종특별자치시",17.9
"2015","경기도",22.0
"2015","강원특별자치도",24.4
"2015","충청북도",22.2
"2015","충청남도",23.4
"2015","전북특별자치도",21.1
"2015","전라남도",21.1
"2015","경상북도",23.5
"2015","경상남도",21.4
"2015","제주특별자치도",21.3
"2016","서울",20.5
"2016","부산광역시",21.7
"2016","대구광역시",20.7
"2016","인천광역시",24.7
"2016","광주광역시",19.7
"2016","대전광역시",21.0
"2016","울산광역시",22.2
"2016","세종특별자치시",18.1
"2016","경기도",22.1
"2016","강원특별자치도",22.8
"2016","충청북도",22.5
"2016","충청남도",22.8
"2016","전북특별자치도",21.7
"2016","전라남도",22.5
"2016","경상북도",23.7
"2016","경상남도",21.7
"2016","제주특별자치도",26.7
"2017","서울",20.0
"2017","부산광역시",21.7
"2017","대구광역시",20.8
"2017","인천광역시",22.7
"2017","광주광역시",21.6
"2017","대전광역시",20.9
"2017","울산광역시",20.9
"2017","세종특별자치시",17.8
"2017","경기도",21.0
"2017","강원특별자치도",23.0
"2017","충청북도",23.2
"2017","충청남도",22.3
"2017","전북특별자치도",20.6
"2017","전라남도",21.0
"2017","경상북도",22.4
"2017","경상남도",21.4
"2017","제주특별자치도",23.1
"2018","서울",19.8
"2018","부산광역시",21.1
"2018","대구광역시",21.7
"2018","인천광역시",22.9
"2018","광주광역시",21.1
"2018","대전광역시",22.7
"2018","울산광역시",20.2
"2018","세종특별자치시",17.5
"2018","경기도",20.9
"2018","강원특별자치도",24.8
"2018","충청북도",23.2
"2018","충청남도",23.9
"2018","전북특별자치도",21.1
"2018","전라남도",21.2
"2018","경상북도",23.2
"2018","경상남도",20.9
"2018","제주특별자치도",21.8
"2019","서울",17.8
"2019","부산광역시",19.0
"2019","대구광역시",19.8
"2019","인천광역시",20.7
"2019","광주광역시",19.6
"2019","대전광역시",18.9
"2019","울산광역시",19.0
"2019","세종특별자치시",15.9
"2019","경기도",19.9
"2019","강원특별자치도",21.0
"2019","충청북도",22.2
"2019","충청남도",21.5
"2019","전북특별자치도",18.9
"2019","전라남도",21.1
"2019","경상북도",21.2
"2019","경상남도",18.9
"2019","제주특별자치도",20.6
"2020","서울",16.6
"2020","부산광역시",18.5
"2020","대구광역시",19.4
"2020","인천광역시",20.2
"2020","광주광역시",18.5
"2020","대전광역시",17.3
"2020","울산광역시",20.0
"2020","세종특별자치시",15.6
"2020","경기도",19.1
"2020","강원특별자치도",21.6
"2020","충청북도",21.5
"2020","충청남도",20.2
"2020","전북특별자치도",19.6
"2020","전라남도",18.5
"2020","경상북도",20.8
