시점,수술인원,지역별
2006.01,39240,강원
2006.02,39376,강원
2006.03,39513,강원
2006.04,39649,강원
2006.05,39786,강원
2006.06,39922,강원
2006.07,40058,강원
2006.08,40195,강원
2006.09,40331,강원
2006.10,40468,강원
2006.11,40604,강원
2006.12,40741,강원
2007.01,40877,강원
2007.02,40857,강원
2007.03,40836,강원
2007.04,40816,강원
2007.05,40795,강원
2007.06,40775,강원
2007.07,40754,강원
2007.08,40734,강원
2007.09,40714,강원
2007.10,40693,강원
2007.11,40673,강원
2007.12,40652,강원
2008.01,40632,강원
2008.02,40894,강원
2008.03,41156,강원
2008.04,41418,강원
2008.05,41681,강원
2008.06,41943,강원
2008.07,42205,강원
2008.08,42467,강원
2008.09,42729,강원
2008.10,42992,강원
2008.11,43254,강원
2008.12,43516,강원
2009.01,43778,강원
2009.02,43771,강원
2009.03,43763,강원
2009.04,43756,강원
2009.05,43749,강원
2009.06,43741,강원
2009.07,43734,강원
2009.08,43727,강원
2009.09,43719,강원
2009.10,43712,강원
2009.11,43705,강원
2009.12,43697,강원
2010.01,43690,강원
2010.02,43579,강원
2010.03,43468,강원
2010.04,43356,강원
2010.05,43245,강원
2010.06,43134,강원
2010.07,43023,강원
2010.08,42912,강원
2010.09,42801,강원
2010.10,42690,강원
2010.11,42578,강원
2010.12,42467,강원
2011.01,42356,강원
2011.02,42752,강원
2011.03,43149,강원
2011.04,43545,강원
2011.05,43941,강원
2011.06,44338,강원
2011.07,44734,강원
2011.08,45130,강원
2011.09,45527,강원
2011.10,45923,강원
2011.11,46319,강원
2011.12,46716,강원
2012.01,47112,강원
2012.02,47100,강원
2012.03,47088,강원
2012.04,47075,강원
2012.05,47063,강원
2012.06,47051,강원
2012.07,47038,강원
2012.08,47026,강원
2012.09,47014,강원
2012.10,47002,강원
2012.11,46990,강원
2012.12,46977,강원
2013.01,46965,강원
2013.02,46982,강원
2013.03,46999,강원
2013.04,47016,강원
2013.05,47033,강원
2013.06,47050,강원
2013.07,47068,강원
2013.08,47085,강원
2013.09,47102,강원
2013.10,47119,강원
2013.11,47136,강원
2013.12,47153,강원
2014.01,47170,강원
2014.02,47165,강원
2014.03,47160,강원
2014.04,47154,강원
2014.05,47149,강원
2014.06,47144,강원
2014.07,47138,강원
2014.08,47133,강원
2014.09,47128,강원
2014.10,47123,강원
2014.11,47118,강원
2014.12,47112,강원
2015.01,47107,강원
2015.02,47243,강원
2015.03,47379,강원
2015.04,47516,강원
2015.05,47652,강원
2015.06,47788,강원
2015.07,47924,강원
2015.08,48060,강원
2015.09,48196,강원
2015.10,48332,강원
2015.11,48469,강원
2015.12,48605,강원
2016.01,48741,강원
2016.02,48708,강원
2016.03,48674,강원
2016.04,48641,강원
2016.05,48608,강원
2016.06,48575,강원
2016.07,48542,강원
2016.08,48508,강원
2016.09,48475,강원
2016.10,48442,강원
2016.11,48408,강원
2016.12,48375,강원
2017.01,48342,강원
2017.02,48395,강원
2017.03,48448,강원
2017.04,48500,강원
2017.05,48553,강원
2017.06,48606,강원
2017.07,48659,강원
2017.08,48712,강원
2017.09,48765,강원
2017.10,48818,강원
2017.11,48870,강원
2017.12,48923,강원
2018.01,48976,강원
2018.02,49231,강원
2018.03,49486,강원
2018.04,49741,강원
2018.05,49996,강원
2018.06,50251,강원
2018.07,50506,강원
2018.08,50760,강원
2018.09,51015,강원
2018.10,51270,강원
2018.11,51525,강원
2018.12,51780,강원
2019.01,52035,강원
2019.02,51756,강원
2019.03,51477,강원
2019.04,51198,강원
2019.05,50919,강원
2019.06,50640,강원
2019.07,50361,강원
2019.08,50082,강원
2019.09,49803,강원
2019.10,49524,강원
2019.11,49245,강원
2019.12,48966,강원
2020.01,48687,강원
2020.02,48944,강원
2020.03,49200,강원
2020.04,49457,강원
2020.05,49714,강원
2020.06,49970,강원
2020.07,50227,강원
2020.08,50484,강원
2020.09,50740,강원
2020.10,50997,강원
2020.11,51254,강원
2020.12,51510,강원
2021.01,51767,강원
2021.02,51837,강원
2021.03,51908,강원
2021.04,51978,강원
2021.05,52049,강원
2021.06,52119,강원
2021.07,52190,강원
2021.08,52260,강원
2021.09,52330,강원
2021.10,52401,강원
2021.11,52471,강원
2021.12,52542,강원
2022.01,52612,강원
2006.01,265775,경기
2006.02,268370,경기
2006.03,270965,경기
2006.04,273560,경기
2006.05,276155,경기
2006.06,278750,경기
2006.07,281345,경기
2006.08,283940,경기
2006.09,286535,경기
2006.10,289130,경기
2006.11,291725,경기
2006.12,294320,경기
2007.01,296915,경기
2007.02,297795,경기
2007.03,298675,경기
2007.04,299556,경기
2007.05,300436,경기
2007.06,301316,경기
2007.07,302196,경기
2007.08,303076,경기
2007.09,303956,경기
2007.10,304836,경기
2007.11,305717,경기
2007.12,306597,경기
2008.01,307477,경기
2008.02,309952,경기
2008.03,312427,경기
2008.04,314902,경기
2008.05,317377,경기
2008.06,319852,경기
2008.07,322326,경기
2008.08,324801,경기
2008.09,327276,경기
2008.10,329751,경기
2008.11,332226,경기
2008.12,334701,경기
2009.01,337176,경기
2009.02,337975,경기
2009.03,338774,경기
2009.04,339573,경기
2009.05,340372,경기
2009.06,341171,경기
2009.07,341970,경기
2009.08,342769,경기
2009.09,343568,경기
2009.10,344367,경기
2009.11,345166,경기
2009.12,345965,경기
2010.01,346764,경기
2010.02,346041,경기
2010.03,345319,경기
2010.04,344596,경기
2010.05,343874,경기
2010.06,343151,경기
2010.07,342428,경기
2010.08,341706,경기
2010.09,340983,경기
2010.10,340261,경기
2010.11,339538,경기
2010.12,338816,경기
2011.01,338093,경기
2011.02,337681,경기
2011.03,337270,경기
2011.04,336858,경기
2011.05,336446,경기
2011.06,336034,경기
2011.07,335622,경기
2011.08,335211,경기
2011.09,334799,경기
2011.10,334387,경기
2011.11,333976,경기
2011.12,333564,경기
2012.01,333152,경기
2012.02,332790,경기
2012.03,332427,경기
2012.04,332065,경기
2012.05,331703,경기
2012.06,331340,경기
2012.07,330978,경기
2012.08,330616,경기
2012.09,330253,경기
2012.10,329891,경기
2012.11,329529,경기
2012.12,329166,경기
2013.01,328804,경기
2013.02,328893,경기
2013.03,328982,경기
2013.04,329070,경기
2013.05,329159,경기
2013.06,329248,경기
2013.07,329336,경기
2013.08,329425,경기
2013.09,329514,경기
2013.10,329603,경기
2013.11,329692,경기
2013.12,329780,경기
2014.01,329869,경기
2014.02,329862,경기
2014.03,329856,경기
2014.04,329849,경기
2014.05,329842,경기
2014.06,329835,경기
2014.07,329828,경기
2014.08,329822,경기
2014.09,329815,경기
2014.10,329808,경기
2014.11,329802,경기
2014.12,329795,경기
2015.01,329788,경기
2015.02,331057,경기
2015.03,332326,경기
2015.04,333594,경기
2015.05,334863,경기
2015.06,336132,경기
2015.07,337401,경기
2015.08,338670,경기
2015.09,339939,경기
2015.10,341208,경기
2015.11,342476,경기
2015.12,343745,경기
