"시점","지역별",수술인원
"2006","서울",240090
"2006","부산광역시",93308
"2006","대구광역시",59194
"2006","인천광역시",62404
"2006","광주광역시",34139
"2006","대전광역시",35062
"2006","울산광역시",29636
"2006","경기도",265775
"2006","강원특별자치도",39240
"2006","충청북도",39383
"2006","충청남도",58037
"2006","전북특별자치도",55365
"2006","전라남도",58329
"2006","경상북도",69241
"2006","경상남도",85572
"2006","제주특별자치도",13159
"2007","서울",258148
"2007","부산광역시",99907
"2007","대구광역시",61303
"2007","인천광역시",68746
"2007","광주광역시",35726
"2007","대전광역시",37599
"2007","울산광역시",32592
"2007","경기도",296915
"2007","강원특별자치도",40877
"2007","충청북도",41307
"2007","충청남도",57463
"2007","전북특별자치도",55145
"2007","전라남도",56827
"2007","경상북도",70560
"2007","경상남도",91195
"2007","제주특별자치도",14139
"2008","서울",264974
"2008","부산광역시",100227
"2008","대구광역시",62424
"2008","인천광역시",71924
"2008","광주광역시",36877
"2008","대전광역시",38897
"2008","울산광역시",34733
"2008","경기도",307477
"2008","강원특별자치도",40632
"2008","충청북도",40661
"2008","충청남도",56336
"2008","전북특별자치도",53519
"2008","전라남도",54324
"2008","경상북도",68869
"2008","경상남도",90540
"2008","제주특별자치도",13283
"2009","서울",286885
"2009","부산광역시",109483
"2009","대구광역시",69423
"2009","인천광역시",79631
"2009","광주광역시",40576
"2009","대전광역시",40977
"2009","울산광역시",38337
"2009","경기도",337176
"2009","강원특별자치도",43778
"2009","충청북도",45147
"2009","충청남도",61043
"2009","전북특별자치도",56255
"2009","전라남도",58542
"2009","경상북도",75490
"2009","경상남도",100863
"2009","제주특별자치도",14623
"2010","서울",289100
"2010","부산광역시",111367
"2010","대구광역시",69532
"2010","인천광역시",81794
"2010","광주광역시",41197
"2010","대전광역시",42641
"2010","울산광역시",38265
"2010","경기도",346764
"2010","강원특별자치도",43690
"2010","충청북도",47070
"2010","충청남도",62433
"2010","전북특별자치도",56279
"2010","전라남도",58054
"2010","경상북도",76885
"2010","경상남도",101676
"2010","제주특별자치도",14688
"2011","서울",275956
"2011","부산광역시",109703
"2011","대구광역시",65769
"2011","인천광역시",79437
"2011","광주광역시",40529
"2011","대전광역시",40880
