시점,근로시간,지역별
2011.01,2092.8,강원
2011.02,2086.0,강원
2011.03,2079.2,강원
2011.04,2072.4,강원
2011.05,2065.6,강원
2011.06,2058.8,강원
2011.07,2052.0,강원
2011.08,2045.2,강원
2011.09,2038.4,강원
2011.10,2031.6,강원
2011.11,2024.8,강원
2011.12,2018.0,강원
2012.01,2011.2,강원
2012.02,2021.3,강원
2012.03,2031.4,강원
2012.04,2041.5,강원
2012.05,2051.6,강원
2012.06,2061.7,강원
2012.07,2071.8,강원
2012.08,2081.9,강원
2012.09,2092.0,강원
2012.10,2102.1,강원
2012.11,2112.2,강원
2012.12,2122.3,강원
2013.01,2132.4,강원
2013.02,2130.4,강원
2013.03,2128.4,강원
2013.04,2126.4,강원
2013.05,2124.4,강원
2013.06,2122.4,강원
2013.07,2120.4,강원
2013.08,2118.4,강원
2013.09,2116.4,강원
2013.10,2114.4,강원
2013.11,2112.4,강원
2013.12,2110.4,강원
2014.01,2108.4,강원
2014.02,2106.7,강원
2014.03,2105.0,강원
2014.04,2103.3,강원
2014.05,2101.6,강원
2014.06,2099.9,강원
2014.07,2098.2,강원
2014.08,2096.5,강원
2014.09,2094.8,강원
2014.10,2093.1,강원
2014.11,2091.4,강원
2014.12,2089.7,강원
2015.01,2088.0,강원
2015.02,2076.7,강원
2015.03,2065.4,강원
2015.04,2054.1,강원
2015.05,2042.8,강원
2015.06,2031.5,강원
2015.07,2020.2,강원
2015.08,2008.9,강원
2015.09,1997.6,강원
2015.10,1986.3,강원
2015.11,1975.0,강원
2015.12,1963.7,강원
2016.01,1952.4,강원
2016.02,1949.6,강원
2016.03,1946.8,강원
2016.04,1944.0,강원
2016.05,1941.2,강원
2016.06,1938.4,강원
2016.07,1935.6,강원
2016.08,1932.8,강원
2016.09,1930.0,강원
2016.10,1927.2,강원
2016.11,1924.4,강원
2016.12,1921.6,강원
2017.01,1918.8,강원
2017.02,1923.5,강원
2017.03,1928.2,강원
2017.04,1932.9,강원
2017.05,1937.6,강원
2017.06,1942.3,강원
2017.07,1947.0,강원
2017.08,1951.7,강원
2017.09,1956.4,강원
2017.10,1961.1,강원
2017.11,1965.8,강원
2017.12,1970.5,강원
2018.01,1975.2,강원
2018.02,1979.7,강원
2018.03,1984.2,강원
2018.04,1988.7,강원
2018.05,1993.2,강원
2018.06,1997.7,강원
2018.07,2002.2,강원
2018.08,2006.7,강원
2018.09,2011.2,강원
2018.10,2015.7,강원
2018.11,2020.2,강원
2018.12,2024.7,강원
2019.01,2029.2,강원
2019.02,1872.7,강원
2019.03,1716.2,강원
2019.04,1559.7,강원
2019.05,1403.2,강원
2019.06,1246.7,강원
2019.07,1090.2,강원
2019.08,933.7,강원
2019.09,777.2,강원
2019.10,620.7,강원
2019.11,464.2,강원
2019.12,307.7,강원
2020.01,151.2,강원
2020.02,152.3,강원
2020.03,153.4,강원
2020.04,154.5,강원
2020.05,155.6,강원
2020.06,156.7,강원
2020.07,157.8,강원
2020.08,158.9,강원
2020.09,160.0,강원
2020.10,161.1,강원
2020.11,162.2,강원
2020.12,163.3,강원
2021.01,164.4,강원
2021.02,163.9,강원
2021.03,163.4,강원
2021.04,162.9,강원
2021.05,162.4,강원
2021.06,161.9,강원
2021.07,161.4,강원
2021.08,160.9,강원
2021.09,160.4,강원
2021.10,159.9,강원
2021.11,159.4,강원
2021.12,158.9,강원
2022.01,158.4,강원
2022.02,157.9,강원
2022.03,157.4,강원
2022.04,156.9,강원
2022.05,156.4,강원
2022.06,155.9,강원
2022.07,155.4,강원
2022.08,154.9,강원
2022.09,154.4,강원
2022.10,153.9,강원
2022.11,153.4,강원
2022.12,152.9,강원
2023.01,152.4,강원
2011.01,2086.8,경기
2011.02,2078.0,경기
2011.03,2069.2,경기
2011.04,2060.4,경기
2011.05,2051.6,경기
2011.06,2042.8,경기
2011.07,2034.0,경기
2011.08,2025.2,경기
2011.09,2016.4,경기
2011.10,2007.6,경기
2011.11,1998.8,경기
2011.12,1990.0,경기
2012.01,1981.2,경기
2012.02,1992.6,경기
2012.03,2004.0,경기
2012.04,2015.4,경기
2012.05,2026.8,경기
2012.06,2038.2,경기
2012.07,2049.6,경기
2012.08,2061.0,경기
2012.09,2072.4,경기
2012.10,2083.8,경기
2012.11,2095.2,경기
2012.12,2106.6,경기
2013.01,2118.0,경기
2013.02,2117.1,경기
2013.03,2116.2,경기
