시점,어린이집,지역별
2010.01,1085.000,강원
2010.02,1090.167,강원
2010.03,1095.333,강원
2010.04,1100.500,강원
2010.05,1105.667,강원
2010.06,1110.833,강원
2010.07,1116.000,강원
2010.08,1121.167,강원
2010.09,1126.333,강원
2010.10,1131.500,강원
2010.11,1136.667,강원
2010.12,1141.833,강원
2011.01,1147.000,강원
2011.02,1155.083,강원
2011.03,1163.167,강원
2011.04,1171.250,강원
2011.05,1179.333,강원
2011.06,1187.417,강원
2011.07,1195.500,강원
2011.08,1203.583,강원
2011.09,1211.667,강원
2011.10,1219.750,강원
2011.11,1227.833,강원
2011.12,1235.917,강원
2012.01,1244.000,강원
2012.02,1245.750,강원
2012.03,1247.500,강원
2012.04,1249.250,강원
2012.05,1251.000,강원
2012.06,1252.750,강원
2012.07,1254.500,강원
2012.08,1256.250,강원
2012.09,1258.000,강원
2012.10,1259.750,강원
2012.11,1261.500,강원
2012.12,1263.250,강원
2013.01,1265.000,강원
2013.02,1264.333,강원
2013.03,1263.667,강원
2013.04,1263.000,강원
2013.05,1262.333,강원
2013.06,1261.667,강원
2013.07,1261.000,강원
2013.08,1260.333,강원
2013.09,1259.667,강원
2013.10,1259.000,강원
2013.11,1258.333,강원
2013.12,1257.667,강원
2014.01,1257.000,강원
2014.02,1254.500,강원
2014.03,1252.000,강원
2014.04,1249.500,강원
2014.05,1247.000,강원
2014.06,1244.500,강원
2014.07,1242.000,강원
2014.08,1239.500,강원
2014.09,1237.000,강원
2014.10,1234.500,강원
2014.11,1232.000,강원
2014.12,1229.500,강원
2015.01,1227.000,강원
2015.02,1223.083,강원
2015.03,1219.167,강원
2015.04,1215.250,강원
2015.05,1211.333,강원
2015.06,1207.417,강원
2015.07,1203.500,강원
2015.08,1199.583,강원
2015.09,1195.667,강원
2015.10,1191.750,강원
2015.11,1187.833,강원
2015.12,1183.917,강원
2016.01,1180.000,강원
2016.02,1177.417,강원
2016.03,1174.833,강원
2016.04,1172.250,강원
2016.05,1169.667,강원
2016.06,1167.083,강원
2016.07,1164.500,강원
2016.08,1161.917,강원
2016.09,1159.333,강원
2016.10,1156.750,강원
2016.11,1154.167,강원
2016.12,1151.583,강원
2017.01,1149.000,강원
2017.02,1143.750,강원
2017.03,1138.500,강원
2017.04,1133.250,강원
2017.05,1128.000,강원
2017.06,1122.750,강원
2017.07,1117.500,강원
2017.08,1112.250,강원
2017.09,1107.000,강원
2017.10,1101.750,강원
2017.11,1096.500,강원
2017.12,1091.250,강원
2018.01,1086.000,강원
2018.02,1081.833,강원
2018.03,1077.667,강원
2018.04,1073.500,강원
2018.05,1069.333,강원
2018.06,1065.167,강원
2018.07,1061.000,강원
2018.08,1056.833,강원
2018.09,1052.667,강원
2018.10,1048.500,강원
2018.11,1044.333,강원
2018.12,1040.167,강원
2019.01,1036.000,강원
2019.02,1032.917,강원
2019.03,1029.833,강원
2019.04,1026.750,강원
2019.05,1023.667,강원
2019.06,1020.583,강원
2019.07,1017.500,강원
2019.08,1014.417,강원
2019.09,1011.333,강원
2019.10,1008.250,강원
2019.11,1005.167,강원
2019.12,1002.083,강원
2020.01,999.000,강원
2020.02,995.250,강원
2020.03,991.500,강원
2020.04,987.750,강원
2020.05,984.000,강원
2020.06,980.250,강원
2020.07,976.500,강원
2020.08,972.750,강원
2020.09,969.000,강원
2020.10,965.250,강원
2020.11,961.500,강원
2020.12,957.750,강원
2021.01,954.000,강원
2021.02,950.000,강원
2021.03,946.000,강원
2021.04,942.000,강원
2021.05,938.000,강원
2021.06,934.000,강원
2021.07,930.000,강원
2021.08,926.000,강원
2021.09,922.000,강원
2021.10,918.000,강원
2021.11,914.000,강원
2021.12,910.000,강원
2022.01,906.000,강원
2022.02,901.083,강원
2022.03,896.167,강원
2022.04,891.250,강원
2022.05,886.333,강원
2022.06,881.417,강원
2022.07,876.500,강원
2022.08,871.583,강원
2022.09,866.667,강원
2022.10,861.750,강원
2022.11,856.833,강원
2022.12,851.917,강원
2023.01,847.000,강원
2010.01,11273.000,경기
2010.02,11319.000,경기
2010.03,11365.000,경기
2010.04,11411.000,경기
2010.05,11457.000,경기
2010.06,11503.000,경기
2010.07,11549.000,경기
2010.08,11595.000,경기
2010.09,11641.000,경기
2010.10,11687.000,경기
2010.11,11733.000,경기
2010.12,11779.000,경기
2011.01,11825.000,경기
2011.02,11912.000,경기
2011.03,11999.000,경기
2011.04,12086.000,경기
2011.05,12173.000,경기
2011.06,12260.000,경기
2011.07,12347.000,경기
2011.08,12434.000,경기
2011.09,12521.000,경기
2011.10,12608.000,경기
2011.11,12695.000,경기
2011.12,12782.000,경기
2012.01,12869.000,경기
2012.02,12910.250,경기
2012.03,12951.500,경기
2012.04,12992.750,경기
2012.05,13034.000,경기
2012.06,13075.250,경기
2012.07,13116.500,경기
2012.08,13157.750,경기
2012.09,13199.000,경기
2012.10,13240.250,경기
2012.11,13281.500,경기
2012.12,13322.750,경기
2013.01,13364.000,경기
2013.02,13355.250,경기
2013.03,13346.500,경기
2013.04,13337.750,경기
2013.05,13329.000,경기
2013.06,13320.250,경기
2013.07,13311.500,경기
2013.08,13302.750,경기
2013.09,13294.000,경기
2013.10,13285.250,경기
2013.11,13276.500,경기
2013.12,13267.750,경기
2014.01,13259.000,경기
2014.02,13211.500,경기
2014.03,13164.000,경기
2014.04,13116.500,경기
2014.05,13069.000,경기
2014.06,13021.500,경기
2014.07,12974.000,경기
2014.08,12926.500,경기
2014.09,12879.000,경기
2014.10,12831.500,경기
2014.11,12784.000,경기
2014.12,12736.500,경기
2015.01,12689.000,경기
2015.02,12641.583,경기
2015.03,12594.167,경기
2015.04,12546.750,경기
2015.05,12499.333,경기
2015.06,12451.917,경기
2015.07,12404.500,경기
2015.08,12357.083,경기
2015.09,12309.667,경기
2015.10,12262.250,경기
2015.11,12214.833,경기
2015.12,12167.417,경기
2016.01,12120.000,경기
2016.02,12095.417,경기
2016.03,12070.833,경기
2016.04,12046.250,경기
2016.05,12021.667,경기
2016.06,11997.083,경기
2016.07,11972.500,경기
2016.08,11947.917,경기
2016.09,11923.333,경기
2016.10,11898.750,경기
2016.11,11874.167,경기
2016.12,11849.583,경기
2017.01,11825.000,경기
2017.02,11813.083,경기
2017.03,11801.167,경기
2017.04,11789.250,경기
2017.05,11777.333,경기
2017.06,11765.417,경기
2017.07,11753.500,경기
2017.08,11741.583,경기
2017.09,11729.667,경기
2017.10,11717.750,경기
2017.11,11705.833,경기
2017.12,11693.917,경기
2018.01,11682.000,경기
2018.02,11650.583,경기
2018.03,11619.167,경기
2018.04,11587.750,경기
2018.05,11556.333,경기
2018.06,11524.917,경기
2018.07,11493.500,경기
2018.08,11462.083,경기
2018.09,11430.667,경기
2018.10,11399.250,경기
2018.11,11367.833,경기
2018.12,11336.417,경기
2019.01,11305.000,경기
2019.02,11259.667,경기
2019.03,11214.333,경기
2019.04,11169.000,경기
2019.05,11123.667,경기
2019.06,11078.333,경기
2019.07,11033.000,경기
2019.08,10987.667,경기
2019.09,10942.333,경기
2019.10,10897.000,경기
2019.11,10851.667,경기
2019.12,10806.333,경기
2020.01,10761.000,경기
2020.02,10708.917,경기
2020.03,10656.833,경기
2020.04,10604.750,경기
2020.05,10552.667,경기
2020.06,10500.583,경기
2020.07,10448.500,경기
2020.08,10396.417,경기
2020.09,10344.333,경기
2020.10,10292.250,경기
2020.11,10240.167,경기
2020.12,10188.083,경기
2021.01,10136.000,경기
2021.02,10077.833,경기
2021.03,10019.667,경기
2021.04,9961.500,경기
2021.05,9903.333,경기
2021.06,9845.167,경기
2021.07,9787.000,경기
2021.08,9728.833,경기
2021.09,9670.667,경기
2021.10,9612.500,경기
2021.11,9554.333,경기
2021.12,9496.167,경기
2022.01,9438.000,경기
2022.02,9393.417,경기
2022.03,9348.833,경기
2022.04,9304.250,경기
2022.05,9259.667,경기
2022.06,9215.083,경기
2022.07,9170.500,경기
2022.08,9125.917,경기
2022.09,9081.333,경기
2022.10,9036.750,경기
2022.11,8992.167,경기
2022.12,8947.583,경기
2023.01,8903.000,경기
2010.01,3234.000,경남
2010.02,3247.750,경남
2010.03,3261.500,경남
2010.04,3275.250,경남
2010.05,3289.000,경남
2010.06,3302.750,경남
2010.07,3316.500,경남
2010.08,3330.250,경남
2010.09,3344.000,경남
2010.10,3357.750,경남
2010.11,3371.500,경남
2010.12,3385.250,경남
2011.01,3399.000,경남
2011.02,3412.583,경남
2011.03,3426.167,경남
2011.04,3439.750,경남
2011.05,3453.333,경남
2011.06,3466.917,경남
2011.07,3480.500,경남
2011.08,3494.083,경남
2011.09,3507.667,경남
2011.10,3521.250,경남
2011.11,3534.833,경남
2011.12,3548.417,경남
2012.01,3562.000,경남
2012.02,3567.333,경남
2012.03,3572.667,경남
2012.04,3578.000,경남
2012.05,3583.333,경남
2012.06,3588.667,경남
2012.07,3594.000,경남
2012.08,3599.333,경남
2012.09,3604.667,경남
2012.10,3610.000,경남
2012.11,3615.333,경남
2012.12,3620.667,경남
2013.01,3626.000,경남
2013.02,3618.250,경남
2013.03,3610.500,경남
2013.04,3602.750,경남
2013.05,3595.000,경남
2013.06,3587.250,경남
2013.07,3579.500,경남
2013.08,3571.750,경남
2013.09,3564.000,경남
2013.10,3556.250,경남
2013.11,3548.500,경남
2013.12,3540.750,경남
2014.01,3533.000,경남
2014.02,3517.667,경남
2014.03,3502.333,경남
2014.04,3487.000,경남
2014.05,3471.667,경남
2014.06,3456.333,경남
2014.07,3441.000,경남
2014.08,3425.667,경남
2014.09,3410.333,경남
2014.10,3395.000,경남
2014.11,3379.667,경남
2014.12,3364.333,경남
2015.01,3349.000,경남
2015.02,3333.083,경남
2015.03,3317.167,경남
2015.04,3301.250,경남
2015.05,3285.333,경남
2015.06,3269.417,경남
2015.07,3253.500,경남
2015.08,3237.583,경남
2015.09,3221.667,경남
2015.10,3205.750,경남
2015.11,3189.833,경남
2015.12,3173.917,경남
2016.01,3158.000,경남
2016.02,3151.833,경남
2016.03,3145.667,경남
2016.04,3139.500,경남
