시점,어린이집,지역별
2010.01,1085.00,강원
2010.02,1090.17,강원
2010.03,1095.33,강원
2010.04,1100.50,강원
2010.05,1105.67,강원
2010.06,1110.83,강원
2010.07,1116.00,강원
2010.08,1121.17,강원
2010.09,1126.33,강원
2010.10,1131.50,강원
2010.11,1136.67,강원
2010.12,1141.83,강원
2011.01,1147.00,강원
2011.02,1155.08,강원
2011.03,1163.17,강원
2011.04,1171.25,강원
2011.05,1179.33,강원
2011.06,1187.42,강원
2011.07,1195.50,강원
2011.08,1203.58,강원
2011.09,1211.67,강원
2011.10,1219.75,강원
2011.11,1227.83,강원
2011.12,1235.92,강원
2012.01,1244.00,강원
2012.02,1245.75,강원
2012.03,1247.50,강원
2012.04,1249.25,강원
2012.05,1251.00,강원
2012.06,1252.75,강원
2012.07,1254.50,강원
2012.08,1256.25,강원
2012.09,1258.00,강원
2012.10,1259.75,강원
2012.11,1261.50,강원
2012.12,1263.25,강원
2013.01,1265.00,강원
2013.02,1264.33,강원
2013.03,1263.67,강원
2013.04,1263.00,강원
2013.05,1262.33,강원
2013.06,1261.67,강원
2013.07,1261.00,강원
2013.08,1260.33,강원
2013.09,1259.67,강원
2013.10,1259.00,강원
2013.11,1258.33,강원
2013.12,1257.67,강원
2014.01,1257.00,강원
2014.02,1254.50,강원
2014.03,1252.00,강원
2014.04,1249.50,강원
2014.05,1247.00,강원
2014.06,1244.50,강원
2014.07,1242.00,강원
2014.08,1239.50,강원
2014.09,1237.00,강원
2014.10,1234.50,강원
2014.11,1232.00,강원
2014.12,1229.50,강원
2015.01,1227.00,강원
2015.02,1223.08,강원
2015.03,1219.17,강원
2015.04,1215.25,강원
2015.05,1211.33,강원
2015.06,1207.42,강원
2015.07,1203.50,강원
2015.08,1199.58,강원
2015.09,1195.67,강원
2015.10,1191.75,강원
2015.11,1187.83,강원
2015.12,1183.92,강원
2016.01,1180.00,강원
2016.02,1177.42,강원
2016.03,1174.83,강원
2016.04,1172.25,강원
2016.05,1169.67,강원
2016.06,1167.08,강원
2016.07,1164.50,강원
2016.08,1161.92,강원
2016.09,1159.33,강원
2016.10,1156.75,강원
2016.11,1154.17,강원
2016.12,1151.58,강원
2017.01,1149.00,강원
2017.02,1143.75,강원
2017.03,1138.50,강원
2017.04,1133.25,강원
2017.05,1128.00,강원
2017.06,1122.75,강원
2017.07,1117.50,강원
2017.08,1112.25,강원
2017.09,1107.00,강원
2017.10,1101.75,강원
2017.11,1096.50,강원
2017.12,1091.25,강원
2018.01,1086.00,강원
2018.02,1081.83,강원
2018.03,1077.67,강원
2018.04,1073.50,강원
2018.05,1069.33,강원
2018.06,1065.17,강원
2018.07,1061.00,강원
2018.08,1056.83,강원
2018.09,1052.67,강원
2018.10,1048.50,강원
2018.11,1044.33,강원
2018.12,1040.17,강원
2019.01,1036.00,강원
2019.02,1032.92,강원
2019.03,1029.83,강원
2019.04,1026.75,강원
2019.05,1023.67,강원
2019.06,1020.58,강원
2019.07,1017.50,강원
2019.08,1014.42,강원
2019.09,1011.33,강원
2019.10,1008.25,강원
2019.11,1005.17,강원
2019.12,1002.08,강원
2020.01,999.00,강원
2020.02,995.25,강원
2020.03,991.50,강원
2020.04,987.75,강원
2020.05,984.00,강원
2020.06,980.25,강원
2020.07,976.50,강원
2020.08,972.75,강원
2020.09,969.00,강원
2020.10,965.25,강원
2020.11,961.50,강원
2020.12,957.75,강원
2021.01,954.00,강원
2021.02,950.00,강원
2021.03,946.00,강원
2021.04,942.00,강원
2021.05,938.00,강원
2021.06,934.00,강원
2021.07,930.00,강원
2021.08,926.00,강원
2021.09,922.00,강원
2021.10,918.00,강원
2021.11,914.00,강원
2021.12,910.00,강원
2022.01,906.00,강원
2022.02,901.08,강원
2022.03,896.17,강원
2022.04,891.25,강원
2022.05,886.33,강원
2022.06,881.42,강원
2022.07,876.50,강원
2022.08,871.58,강원
2022.09,866.67,강원
2022.10,861.75,강원
2022.11,856.83,강원
2022.12,851.92,강원
2023.01,847.00,강원
2010.01,11273.00,경기
2010.02,11319.00,경기
2010.03,11365.00,경기
2010.04,11411.00,경기
2010.05,11457.00,경기
2010.06,11503.00,경기
2010.07,11549.00,경기
2010.08,11595.00,경기
2010.09,11641.00,경기
2010.10,11687.00,경기
2010.11,11733.00,경기
2010.12,11779.00,경기
2011.01,11825.00,경기
2011.02,11912.00,경기
2011.03,11999.00,경기
2011.04,12086.00,경기
2011.05,12173.00,경기
2011.06,12260.00,경기
2011.07,12347.00,경기
2011.08,12434.00,경기
2011.09,12521.00,경기
2011.10,12608.00,경기
2011.11,12695.00,경기
2011.12,12782.00,경기
2012.01,12869.00,경기
2012.02,12910.25,경기
2012.03,12951.50,경기
2012.04,12992.75,경기
2012.05,13034.00,경기
2012.06,13075.25,경기
2012.07,13116.50,경기
2012.08,13157.75,경기
2012.09,13199.00,경기
2012.10,13240.25,경기
2012.11,13281.50,경기
2012.12,13322.75,경기
2013.01,13364.00,경기
2013.02,13355.25,경기
2013.03,13346.50,경기
2013.04,13337.75,경기
2013.05,13329.00,경기
2013.06,13320.25,경기
2013.07,13311.50,경기
2013.08,13302.75,경기
2013.09,13294.00,경기
2013.10,13285.25,경기
2013.11,13276.50,경기
2013.12,13267.75,경기
2014.01,13259.00,경기
2014.02,13211.50,경기
2014.03,13164.00,경기
2014.04,13116.50,경기
2014.05,13069.00,경기
2014.06,13021.50,경기
2014.07,12974.00,경기
2014.08,12926.50,경기
2014.09,12879.00,경기
2014.10,12831.50,경기
2014.11,12784.00,경기
2014.12,12736.50,경기
2015.01,12689.00,경기
2015.02,12641.58,경기
2015.03,12594.17,경기
2015.04,12546.75,경기
2015.05,12499.33,경기
2015.06,12451.92,경기
2015.07,12404.50,경기
2015.08,12357.08,경기
2015.09,12309.67,경기
2015.10,12262.25,경기
2015.11,12214.83,경기
2015.12,12167.42,경기
2016.01,12120.00,경기
2016.02,12095.42,경기
2016.03,12070.83,경기
2016.04,12046.25,경기
