지역별,시점,총이동인구수,청년층이동인구수
서울,2012.01,-3381,1468
서울,2012.02,-2853,4566
서울,2012.03,-9032,1419
서울,2012.04,-8695,113
서울,2012.05,-8379,256
서울,2012.06,-7834,-432
서울,2012.07,-8753,-257
서울,2012.08,-9226,287
서울,2012.09,-8190,-813
서울,2012.1,-11349,-1912
서울,2012.11,-11130,-955
서울,2012.12,-14825,-3742
서울,2013.01,-4529,1927
서울,2013.02,-4723,3247
서울,2013.03,-7713,1689
서울,2013.04,-10005,-380
서울,2013.05,-8211,5
서울,2013.06,-8750,-1002
서울,2013.07,-8888,-846
서울,2013.08,-6930,826
서울,2013.09,-6519,-642
서울,2013.1,-8773,-1359
서울,2013.11,-11357,-1643
서울,2013.12,-14152,-3651
서울,2014.01,-4272,1848
서울,2014.02,-2832,3970
서울,2014.03,-6143,2816
서울,2014.04,-8456,370
서울,2014.05,-7587,667
서울,2014.06,-8395,-374
서울,2014.07,-7519,151
서울,2014.08,-5663,1466
서울,2014.09,-6126,90
서울,2014.1,-9122,-1094
서울,2014.11,-9168,-902
서울,2014.12,-12548,-2872
서울,2015.01,-3055,2783
서울,2015.02,-4136,3571
서울,2015.03,-9374,2077
서울,2015.04,-11117,-763
서울,2015.05,-11676,-1059
서울,2015.06,-14378,-1622
서울,2015.07,-11723,-798
서울,2015.08,-12911,-446
서울,2015.09,-12886,-1614
서울,2015.1,-14997,-2411
서울,2015.11,-13610,-1706
서울,2015.12,-17393,-4240
서울,2016.01,-6854,2222
서울,2016.02,-8211,3461
서울,2016.03,-8820,2415
서울,2016.04,-10658,367
서울,2016.05,-11958,-579
서울,2016.06,-12064,-941
서울,2016.07,-12845,-1024
서울,2016.08,-14671,482
서울,2016.09,-10910,-317
서울,2016.1,-13258,-973
서울,2016.11,-14582,-1464
서울,2016.12,-15426,-3099
서울,2017.01,-2518,3315
서울,2017.02,-1548,6178
서울,2017.03,-4699,4198
서울,2017.04,-6375,1939
서울,2017.05,-6590,2079
서울,2017.06,-6045,1856
서울,2017.07,-8243,936
서울,2017.08,-8991,2255
서울,2017.09,-13331,-770
서울,2017.1,-10741,-381
서울,2017.11,-14687,-1775
서울,2017.12,-14718,-2076
서울,2018.01,-7155,3319
서울,2018.02,-7234,4342
서울,2018.03,-7978,4224
서울,2018.04,-10067,1625
서울,2018.05,-11298,594
서울,2018.06,-8522,1587
서울,2018.07,-9401,1733
