시점,지역별,상용소정실근로시간 (시간)
2011.01,서울,170.5
2011.02,서울,170.5
2011.03,서울,170.5
2011.04,서울,170.5
2011.05,서울,170.5
2011.06,서울,170.5
2011.07,서울,170.5
2011.08,서울,170.5
2011.09,서울,170.5
2011.10,서울,170.5
2011.11,서울,170.5
2011.12,서울,170.5
2012.01,서울,162.1
2012.02,서울,162.1
2012.03,서울,162.1
2012.04,서울,162.1
2012.05,서울,162.1
2012.06,서울,162.1
2012.07,서울,162.1
2012.08,서울,162.1
2012.09,서울,162.1
2012.10,서울,162.1
2012.11,서울,162.1
2012.12,서울,162.1
2013.01,서울,175.3
2013.02,서울,175.3
2013.03,서울,175.3
2013.04,서울,175.3
2013.05,서울,175.3
2013.06,서울,175.3
2013.07,서울,175.3
2013.08,서울,175.3
2013.09,서울,175.3
2013.10,서울,175.3
2013.11,서울,175.3
2013.12,서울,175.3
2014.01,서울,174.6
2014.02,서울,174.6
2014.03,서울,174.6
2014.04,서울,174.6
2014.05,서울,174.6
2014.06,서울,174.6
2014.07,서울,174.6
2014.08,서울,174.6
2014.09,서울,174.6
2014.10,서울,174.6
2014.11,서울,174.6
2014.12,서울,174.6
2015.01,서울,175.0
2015.02,서울,175.0
2015.03,서울,175.0
2015.04,서울,175.0
2015.05,서울,175.0
2015.06,서울,175.0
2015.07,서울,175.0
2015.08,서울,175.0
2015.09,서울,175.0
2015.10,서울,175.0
2015.11,서울,175.0
2015.12,서울,175.0
2016.01,서울,162.9
2016.02,서울,162.9
2016.03,서울,162.9
2016.04,서울,162.9
2016.05,서울,162.9
2016.06,서울,162.9
2016.07,서울,162.9
2016.08,서울,162.9
2016.09,서울,162.9
2016.10,서울,162.9
2016.11,서울,162.9
2016.12,서울,162.9
2017.01,서울,161.1
2017.02,서울,161.1
2017.03,서울,161.1
2017.04,서울,161.1
2017.05,서울,161.1
2017.06,서울,161.1
2017.07,서울,161.1
2017.08,서울,161.1
2017.09,서울,161.1
2017.10,서울,161.1
2017.11,서울,161.1
2017.12,서울,161.1
2018.01,서울,165.9
2018.02,서울,165.9
2018.03,서울,165.9
2018.04,서울,165.9
2018.05,서울,165.9
2018.06,서울,165.9
2018.07,서울,165.9
2018.08,서울,165.9
2018.09,서울,165.9
2018.10,서울,165.9
2018.11,서울,165.9
2018.12,서울,165.9
2019.01,서울,171.5
2019.02,서울,171.5
2019.03,서울,171.5
2019.04,서울,171.5
2019.05,서울,171.5
2019.06,서울,171.5
2019.07,서울,171.5
2019.08,서울,171.5
2019.09,서울,171.5
2019.10,서울,171.5
2019.11,서울,171.5
2019.12,서울,171.5
2011.01,부산,176.6
2011.02,부산,176.6
2011.03,부산,176.6
2011.04,부산,176.6
2011.05,부산,176.6
2011.06,부산,176.6
2011.07,부산,176.6
2011.08,부산,176.6
2011.09,부산,176.6
2011.10,부산,176.6
2011.11,부산,176.6
2011.12,부산,176.6
2012.01,부산,168.1
2012.02,부산,168.1
2012.03,부산,168.1
2012.04,부산,168.1
2012.05,부산,168.1
2012.06,부산,168.1
2012.07,부산,168.1
2012.08,부산,168.1
2012.09,부산,168.1
2012.10,부산,168.1
2012.11,부산,168.1
2012.12,부산,168.1
2013.01,부산,178.9
2013.02,부산,178.9
2013.03,부산,178.9
2013.04,부산,178.9
2013.05,부산,178.9
2013.06,부산,178.9
2013.07,부산,178.9
2013.08,부산,178.9
2013.09,부산,178.9
2013.10,부산,178.9
2013.11,부산,178.9
2013.12,부산,178.9
2014.01,부산,178.4
2014.02,부산,178.4
2014.03,부산,178.4
2014.04,부산,178.4
2014.05,부산,178.4
2014.06,부산,178.4
2014.07,부산,178.4
2014.08,부산,178.4
2014.09,부산,178.4
2014.10,부산,178.4
2014.11,부산,178.4
2014.12,부산,178.4
2015.01,부산,177.4
2015.02,부산,177.4
2015.03,부산,177.4
2015.04,부산,177.4
2015.05,부산,177.4
2015.06,부산,177.4
2015.07,부산,177.4
2015.08,부산,177.4
2015.09,부산,177.4
2015.10,부산,177.4
2015.11,부산,177.4
2015.12,부산,177.4
2016.01,부산,167.6
2016.02,부산,167.6
2016.03,부산,167.6
2016.04,부산,167.6
2016.05,부산,167.6
2016.06,부산,167.6
2016.07,부산,167.6
2016.08,부산,167.6
2016.09,부산,167.6
2016.10,부산,167.6
2016.11,부산,167.6
2016.12,부산,167.6
2017.01,부산,165.0
2017.02,부산,165.0
2017.03,부산,165.0
2017.04,부산,165.0
2017.05,부산,165.0
2017.06,부산,165.0
2017.07,부산,165.0
2017.08,부산,165.0
2017.09,부산,165.0
2017.10,부산,165.0
2017.11,부산,165.0
2017.12,부산,165.0
2018.01,부산,167.3
2018.02,부산,167.3
2018.03,부산,167.3
2018.04,부산,167.3
2018.05,부산,167.3
2018.06,부산,167.3
2018.07,부산,167.3
2018.08,부산,167.3
2018.09,부산,167.3
2018.10,부산,167.3
2018.11,부산,167.3
2018.12,부산,167.3
2019.01,부산,172.6
2019.02,부산,172.6
2019.03,부산,172.6
2019.04,부산,172.6
2019.05,부산,172.6
2019.06,부산,172.6
2019.07,부산,172.6
2019.08,부산,172.6
2019.09,부산,172.6
2019.10,부산,172.6
2019.11,부산,172.6
2019.12,부산,172.6
2011.01,대구,179.2
2011.02,대구,179.2
2011.03,대구,179.2
2011.04,대구,179.2
2011.05,대구,179.2
2011.06,대구,179.2
2011.07,대구,179.2
2011.08,대구,179.2
2011.09,대구,179.2
2011.10,대구,179.2
2011.11,대구,179.2
2011.12,대구,179.2
2012.01,대구,173.4
2012.02,대구,173.4
2012.03,대구,173.4
2012.04,대구,173.4
2012.05,대구,173.4
2012.06,대구,173.4
2012.07,대구,173.4
2012.08,대구,173.4
2012.09,대구,173.4
2012.10,대구,173.4
2012.11,대구,173.4
2012.12,대구,173.4
2013.01,대구,179.9
2013.02,대구,179.9
2013.03,대구,179.9
2013.04,대구,179.9
2013.05,대구,179.9
2013.06,대구,179.9
2013.07,대구,179.9
2013.08,대구,179.9
2013.09,대구,179.9
2013.10,대구,179.9
2013.11,대구,179.9
2013.12,대구,179.9
2014.01,대구,178.2
2014.02,대구,178.2
2014.03,대구,178.2
2014.04,대구,178.2
2014.05,대구,178.2
2014.06,대구,178.2
2014.07,대구,178.2
2014.08,대구,178.2
2014.09,대구,178.2
2014.10,대구,178.2
2014.11,대구,178.2
2014.12,대구,178.2
2015.01,대구,176.8
2015.02,대구,176.8
2015.03,대구,176.8
2015.04,대구,176.8
2015.05,대구,176.8
2015.06,대구,176.8
2015.07,대구,176.8
2015.08,대구,176.8
2015.09,대구,176.8
2015.10,대구,176.8
2015.11,대구,176.8
2015.12,대구,176.8
2016.01,대구,165.6
2016.02,대구,165.6
2016.03,대구,165.6
2016.04,대구,165.6
2016.05,대구,165.6
2016.06,대구,165.6
2016.07,대구,165.6
2016.08,대구,165.6
2016.09,대구,165.6
2016.10,대구,165.6
2016.11,대구,165.6
2016.12,대구,165.6
2017.01,대구,163.2
2017.02,대구,163.2
2017.03,대구,163.2
2017.04,대구,163.2
2017.05,대구,163.2
2017.06,대구,163.2
2017.07,대구,163.2
2017.08,대구,163.2
2017.09,대구,163.2
2017.10,대구,163.2
2017.11,대구,163.2
2017.12,대구,163.2
2018.01,대구,166.8
2018.02,대구,166.8
2018.03,대구,166.8
2018.04,대구,166.8
2018.05,대구,166.8
2018.06,대구,166.8
2018.07,대구,166.8
2018.08,대구,166.8
2018.09,대구,166.8
2018.10,대구,166.8
2018.11,대구,166.8
2018.12,대구,166.8
2019.01,대구,172.6
2019.02,대구,172.6
2019.03,대구,172.6
2019.04,대구,172.6
2019.05,대구,172.6
2019.06,대구,172.6
2019.07,대구,172.6
2019.08,대구,172.6
2019.09,대구,172.6
2019.10,대구,172.6
2019.11,대구,172.6
2019.12,대구,172.6
2011.01,인천,177.3
2011.02,인천,177.3
2011.03,인천,177.3
2011.04,인천,177.3
2011.05,인천,177.3
2011.06,인천,177.3
2011.07,인천,177.3
2011.08,인천,177.3
2011.09,인천,177.3
2011.10,인천,177.3
2011.11,인천,177.3
2011.12,인천,177.3
2012.01,인천,167.5
2012.02,인천,167.5
2012.03,인천,167.5
2012.04,인천,167.5
2012.05,인천,167.5
2012.06,인천,167.5
2012.07,인천,167.5
2012.08,인천,167.5
2012.09,인천,167.5
2012.10,인천,167.5
2012.11,인천,167.5
2012.12,인천,167.5
2013.01,인천,177.0
2013.02,인천,177.0
2013.03,인천,177.0
2013.04,인천,177.0
2013.05,인천,177.0
2013.06,인천,177.0
2013.07,인천,177.0
2013.08,인천,177.0
2013.09,인천,177.0
2013.10,인천,177.0
2013.11,인천,177.0
2013.12,인천,177.0
2014.01,인천,178.3
2014.02,인천,178.3
2014.03,인천,178.3
2014.04,인천,178.3
2014.05,인천,178.3
2014.06,인천,178.3
2014.07,인천,178.3
2014.08,인천,178.3
2014.09,인천,178.3
2014.10,인천,178.3
2014.11,인천,178.3
2014.12,인천,178.3
2015.01,인천,176.8
2015.02,인천,176.8
2015.03,인천,176.8
2015.04,인천,176.8
2015.05,인천,176.8
2015.06,인천,176.8
2015.07,인천,176.8
2015.08,인천,176.8
2015.09,인천,176.8
2015.10,인천,176.8
2015.11,인천,176.8
2015.12,인천,176.8
2016.01,인천,166.1
2016.02,인천,166.1
2016.03,인천,166.1
2016.04,인천,166.1
2016.05,인천,166.1
2016.06,인천,166.1
2016.07,인천,166.1
2016.08,인천,166.1
2016.09,인천,166.1
2016.10,인천,166.1
2016.11,인천,166.1
2016.12,인천,166.1
2017.01,인천,163.0
2017.02,인천,163.0
