시점,지역별,총소득,사교육비
2007.01,광역시,NaN,54650
2007.01,대도시외,NaN,101934
2007.01,서울,NaN,47798
2007.02,광역시,NaN,54567
2007.02,대도시외,NaN,102483
2007.02,서울,NaN,47998
2007.03,광역시,NaN,54483
2007.03,대도시외,NaN,103032
2007.03,서울,NaN,48199
2007.04,광역시,NaN,54400
2007.04,대도시외,NaN,103581
2007.04,서울,NaN,48399
2007.05,광역시,NaN,54317
2007.05,대도시외,NaN,104130
2007.05,서울,NaN,48599
2007.06,광역시,NaN,54233
2007.06,대도시외,NaN,104679
2007.06,서울,NaN,48800
2007.07,광역시,NaN,54150
2007.07,대도시외,NaN,105228
2007.07,서울,NaN,49000
2007.08,광역시,NaN,54067
2007.08,대도시외,NaN,105777
2007.08,서울,NaN,49200
2007.09,광역시,NaN,53984
2007.09,대도시외,NaN,106326
2007.09,서울,NaN,49401
2007.10,광역시,NaN,53900
2007.10,대도시외,NaN,106875
2007.10,서울,NaN,49601
2007.11,광역시,NaN,53817
2007.11,대도시외,NaN,107424
2007.11,서울,NaN,49802
2007.12,광역시,NaN,53734
2007.12,대도시외,NaN,107973
2007.12,서울,NaN,50002
2008.01,광역시,NaN,53651
2008.01,대도시외,NaN,108523
2008.01,서울,NaN,50202
2008.02,광역시,NaN,53407
2008.02,대도시외,NaN,108739
2008.02,서울,NaN,50265
2008.03,광역시,NaN,53163
2008.03,대도시외,NaN,108956
2008.03,서울,NaN,50327
2008.04,광역시,NaN,52920
2008.04,대도시외,NaN,109172
2008.04,서울,NaN,50389
2008.05,광역시,NaN,52676
2008.05,대도시외,NaN,109389
2008.05,서울,NaN,50452
2008.06,광역시,NaN,52432
2008.06,대도시외,NaN,109606
2008.06,서울,NaN,50514
2008.07,광역시,NaN,52189
2008.07,대도시외,NaN,109822
2008.07,서울,NaN,50576
2008.08,광역시,NaN,51945
2008.08,대도시외,NaN,110039
2008.08,서울,NaN,50639
2008.09,광역시,NaN,51702
2008.09,대도시외,NaN,110256
2008.09,서울,NaN,50701
2008.10,광역시,NaN,51458
2008.10,대도시외,NaN,110472
2008.10,서울,NaN,50763
2008.11,광역시,NaN,51214
2008.11,대도시외,NaN,110689
2008.11,서울,NaN,50826
2008.12,광역시,NaN,50971
2008.12,대도시외,NaN,110905
2008.12,서울,NaN,50888
2009.01,광역시,NaN,50727
2009.01,대도시외,NaN,111122
2009.01,서울,NaN,50951
2009.02,광역시,NaN,50540
2009.02,대도시외,NaN,110879
2009.02,서울,NaN,50756
2009.03,광역시,NaN,50352
2009.03,대도시외,NaN,110636
