시점,사교육참여율,지역별
2009.01,79.6,서울
2009.02,79.425,서울
2009.03,79.25,서울
2009.04,79.07499999999999,서울
2009.05,78.89999999999999,서울
2009.06,78.725,서울
2009.07,78.55,서울
2009.08,78.375,서울
2009.09,78.2,서울
2009.10,78.025,서울
2009.11,77.85,서울
2009.12,77.675,서울
2010.01,77.5,서울
2010.02,77.45833333333333,서울
2010.03,77.41666666666667,서울
2010.04,77.375,서울
2010.05,77.33333333333333,서울
2010.06,77.29166666666667,서울
2010.07,77.25,서울
2010.08,77.20833333333333,서울
2010.09,77.16666666666667,서울
2010.10,77.125,서울
2010.11,77.08333333333333,서울
2010.12,77.04166666666667,서울
2011.01,77.0,서울
2011.02,76.70833333333333,서울
2011.03,76.41666666666667,서울
2011.04,76.125,서울
2011.05,75.83333333333333,서울
2011.06,75.54166666666667,서울
2011.07,75.25,서울
2011.08,74.95833333333333,서울
2011.09,74.66666666666667,서울
2011.10,74.375,서울
2011.11,74.08333333333333,서울
2011.12,73.79166666666667,서울
2012.01,73.5,서울
2012.02,73.625,서울
2012.03,73.75,서울
2012.04,73.875,서울
2012.05,74.0,서울
2012.06,74.125,서울
2012.07,74.25,서울
2012.08,74.375,서울
2012.09,74.5,서울
2012.10,74.625,서울
2012.11,74.75,서울
2012.12,74.875,서울
2013.01,75.0,서울
2013.02,74.95,서울
2013.03,74.9,서울
2013.04,74.85,서울
2013.05,74.8,서울
2013.06,74.75,서울
2013.07,74.7,서울
2013.08,74.65,서울
2013.09,74.60000000000001,서울
2013.10,74.55000000000001,서울
2013.11,74.5,서울
2013.12,74.45,서울
2014.01,74.4,서울
2014.02,74.39166666666667,서울
2014.03,74.38333333333334,서울
2014.04,74.375,서울
2014.05,74.36666666666667,서울
2014.06,74.35833333333333,서울
2014.07,74.35,서울
2014.08,74.34166666666667,서울
2014.09,74.33333333333333,서울
2014.10,74.325,서울
2014.11,74.31666666666666,서울
2014.12,74.30833333333334,서울
2015.01,74.3,서울
2015.02,74.25,서울
2015.03,74.2,서울
2015.04,74.15,서울
2015.05,74.1,서울
2015.06,74.05,서울
2015.07,74.0,서울
2015.08,73.95,서울
2015.09,73.9,서울
2015.10,73.85,서울
2015.11,73.8,서울
2015.12,73.75,서울
2016.01,73.7,서울
2016.02,74.025,서울
2016.03,74.35,서울
2016.04,74.675,서울
2016.05,75.0,서울
2016.06,75.325,서울
2016.07,75.65,서울
2016.08,75.975,서울
2016.09,76.3,서울
2016.10,76.625,서울
2016.11,76.94999999999999,서울
2016.12,77.27499999999999,서울
2017.01,77.6,서울
2017.02,77.79166666666666,서울
2017.03,77.98333333333333,서울
2017.04,78.175,서울
2017.05,78.36666666666666,서울
2017.06,78.55833333333334,서울
2017.07,78.75,서울
2017.08,78.94166666666666,서울
2017.09,79.13333333333334,서울
2017.10,79.325,서울
2017.11,79.51666666666667,서울
2017.12,79.70833333333334,서울
2018.01,79.9,서울
2018.02,79.90833333333333,서울
2018.03,79.91666666666667,서울
2018.04,79.92500000000001,서울
2018.05,79.93333333333334,서울
2018.06,79.94166666666666,서울
2018.07,79.95,서울
2018.08,79.95833333333334,서울
2018.09,79.96666666666667,서울
2018.10,79.975,서울
2018.11,79.98333333333333,서울
2018.12,79.99166666666667,서울
2019.01,80.0,서울
2019.02,79.58333333333333,서울
2019.03,79.16666666666667,서울
2019.04,78.75,서울
2019.05,78.33333333333333,서울
2019.06,77.91666666666667,서울
2019.07,77.5,서울
2019.08,77.08333333333333,서울
2019.09,76.66666666666667,서울
2019.10,76.25,서울
2019.11,75.83333333333333,서울
2019.12,75.41666666666667,서울
2020.01,75.0,서울
2020.02,75.54166666666667,서울
2020.03,76.08333333333333,서울
2020.04,76.625,서울
2020.05,77.16666666666667,서울
2020.06,77.70833333333333,서울
2020.07,78.25,서울
2020.08,78.79166666666667,서울
2020.09,79.33333333333333,서울
2020.10,79.875,서울
2020.11,80.41666666666667,서울
2020.12,80.95833333333333,서울
2021.01,81.5,서울
2021.02,81.73333333333333,서울
2021.03,81.96666666666667,서울
2021.04,82.2,서울
2021.05,82.43333333333334,서울
2021.06,82.66666666666667,서울
2021.07,82.9,서울
2021.08,83.13333333333333,서울
2021.09,83.36666666666666,서울
2021.10,83.6,서울
2021.11,83.83333333333333,서울
2021.12,84.06666666666666,서울
2022.01,84.3,서울
2022.02,84.34166666666667,서울
2022.03,84.38333333333333,서울
2022.04,84.425,서울
2022.05,84.46666666666667,서울
2022.06,84.50833333333333,서울
2022.07,84.55,서울
2022.08,84.59166666666667,서울
2022.09,84.63333333333333,서울
2022.10,84.675,서울
2022.11,84.71666666666667,서울
2022.12,84.75833333333333,서울
2023.01,84.8,서울
