시점,저출산율,지역별
2000.01,1.60,강원
2000.02,1.58,강원
2000.03,1.57,강원
2000.04,1.55,강원
2000.05,1.54,강원
2000.06,1.52,강원
2000.07,1.51,강원
2000.08,1.49,강원
2000.09,1.48,강원
2000.10,1.46,강원
2000.11,1.44,강원
2000.12,1.43,강원
2001.01,1.41,강원
2001.02,1.41,강원
2001.03,1.40,강원
2001.04,1.39,강원
2001.05,1.38,강원
2001.06,1.37,강원
2001.07,1.36,강원
2001.08,1.36,강원
2001.09,1.35,강원
2001.10,1.34,강원
2001.11,1.33,강원
2001.12,1.32,강원
2002.01,1.32,강원
2002.02,1.31,강원
2002.03,1.31,강원
2002.04,1.31,강원
2002.05,1.30,강원
2002.06,1.30,강원
2002.07,1.30,강원
2002.08,1.29,강원
2002.09,1.29,강원
2002.10,1.29,강원
2002.11,1.29,강원
2002.12,1.28,강원
2003.01,1.28,강원
2003.02,1.28,강원
2003.03,1.28,강원
2003.04,1.27,강원
2003.05,1.27,강원
2003.06,1.27,강원
2003.07,1.27,강원
2003.08,1.27,강원
2003.09,1.27,강원
2003.10,1.27,강원
2003.11,1.26,강원
2003.12,1.26,강원
2004.01,1.26,강원
2004.02,1.25,강원
2004.03,1.25,강원
2004.04,1.24,강원
2004.05,1.24,강원
2004.06,1.23,강원
2004.07,1.22,강원
2004.08,1.22,강원
2004.09,1.21,강원
2004.10,1.21,강원
2004.11,1.20,강원
2004.12,1.19,강원
2005.01,1.19,강원
2005.02,1.19,강원
2005.03,1.19,강원
2005.04,1.19,강원
2005.05,1.19,강원
2005.06,1.19,강원
2005.07,1.19,강원
2005.08,1.20,강원
2005.09,1.20,강원
2005.10,1.20,강원
2005.11,1.20,강원
2005.12,1.20,강원
2006.01,1.20,강원
2006.02,1.21,강원
2006.03,1.23,강원
2006.04,1.24,강원
2006.05,1.25,강원
2006.06,1.27,강원
2006.07,1.28,강원
2006.08,1.29,강원
2006.09,1.30,강원
2006.10,1.32,강원
2006.11,1.33,강원
2006.12,1.34,강원
2007.01,1.36,강원
2007.02,1.35,강원
2007.03,1.34,강원
2007.04,1.33,강원
2007.05,1.32,강원
2007.06,1.31,강원
2007.07,1.30,강원
2007.08,1.30,강원
2007.09,1.29,강원
2007.10,1.28,강원
2007.11,1.27,강원
2007.12,1.26,강원
2008.01,1.25,강원
2008.02,1.25,강원
2008.03,1.25,강원
2008.04,1.25,강원
2008.05,1.25,강원
2008.06,1.25,강원
2008.07,1.25,강원
2008.08,1.25,강원
2008.09,1.25,강원
2008.10,1.25,강원
2008.11,1.25,강원
2008.12,1.25,강원
2009.01,1.25,강원
2009.02,1.25,강원
2009.03,1.26,강원
2009.04,1.26,강원
2009.05,1.27,강원
2009.06,1.28,강원
2009.07,1.28,강원
2009.08,1.29,강원
2009.09,1.29,강원
2009.10,1.30,강원
2009.11,1.30,강원
2009.12,1.31,강원
2010.01,1.31,강원
2010.02,1.32,강원
2010.03,1.32,강원
2010.04,1.32,강원
2010.05,1.32,강원
2010.06,1.32,강원
2010.07,1.33,강원
2010.08,1.33,강원
2010.09,1.33,강원
2010.10,1.33,강원
2010.11,1.33,강원
2010.12,1.34,강원
2011.01,1.34,강원
2011.02,1.34,강원
2011.03,1.34,강원
2011.04,1.35,강원
2011.05,1.35,강원
2011.06,1.35,강원
2011.07,1.36,강원
2011.08,1.36,강원
2011.09,1.36,강원
2011.10,1.37,강원
2011.11,1.37,강원
2011.12,1.37,강원
2012.01,1.37,강원
2012.02,1.36,강원
2012.03,1.35,강원
2012.04,1.34,강원
2012.05,1.33,강원
2012.06,1.32,강원
