주택유형별,주택규모별,지역별,시점,ratio,년도
아파트,규모1,서울,2012.01,,2012
아파트,규모2,서울,2012.01,71.82669086,2012
아파트,규모3,서울,2012.01,78.57472787,2012
아파트,규모4,서울,2012.01,80.53102683,2012
아파트,규모5,서울,2012.01,87.68060283,2012
아파트,규모6,서울,2012.01,93.58775312,2012
연립다세대,규모1,서울,2012.01,,2012
연립다세대,규모2,서울,2012.01,93.85504656,2012
연립다세대,규모3,서울,2012.01,93.65933092,2012
연립다세대,규모4,서울,2012.01,94.87640721,2012
단독주택,규모1,서울,2012.01,79.75619646,2012
단독주택,규모2,서울,2012.01,81.0843069,2012
단독주택,규모3,서울,2012.01,81.87812701,2012
아파트,규모1,서울,2012.02,,2012
아파트,규모2,서울,2012.02,71.74163789,2012
아파트,규모3,서울,2012.02,78.38718461,2012
아파트,규모4,서울,2012.02,80.27061556,2012
아파트,규모5,서울,2012.02,87.28425706,2012
아파트,규모6,서울,2012.02,93.05916798,2012
연립다세대,규모1,서울,2012.02,,2012
연립다세대,규모2,서울,2012.02,93.88408503,2012
연립다세대,규모3,서울,2012.02,93.62860592,2012
연립다세대,규모4,서울,2012.02,94.82353756,2012
단독주택,규모1,서울,2012.02,79.75619646,2012
단독주택,규모2,서울,2012.02,81.06252131,2012
단독주택,규모3,서울,2012.02,81.86343678,2012
아파트,규모1,서울,2012.03,,2012
아파트,규모2,서울,2012.03,71.46955229,2012
아파트,규모3,서울,2012.03,78.0355708,2012
아파트,규모4,서울,2012.03,80.07621345,2012
아파트,규모5,서울,2012.03,86.88974682,2012
아파트,규모6,서울,2012.03,92.43040153,2012
연립다세대,규모1,서울,2012.03,,2012
연립다세대,규모2,서울,2012.03,93.64245744,2012
연립다세대,규모3,서울,2012.03,93.47488695,2012
연립다세대,규모4,서울,2012.03,94.69263432,2012
단독주택,규모1,서울,2012.03,79.42974693,2012
단독주택,규모2,서울,2012.03,80.86633013,2012
단독주택,규모3,서울,2012.03,82.3765682,2012
아파트,규모1,서울,2012.04,,2012
아파트,규모2,서울,2012.04,71.13935178,2012
아파트,규모3,서울,2012.04,77.57280212,2012
아파트,규모4,서울,2012.04,79.53338634,2012
아파트,규모5,서울,2012.04,86.41956563,2012
아파트,규모6,서울,2012.04,91.54050542,2012
연립다세대,규모1,서울,2012.04,,2012
연립다세대,규모2,서울,2012.04,93.49535707,2012
연립다세대,규모3,서울,2012.04,93.26286627,2012
연립다세대,규모4,서울,2012.04,94.54982037,2012
