"시점","지역별","연령별",총인구수
"2015","서울","합계",9904312
"2015","부산광역시","합계",3448737
"2015","대구광역시","합계",2466052
"2015","인천광역시","합계",2890451
"2015","광주광역시","합계",1502881
"2015","대전광역시","합계",1538394
"2015","울산광역시","합계",1166615
"2015","세종특별자치시","합계",204088
"2015","경기도","합계",12479061
"2015","강원특별자치도","합계",1518040
"2015","충청북도","합계",1589347
"2015","충청남도","합계",2107802
"2015","전북특별자치도","합계",1834114
"2015","전라남도","합계",1799044
"2015","경상북도","합계",2680294
"2015","경상남도","합계",3334524
"2015","제주특별자치도","합계",605619
"2016","서울","합계",9805506
"2016","부산광역시","합계",3440484
"2016","대구광역시","합계",2461002
"2016","인천광역시","합계",2913024
"2016","광주광역시","합계",1501557
"2016","대전광역시","합계",1535445
"2016","울산광역시","합계",1166033
"2016","세종특별자치시","합계",242507
"2016","경기도","합계",12671956
"2016","강원특별자치도","합계",1521751
"2016","충청북도","합계",1603404
"2016","충청남도","합계",2132566
"2016","전북특별자치도","합계",1833168
"2016","전라남도","합계",1796017
"2016","경상북도","합계",2682169
"2016","경상남도","합계",3339633
"2016","제주특별자치도","합계",623332
"2017","서울","합계",9741871
"2017","부산광역시","합계",3416918
"2017","대구광역시","합계",2453041
"2017","인천광역시","합계",2925967
"2017","광주광역시","합계",1496172
"2017","대전광역시","합계",1525849
"2017","울산광역시","합계",1157077
"2017","세종특별자치시","합계",276589
"2017","경기도","합계",12851601
"2017","강원특별자치도","합계",1521386
"2017","충청북도","합계",1611009
"2017","충청남도","합계",2162426
"2017","전북특별자치도","합계",1826174
"2017","전라남도","합계",1792319
"2017","경상북도","합계",2677058
"2017","경상남도","합계",3345293
"2017","제주특별자치도","합계",641757
"2018","서울","합계",9673936
"2018","부산광역시","합계",3395278
"2018","대구광역시","합계",2444412
"2018","인천광역시","합계",2936117
"2018","광주광역시","합계",1490092
"2018","대전광역시","합계",1511214
"2018","울산광역시","합계",1150116
"2018","세종특별자치시","합계",312374
"2018","경기도","합계",13103188
"2018","강원특별자치도","합계",1520391
"2018","충청북도","합계",1620935
"2018","충청남도","합계",2181416
"2018","전북특별자치도","합계",1818157
"2018","전라남도","합계",1790352
"2018","경상북도","합계",2672902
"2018","경상남도","합계",3350350
"2018","제주특별자치도","합계",658282
"2019","서울","합계",9639541
"2019","부산광역시","합계",3372692
"2019","대구광역시","합계",2429940
"2019","인천광역시","합계",2952237
"2019","광주광역시","합계",1489730
"2019","대전광역시","합계",1498839
"2019","울산광역시","합계",1143692
"2019","세종특별자치시","합계",338136
"2019","경기도","합계",13300900
"2019","강원특별자치도","합계",1520127
"2019","충청북도","합계",1629343
"2019","충청남도","합계",2188649
"2019","전북특별자치도","합계",1807423
"2019","전라남도","합계",1787543
"2019","경상북도","합계",2668154
"2019","경상남도","합계",3347209
"2019","제주특별자치도","합계",665048
"2020","서울","합계",9586195
"2020","부산광역시","합계",3349016
"2020","대구광역시","합계",2410700
"2020","인천광역시","합계",2945454
"2020","광주광역시","합계",1477573
"2020","대전광역시","합계",1488435
"2020","울산광역시","합계",1135423
"2020","세종특별자치시","합계",353933
"2020","경기도","합계",13511676
"2020","강원특별자치도","합계",1521763
"2020","충청북도","합계",1632088
"2020","충청남도","합계",2176636
"2020","전북특별자치도","합계",1802766
"2020","전라남도","합계",1788807
"2020","경상북도","합계",2644757
"2020","경상남도","합계",3333056
"2020","제주특별자치도","합계",670858
"2021","서울","합계",9472127
"2021","부산광역시","합계",3324335
"2021","대구광역시","합계",2387911
"2021","인천광역시","합계",2957044
"2021","광주광역시","합계",1475262
"2021","대전광역시","합계",1479740
"2021","울산광역시","합계",1120753
"2021","세종특별자치시","합계",366227
"2021","경기도","합계",13652529
"2021","강원특별자치도","합계",1521890
"2021","충청북도","합계",1624764
"2021","충청남도","합계",2175960
"2021","전북특별자치도","합계",1787053
"2021","전라남도","합계",1778124
"2021","경상북도","합계",2635314
"2021","경상남도","합계",3305931
"2021","제주특별자치도","합계",673107
"2022","서울","합계",9417469
"2022","부산광역시","합계",3295760
"2022","대구광역시","합계",2366852
"2022","인천광역시","합계",2989125
"2022","광주광역시","합계",1468972
"2022","대전광역시","합계",1473662
"2022","울산광역시","합계",1110516
"2022","세종특별자치시","합계",382589
"2022","경기도","합계",13717827
"2022","강원특별자치도","합계",1528037
"2022","충청북도","합계",1624993
"2022","충청남도","합계",2193214
"2022","전북특별자치도","합계",1774248
"2022","전라남도","합계",1771431
"2022","경상북도","합계",2620373
"2022","경상남도","합계",3280829
"2022","제주특별자치도","합계",676375
"2023","서울","합계",9384512
"2023","부산광역시","합계",3279604
"2023","대구광역시","합계",2379188
"2023","인천광역시","합계",3025950
"2023","광주광역시","합계",1457090
"2023","대전광역시","합계",1470336
"2023","울산광역시","합계",1107432
"2023","세종특별자치시","합계",386261
"2023","경기도","합계",13815367
"2023","강원특별자치도","합계",1528014
"2023","충청북도","합계",1641481
"2023","충청남도","합계",2216332
"2023","전북특별자치도","합계",1768491
"2023","전라남도","합계",1776668
"2023","경상북도","합계",2589880
"2023","경상남도","합계",3271148
"2023","제주특별자치도","합계",676767
