시점,학생수,지역별,사설학원수,사교육참여율,수술인원
2003.01,,강원,2146,,0
2003.01,,경기,13837,,0
2003.01,,경남,5646,,0
2003.01,,경북,2965,,0
2003.01,,광주,2646,,0
2003.01,,대구,2978,,0
2003.01,,대전,1848,,0
2003.01,,부산,4987,,0
2003.01,,서울,11176,,0
2003.01,,울산,2257,,0
2003.01,,인천,2778,,0
2003.01,,전남,2387,,0
2003.01,,전북,2966,,0
2003.01,,제주,760,,0
2003.01,,충남,2460,,0
2003.01,,충북,1887,,0
2003.02,,강원,2135,,0
2003.02,,경기,13834,,0
2003.02,,경남,5590,,0
2003.02,,경북,2961,,0
2003.02,,광주,2635,,0
2003.02,,대구,2972,,0
2003.02,,대전,1839,,0
2003.02,,부산,4975,,0
2003.02,,서울,11193,,0
2003.02,,울산,2262,,0
2003.02,,인천,2777,,0
2003.02,,전남,2392,,0
2003.02,,전북,2982,,0
2003.02,,제주,761,,0
2003.02,,충남,2453,,0
2003.02,,충북,1883,,0
2003.03,,강원,2124,,0
2003.03,,경기,13832,,0
2003.03,,경남,5535,,0
2003.03,,경북,2957,,0
2003.03,,광주,2624,,0
2003.03,,대구,2966,,0
2003.03,,대전,1831,,0
2003.03,,부산,4963,,0
2003.03,,서울,11210,,0
2003.03,,울산,2267,,0
2003.03,,인천,2776,,0
2003.03,,전남,2396,,0
2003.03,,전북,2998,,0
2003.03,,제주,762,,0
2003.03,,충남,2445,,0
2003.03,,충북,1878,,0
2003.04,,강원,2112,,0
2003.04,,경기,13829,,0
2003.04,,경남,5479,,0
2003.04,,경북,2954,,0
2003.04,,광주,2613,,0
2003.04,,대구,2960,,0
2003.04,,대전,1822,,0
2003.04,,부산,4951,,0
2003.04,,서울,11228,,0
2003.04,,울산,2272,,0
2003.04,,인천,2775,,0
2003.04,,전남,2401,,0
2003.04,,전북,3013,,0
2003.04,,제주,763,,0
2003.04,,충남,2438,,0
2003.04,,충북,1874,,0
2003.05,,강원,2101,,0
2003.05,,경기,13827,,0
2003.05,,경남,5424,,0
2003.05,,경북,2950,,0
2003.05,,광주,2602,,0
2003.05,,대구,2954,,0
2003.05,,대전,1814,,0
2003.05,,부산,4939,,0
2003.05,,서울,11245,,0
2003.05,,울산,2277,,0
2003.05,,인천,2774,,0
2003.05,,전남,2405,,0
2003.05,,전북,3029,,0
2003.05,,제주,764,,0
2003.05,,충남,2431,,0
2003.05,,충북,1869,,0
2003.06,,강원,2090,,0
2003.06,,경기,13824,,0
2003.06,,경남,5368,,0
2003.06,,경북,2946,,0
2003.06,,광주,2591,,0
2003.06,,대구,2948,,0
2003.06,,대전,1805,,0
2003.06,,부산,4927,,0
2003.06,,서울,11262,,0
2003.06,,울산,2282,,0
2003.06,,인천,2773,,0
2003.06,,전남,2410,,0
2003.06,,전북,3045,,0
2003.06,,제주,765,,0
2003.06,,충남,2423,,0
2003.06,,충북,1865,,0
2003.07,,강원,2079,,0
2003.07,,경기,13822,,0
2003.07,,경남,5312,,0
2003.07,,경북,2942,,0
2003.07,,광주,2580,,0
2003.07,,대구,2942,,0
2003.07,,대전,1796,,0
2003.07,,부산,4914,,0
2003.07,,서울,11279,,0
2003.07,,울산,2287,,0
2003.07,,인천,2772,,0
2003.07,,전남,2414,,0
2003.07,,전북,3060,,0
2003.07,,제주,766,,0
2003.07,,충남,2416,,0
2003.07,,충북,1860,,0
2003.08,,강원,2068,,0
2003.08,,경기,13819,,0
2003.08,,경남,5257,,0
2003.08,,경북,2938,,0
2003.08,,광주,2570,,0
2003.08,,대구,2937,,0
2003.08,,대전,1788,,0
2003.08,,부산,4902,,0
2003.08,,서울,11296,,0
2003.08,,울산,2292,,0
2003.08,,인천,2771,,0
2003.08,,전남,2419,,0
2003.08,,전북,3076,,0
2003.08,,제주,766,,0
2003.08,,충남,2409,,0
2003.08,,충북,1856,,0
2003.09,,강원,2057,,0
2003.09,,경기,13816,,0
2003.09,,경남,5201,,0
2003.09,,경북,2934,,0
2003.09,,광주,2559,,0
2003.09,,대구,2931,,0
2003.09,,대전,1779,,0
2003.09,,부산,4890,,0
2003.09,,서울,11313,,0
2003.09,,울산,2297,,0
2003.09,,인천,2770,,0
2003.09,,전남,2424,,0
2003.09,,전북,3092,,0
2003.09,,제주,767,,0
2003.09,,충남,2401,,0
2003.09,,충북,1852,,0
2003.10,,강원,2046,,0
2003.10,,경기,13814,,0
2003.10,,경남,5146,,0
2003.10,,경북,2930,,0
2003.10,,광주,2548,,0
2003.10,,대구,2925,,0
2003.10,,대전,1771,,0
2003.10,,부산,4878,,0
2003.10,,서울,11330,,0
2003.10,,울산,2302,,0
2003.10,,인천,2769,,0
2003.10,,전남,2428,,0
2003.10,,전북,3108,,0
2003.10,,제주,768,,0
2003.10,,충남,2394,,0
2003.10,,충북,1847,,0
2003.11,,강원,2034,,0
2003.11,,경기,13811,,0
2003.11,,경남,5090,,0
2003.11,,경북,2927,,0
2003.11,,광주,2537,,0
2003.11,,대구,2919,,0
2003.11,,대전,1762,,0
2003.11,,부산,4866,,0
2003.11,,서울,11348,,0
2003.11,,울산,2307,,0
2003.11,,인천,2768,,0
2003.11,,전남,2433,,0
2003.11,,전북,3124,,0
2003.11,,제주,769,,0
2003.11,,충남,2387,,0
2003.11,,충북,1843,,0
2003.12,,강원,2023,,0
2003.12,,경기,13809,,0
2003.12,,경남,5035,,0
2003.12,,경북,2923,,0
2003.12,,광주,2526,,0
2003.12,,대구,2913,,0
2003.12,,대전,1754,,0
2003.12,,부산,4854,,0
2003.12,,서울,11365,,0
2003.12,,울산,2312,,0
2003.12,,인천,2767,,0
2003.12,,전남,2437,,0
2003.12,,전북,3139,,0
2003.12,,제주,770,,0
2003.12,,충남,2379,,0
2003.12,,충북,1838,,0
2004.01,,강원,2012,,0
2004.01,,경기,13806,,0
2004.01,,경남,4979,,0
2004.01,,경북,2919,,0
2004.01,,광주,2515,,0
2004.01,,대구,2907,,0
2004.01,,대전,1745,,0
2004.01,,부산,4842,,0
2004.01,,서울,11382,,0
2004.01,,울산,2317,,0
2004.01,,인천,2766,,0
2004.01,,전남,2442,,0
2004.01,,전북,3155,,0
2004.01,,제주,771,,0
2004.01,,충남,2372,,0
2004.01,,충북,1834,,0
2004.02,,강원,2023,,0
2004.02,,경기,13870,,0
2004.02,,경남,4985,,0
2004.02,,경북,2934,,0
2004.02,,광주,2528,,0
2004.02,,대구,2907,,0
2004.02,,대전,1760,,0
2004.02,,부산,4827,,0
2004.02,,서울,11400,,0
2004.02,,울산,2317,,0
2004.02,,인천,2759,,0
2004.02,,전남,2448,,0
2004.02,,전북,3153,,0
2004.02,,제주,777,,0
2004.02,,충남,2376,,0
2004.02,,충북,1852,,0
2004.03,,강원,2033,,0
2004.03,,경기,13933,,0
2004.03,,경남,4991,,0
2004.03,,경북,2950,,0
2004.03,,광주,2540,,0
2004.03,,대구,2907,,0
2004.03,,대전,1776,,0
2004.03,,부산,4812,,0
2004.03,,서울,11419,,0
2004.03,,울산,2317,,0
2004.03,,인천,2751,,0
2004.03,,전남,2455,,0
2004.03,,전북,3152,,0
2004.03,,제주,782,,0
2004.03,,충남,2380,,0
2004.03,,충북,1871,,0
2004.04,,강원,2044,,0
2004.04,,경기,13997,,0
2004.04,,경남,4998,,0
2004.04,,경북,2965,,0
2004.04,,광주,2553,,0
2004.04,,대구,2907,,0
2004.04,,대전,1791,,0
2004.04,,부산,4797,,0
2004.04,,서울,11437,,0
2004.04,,울산,2317,,0
2004.04,,인천,2744,,0
2004.04,,전남,2461,,0
2004.04,,전북,3150,,0
2004.04,,제주,788,,0
2004.04,,충남,2384,,0
2004.04,,충북,1889,,0
2004.05,,강원,2054,,0
2004.05,,경기,14060,,0
2004.05,,경남,5004,,0
2004.05,,경북,2980,,0
2004.05,,광주,2566,,0
2004.05,,대구,2907,,0
2004.05,,대전,1806,,0
2004.05,,부산,4782,,0
2004.05,,서울,11456,,0
2004.05,,울산,2317,,0
2004.05,,인천,2737,,0
2004.05,,전남,2468,,0
2004.05,,전북,3149,,0
2004.05,,제주,793,,0
2004.05,,충남,2388,,0
2004.05,,충북,1907,,0
2004.06,,강원,2065,,0
2004.06,,경기,14124,,0
2004.06,,경남,5010,,0
2004.06,,경북,2996,,0
2004.06,,광주,2578,,0
2004.06,,대구,2907,,0
2004.06,,대전,1821,,0
2004.06,,부산,4767,,0
2004.06,,서울,11474,,0
2004.06,,울산,2317,,0
2004.06,,인천,2729,,0
2004.06,,전남,2474,,0
2004.06,,전북,3147,,0
2004.06,,제주,799,,0
2004.06,,충남,2392,,0
2004.06,,충북,1926,,0
2004.07,,강원,2076,,0
2004.07,,경기,14188,,0
2004.07,,경남,5016,,0
2004.07,,경북,3011,,0
2004.07,,광주,2591,,0
2004.07,,대구,2908,,0
2004.07,,대전,1836,,0
2004.07,,부산,4752,,0
2004.07,,서울,11492,,0
2004.07,,울산,2316,,0
2004.07,,인천,2722,,0
2004.07,,전남,2480,,0
2004.07,,전북,3146,,0
2004.07,,제주,804,,0
2004.07,,충남,2396,,0
2004.07,,충북,1944,,0
2004.08,,강원,2086,,0
2004.08,,경기,14251,,0
2004.08,,경남,5022,,0
2004.08,,경북,3026,,0
2004.08,,광주,2604,,0
2004.08,,대구,2908,,0
2004.08,,대전,1852,,0
2004.08,,부산,4736,,0
2004.08,,서울,11511,,0
2004.08,,울산,2316,,0
2004.08,,인천,2715,,0
2004.08,,전남,2487,,0
2004.08,,전북,3144,,0
2004.08,,제주,810,,0
2004.08,,충남,2399,,0
2004.08,,충북,1962,,0
2004.09,,강원,2097,,0
2004.09,,경기,14315,,0
2004.09,,경남,5028,,0
2004.09,,경북,3042,,0
2004.09,,광주,2616,,0
2004.09,,대구,2908,,0
2004.09,,대전,1867,,0
2004.09,,부산,4721,,0
2004.09,,서울,11529,,0
2004.09,,울산,2316,,0
2004.09,,인천,2707,,0
2004.09,,전남,2493,,0
2004.09,,전북,3142,,0
2004.09,,제주,816,,0
2004.09,,충남,2403,,0
2004.09,,충북,1981,,0
2004.10,,강원,2107,,0
2004.10,,경기,14378,,0
2004.10,,경남,5034,,0
2004.10,,경북,3057,,0
2004.10,,광주,2629,,0
2004.10,,대구,2908,,0
2004.10,,대전,1882,,0
2004.10,,부산,4706,,0
2004.10,,서울,11548,,0
2004.10,,울산,2316,,0
2004.10,,인천,2700,,0
2004.10,,전남,2500,,0
2004.10,,전북,3141,,0
2004.10,,제주,821,,0
2004.10,,충남,2407,,0
2004.10,,충북,1999,,0
2004.11,,강원,2118,,0
2004.11,,경기,14442,,0
2004.11,,경남,5041,,0
2004.11,,경북,3072,,0
2004.11,,광주,2642,,0
2004.11,,대구,2908,,0
2004.11,,대전,1898,,0
2004.11,,부산,4691,,0
2004.11,,서울,11566,,0
2004.11,,울산,2316,,0
2004.11,,인천,2693,,0
2004.11,,전남,2506,,0
2004.11,,전북,3139,,0
2004.11,,제주,827,,0
2004.11,,충남,2411,,0
2004.11,,충북,2017,,0
2004.12,,강원,2128,,0
2004.12,,경기,14505,,0
2004.12,,경남,5047,,0
2004.12,,경북,3088,,0
2004.12,,광주,2654,,0
2004.12,,대구,2908,,0
2004.12,,대전,1913,,0
2004.12,,부산,4676,,0
2004.12,,서울,11585,,0
2004.12,,울산,2316,,0
2004.12,,인천,2685,,0
2004.12,,전남,2513,,0
2004.12,,전북,3138,,0
2004.12,,제주,832,,0
2004.12,,충남,2415,,0
2004.12,,충북,2036,,0
2005.01,,강원,2139,,0
2005.01,,경기,14569,,0
2005.01,,경남,5053,,0
2005.01,,경북,3103,,0
2005.01,,광주,2667,,0
2005.01,,대구,2908,,0
2005.01,,대전,1928,,0
2005.01,,부산,4661,,0
2005.01,,서울,11603,,0
2005.01,,울산,2316,,0
2005.01,,인천,2678,,0
2005.01,,전남,2519,,0
2005.01,,전북,3136,,0
2005.01,,제주,838,,0
2005.01,,충남,2419,,0
2005.01,,충북,2054,,0
2005.02,,강원,2145,,0
2005.02,,경기,14649,,0
2005.02,,경남,5077,,0
2005.02,,경북,3121,,0
2005.02,,광주,2665,,0
2005.02,,대구,2919,,0
2005.02,,대전,1932,,0
2005.02,,부산,4665,,0
2005.02,,서울,11619,,0
2005.02,,울산,2324,,0
2005.02,,인천,2676,,0
2005.02,,전남,2521,,0
2005.02,,전북,3132,,0
2005.02,,제주,843,,0
2005.02,,충남,2428,,0
2005.02,,충북,2062,,0
2005.03,,강원,2151,,0
2005.03,,경기,14729,,0
2005.03,,경남,5101,,0
2005.03,,경북,3139,,0
2005.03,,광주,2662,,0
