시점,합계출산율,지역별
2000.01,1.476,광역시
2000.02,1.4615694444444445,광역시
2000.03,1.447138888888889,광역시
2000.04,1.4327083333333333,광역시
2000.05,1.4182777777777777,광역시
2000.06,1.4038472222222222,광역시
2000.07,1.3894166666666665,광역시
2000.08,1.374986111111111,광역시
2000.09,1.3605555555555555,광역시
2000.10,1.346125,광역시
2000.11,1.3316944444444445,광역시
2000.12,1.3172638888888888,광역시
2001.01,1.3028333333333333,광역시
2001.02,1.2907777777777778,광역시
2001.03,1.278722222222222,광역시
2001.04,1.2666666666666666,광역시
2001.05,1.2546111111111111,광역시
2001.06,1.2425555555555554,광역시
2001.07,1.2305,광역시
2001.08,1.2184444444444444,광역시
2001.09,1.2063888888888887,광역시
2001.10,1.1943333333333332,광역시
2001.11,1.1822777777777778,광역시
2001.12,1.170222222222222,광역시
2002.01,1.1581666666666666,광역시
2002.02,1.1602083333333333,광역시
2002.03,1.16225,광역시
2002.04,1.1642916666666667,광역시
2002.05,1.1663333333333332,광역시
2002.06,1.168375,광역시
2002.07,1.1704166666666667,광역시
2002.08,1.1724583333333334,광역시
2002.09,1.1745,광역시
2002.10,1.1765416666666666,광역시
2002.11,1.1785833333333333,광역시
2002.12,1.180625,광역시
2003.01,1.1826666666666668,광역시
2003.02,1.1788750000000001,광역시
2003.03,1.1750833333333335,광역시
2003.04,1.1712916666666668,광역시
2003.05,1.1675,광역시
2003.06,1.1637083333333333,광역시
2003.07,1.1599166666666667,광역시
2003.08,1.156125,광역시
2003.09,1.1523333333333334,광역시
2003.10,1.1485416666666666,광역시
2003.11,1.14475,광역시
2003.12,1.1409583333333333,광역시
2004.01,1.1371666666666667,광역시
2004.02,1.13075,광역시
2004.03,1.1243333333333334,광역시
2004.04,1.1179166666666667,광역시
2004.05,1.1115,광역시
2004.06,1.1050833333333334,광역시
2004.07,1.0986666666666667,광역시
2004.08,1.09225,광역시
2004.09,1.0858333333333334,광역시
2004.10,1.0794166666666667,광역시
2004.11,1.073,광역시
2004.12,1.0665833333333334,광역시
2005.01,1.0601666666666667,광역시
2005.02,1.0634027777777777,광역시
2005.03,1.066638888888889,광역시
2005.04,1.0698750000000001,광역시
2005.05,1.0731111111111111,광역시
2005.06,1.0763472222222221,광역시
2005.07,1.0795833333333333,광역시
2005.08,1.0828194444444446,광역시
2005.09,1.0860555555555556,광역시
2005.10,1.0892916666666665,광역시
2005.11,1.0925277777777778,광역시
2005.12,1.095763888888889,광역시
2006.01,1.099,광역시
2006.02,1.1095972222222221,광역시
2006.03,1.1201944444444445,광역시
2006.04,1.1307916666666666,광역시
2006.05,1.1413888888888888,광역시
2006.06,1.1519861111111112,광역시
2006.07,1.1625833333333333,광역시
2006.08,1.1731805555555554,광역시
2006.09,1.1837777777777778,광역시
2006.10,1.194375,광역시
2006.11,1.2049722222222221,광역시
2006.12,1.2155694444444445,광역시
2007.01,1.2261666666666666,광역시
2007.02,1.2210555555555556,광역시
2007.03,1.2159444444444445,광역시
2007.04,1.2108333333333334,광역시
2007.05,1.2057222222222221,광역시
2007.06,1.200611111111111,광역시
2007.07,1.1955,광역시
2007.08,1.190388888888889,광역시
2007.09,1.1852777777777779,광역시
2007.10,1.1801666666666666,광역시
2007.11,1.1750555555555555,광역시
2007.12,1.1699444444444445,광역시
2008.01,1.1648333333333334,광역시
2008.02,1.161,광역시
2008.03,1.1571666666666667,광역시
2008.04,1.1533333333333333,광역시
2008.05,1.1495,광역시
2008.06,1.1456666666666666,광역시
2008.07,1.1418333333333335,광역시
2008.08,1.1380000000000001,광역시
2008.09,1.1341666666666668,광역시
2008.10,1.1303333333333334,광역시
2008.11,1.1265,광역시
2008.12,1.1226666666666667,광역시
2009.01,1.1188333333333333,광역시
2009.02,1.1251111111111112,광역시
2009.03,1.131388888888889,광역시
2009.04,1.1376666666666666,광역시
2009.05,1.1439444444444444,광역시
2009.06,1.1502222222222223,광역시
2009.07,1.1564999999999999,광역시
2009.08,1.1627777777777777,광역시
2009.09,1.1690555555555555,광역시
2009.10,1.1753333333333333,광역시
2009.11,1.1816111111111112,광역시
2009.12,1.1878888888888888,광역시
2010.01,1.1941666666666666,광역시
2010.02,1.1966527777777778,광역시
2010.03,1.1991388888888888,광역시
2010.04,1.201625,광역시
2010.05,1.2041111111111111,광역시
2010.06,1.206597222222222,광역시
2010.07,1.2090833333333333,광역시
2010.08,1.2115694444444445,광역시
2010.09,1.2140555555555554,광역시
2010.10,1.2165416666666666,광역시
2010.11,1.2190277777777778,광역시
2010.12,1.2215138888888888,광역시
2011.01,1.224,광역시
2011.02,1.2295555555555555,광역시
2011.03,1.235111111111111,광역시
2011.04,1.2406666666666666,광역시
2011.05,1.2462222222222221,광역시
2011.06,1.2517777777777777,광역시
2011.07,1.2573333333333334,광역시
2011.08,1.262888888888889,광역시
2011.09,1.2684444444444445,광역시
2011.10,1.274,광역시
2011.11,1.2795555555555556,광역시
2011.12,1.285111111111111,광역시
2012.01,1.2906666666666666,광역시
2012.02,1.2826388888888889,광역시
2012.03,1.2746111111111111,광역시
2012.04,1.2665833333333334,광역시
2012.05,1.2585555555555556,광역시
2012.06,1.250527777777778,광역시
2012.07,1.2425000000000002,광역시
2012.08,1.2344722222222222,광역시
2012.09,1.2264444444444444,광역시
2012.10,1.2184166666666667,광역시
2012.11,1.210388888888889,광역시
2012.12,1.2023611111111112,광역시
2013.01,1.1943333333333335,광역시
2013.02,1.1969861111111113,광역시
2013.03,1.199638888888889,광역시
2013.04,1.2022916666666668,광역시
2013.05,1.2049444444444446,광역시
2013.06,1.2075972222222222,광역시
2013.07,1.21025,광역시
2013.08,1.2129027777777779,광역시
2013.09,1.2155555555555555,광역시
2013.10,1.2182083333333333,광역시
2013.11,1.2208611111111112,광역시
2013.12,1.2235138888888888,광역시
2014.01,1.2261666666666666,광역시
2014.02,1.2287222222222223,광역시
2014.03,1.2312777777777777,광역시
2014.04,1.2338333333333333,광역시
2014.05,1.236388888888889,광역시
2014.06,1.2389444444444444,광역시
2014.07,1.2415,광역시
2014.08,1.2440555555555557,광역시
2014.09,1.2466111111111111,광역시
2014.10,1.2491666666666668,광역시
2014.11,1.2517222222222224,광역시
2014.12,1.2542777777777778,광역시
2015.01,1.2568333333333335,광역시
2015.02,1.252138888888889,광역시
2015.03,1.2474444444444446,광역시
2015.04,1.24275,광역시
2015.05,1.2380555555555557,광역시
2015.06,1.2333611111111111,광역시
2015.07,1.2286666666666668,광역시
2015.08,1.2239722222222222,광역시
2015.09,1.2192777777777777,광역시
2015.10,1.2145833333333333,광역시
2015.11,1.2098888888888888,광역시
2015.12,1.2051944444444445,광역시
2016.01,1.2005,광역시
2016.02,1.1898888888888888,광역시
2016.03,1.1792777777777776,광역시
2016.04,1.1686666666666665,광역시
2016.05,1.1580555555555554,광역시
2016.06,1.1474444444444443,광역시
2016.07,1.1368333333333331,광역시
2016.08,1.1262222222222222,광역시
2016.09,1.115611111111111,광역시
2016.10,1.105,광역시
2016.11,1.0943888888888889,광역시
2016.12,1.0837777777777777,광역시
2017.01,1.0731666666666666,광역시
2017.02,1.0663333333333334,광역시
2017.03,1.0594999999999999,광역시
2017.04,1.0526666666666666,광역시
2017.05,1.0458333333333334,광역시
2017.06,1.039,광역시
2017.07,1.0321666666666667,광역시
2017.08,1.0253333333333332,광역시
2017.09,1.0185,광역시
2017.10,1.0116666666666667,광역시
2017.11,1.0048333333333332,광역시
2017.12,0.998,광역시
2018.01,0.9911666666666666,광역시
2018.02,0.9860555555555556,광역시
2018.03,0.9809444444444444,광역시
2018.04,0.9758333333333333,광역시
2018.05,0.9707222222222223,광역시
2018.06,0.9656111111111111,광역시
2018.07,0.9605,광역시
2018.08,0.955388888888889,광역시
2018.09,0.9502777777777778,광역시
2018.10,0.9451666666666667,광역시
2018.11,0.9400555555555556,광역시
2018.12,0.9349444444444445,광역시
2019.01,0.9298333333333334,광역시
2019.02,0.9215555555555557,광역시
2019.03,0.9132777777777779,광역시
2019.04,0.905,광역시
2019.05,0.8967222222222223,광역시
2019.06,0.8884444444444446,광역시
2019.07,0.8801666666666668,광역시
2019.08,0.8718888888888889,광역시
2019.09,0.8636111111111112,광역시
2019.10,0.8553333333333335,광역시
2019.11,0.8470555555555557,광역시
2019.12,0.8387777777777778,광역시
2020.01,0.8305000000000001,광역시
2020.02,0.8298611111111113,광역시
2020.03,0.8292222222222223,광역시
2020.04,0.8285833333333334,광역시
2020.05,0.8279444444444446,광역시
2020.06,0.8273055555555556,광역시
2020.07,0.8266666666666668,광역시
2020.08,0.8260277777777779,광역시
2020.09,0.825388888888889,광역시
2020.10,0.8247500000000001,광역시
2020.11,0.8241111111111112,광역시
2020.12,0.8234722222222223,광역시
2021.01,0.8228333333333334,광역시
2021.02,0.820388888888889,광역시
2021.03,0.8179444444444445,광역시
2021.04,0.8155000000000001,광역시
2021.05,0.8130555555555556,광역시
2021.06,0.8106111111111112,광역시
2021.07,0.8081666666666667,광역시
2021.08,0.8057222222222222,광역시
2021.09,0.8032777777777778,광역시
2021.10,0.8008333333333333,광역시
2021.11,0.7983888888888889,광역시
2021.12,0.7959444444444445,광역시
2022.01,0.7935,광역시
2022.02,0.7880277777777778,광역시
2022.03,0.7825555555555556,광역시
2022.04,0.7770833333333333,광역시
2022.05,0.7716111111111111,광역시
2022.06,0.7661388888888889,광역시
2022.07,0.7606666666666666,광역시
2022.08,0.7551944444444444,광역시
2022.09,0.7497222222222222,광역시
2022.10,0.74425,광역시
2022.11,0.7387777777777778,광역시
2022.12,0.7333055555555555,광역시
2023.01,0.7278333333333333,광역시
2000.01,1.6445555555555555,대도시외
2000.02,1.629574074074074,대도시외
2000.03,1.6145925925925926,대도시외
2000.04,1.599611111111111,대도시외
2000.05,1.5846296296296296,대도시외
2000.06,1.5696481481481481,대도시외
2000.07,1.5546666666666666,대도시외
2000.08,1.5396851851851852,대도시외
2000.09,1.5247037037037037,대도시외
2000.10,1.5097222222222222,대도시외
2000.11,1.4947407407407407,대도시외
2000.12,1.4797592592592592,대도시외
2001.01,1.4647777777777777,대도시외
2001.02,1.452351851851852,대도시외
2001.03,1.4399259259259258,대도시외
2001.04,1.4275,대도시외
2001.05,1.415074074074074,대도시외
2001.06,1.402648148148148,대도시외
2001.07,1.390222222222222,대도시외
2001.08,1.3777962962962962,대도시외
2001.09,1.3653703703703703,대도시외
2001.10,1.3529444444444443,대도시외
2001.11,1.3405185185185184,대도시외
2001.12,1.3280925925925926,대도시외
2002.01,1.3156666666666665,대도시외
2002.02,1.3159537037037037,대도시외
2002.03,1.3162407407407406,대도시외
2002.04,1.3165277777777777,대도시외
2002.05,1.3168148148148147,대도시외
2002.06,1.3171018518518518,대도시외
2002.07,1.317388888888889,대도시외
2002.08,1.3176759259259259,대도시외
2002.09,1.317962962962963,대도시외
2002.10,1.31825,대도시외
2002.11,1.318537037037037,대도시외
2002.12,1.318824074074074,대도시외
2003.01,1.3191111111111111,대도시외
2003.02,1.3166203703703703,대도시외
2003.03,1.3141296296296296,대도시외
2003.04,1.311638888888889,대도시외
2003.05,1.3091481481481482,대도시외
2003.06,1.3066574074074073,대도시외
2003.07,1.3041666666666667,대도시외
2003.08,1.301675925925926,대도시외
2003.09,1.2991851851851852,대도시외
2003.10,1.2966944444444444,대도시외
2003.11,1.2942037037037037,대도시외
2003.12,1.2917129629629631,대도시외
2004.01,1.2892222222222223,대도시외
2004.02,1.2834444444444444,대도시외
2004.03,1.2776666666666667,대도시외
2004.04,1.2718888888888888,대도시외
2004.05,1.2661111111111112,대도시외
2004.06,1.2603333333333333,대도시외
2004.07,1.2545555555555556,대도시외
2004.08,1.2487777777777778,대도시외
2004.09,1.2429999999999999,대도시외
2004.10,1.2372222222222222,대도시외
2004.11,1.2314444444444443,대도시외
2004.12,1.2256666666666667,대도시외
2005.01,1.2198888888888888,대도시외
2005.02,1.2239166666666665,대도시외
2005.03,1.2279444444444443,대도시외
2005.04,1.2319722222222222,대도시외
2005.05,1.236,대도시외
2005.06,1.2400277777777777,대도시외
2005.07,1.2440555555555555,대도시외
2005.08,1.2480833333333332,대도시외
2005.09,1.252111111111111,대도시외
2005.10,1.2561388888888887,대도시외
2005.11,1.2601666666666667,대도시외
2005.12,1.2641944444444444,대도시외
2006.01,1.2682222222222221,대도시외
2006.02,1.2813796296296296,대도시외
2006.03,1.294537037037037,대도시외
2006.04,1.3076944444444445,대도시외
2006.05,1.3208518518518517,대도시외
2006.06,1.3340092592592592,대도시외
2006.07,1.3471666666666666,대도시외
2006.08,1.360324074074074,대도시외
2006.09,1.3734814814814815,대도시외
2006.10,1.3866388888888888,대도시외
2006.11,1.3997962962962962,대도시외
2006.12,1.4129537037037037,대도시외
2007.01,1.426111111111111,대도시외
2007.02,1.4195092592592593,대도시외
2007.03,1.4129074074074075,대도시외
2007.04,1.4063055555555555,대도시외
2007.05,1.3997037037037037,대도시외
2007.06,1.3931018518518519,대도시외
2007.07,1.3864999999999998,대도시외
2007.08,1.379898148148148,대도시외
2007.09,1.3732962962962962,대도시외
2007.10,1.3666944444444444,대도시외
2007.11,1.3600925925925926,대도시외
2007.12,1.3534907407407406,대도시외
2008.01,1.3468888888888888,대도시외
2008.02,1.3448148148148147,대도시외
2008.03,1.3427407407407408,대도시외
2008.04,1.3406666666666667,대도시외
2008.05,1.3385925925925926,대도시외
2008.06,1.3365185185185184,대도시외
2008.07,1.3344444444444443,대도시외
2008.08,1.3323703703703704,대도시외
2008.09,1.3302962962962963,대도시외
2008.10,1.3282222222222222,대도시외
2008.11,1.3261481481481483,대도시외
2008.12,1.3240740740740742,대도시외
2009.01,1.322,대도시외
2009.02,1.3291203703703705,대도시외
2009.03,1.3362407407407408,대도시외
2009.04,1.3433611111111112,대도시외
2009.05,1.3504814814814816,대도시외
2009.06,1.357601851851852,대도시외
2009.07,1.3647222222222224,대도시외
2009.08,1.3718425925925926,대도시외
2009.09,1.378962962962963,대도시외
2009.10,1.3860833333333333,대도시외
2009.11,1.3932037037037037,대도시외
2009.12,1.400324074074074,대도시외
2010.01,1.4074444444444445,대도시외
2010.02,1.40975,대도시외
2010.03,1.4120555555555556,대도시외
2010.04,1.4143611111111112,대도시외
2010.05,1.4166666666666667,대도시외
2010.06,1.4189722222222223,대도시외
2010.07,1.4212777777777779,대도시외
2010.08,1.4235833333333334,대도시외
2010.09,1.425888888888889,대도시외
2010.10,1.4281944444444445,대도시외
2010.11,1.4305,대도시외
2010.12,1.4328055555555557,대도시외
2011.01,1.4351111111111112,대도시외
2011.02,1.4409685185185186,대도시외
2011.03,1.446825925925926,대도시외
2011.04,1.4526833333333333,대도시외
2011.05,1.458540740740741,대도시외
2011.06,1.4643981481481483,대도시외
2011.07,1.4702555555555556,대도시외
2011.08,1.476112962962963,대도시외
2011.09,1.4819703703703704,대도시외
2011.10,1.487827777777778,대도시외
2011.11,1.4936851851851853,대도시외
2011.12,1.4995425925925927,대도시외
2012.01,1.5054,대도시외
2012.02,1.49435,대도시외
2012.03,1.4833,대도시외
2012.04,1.47225,대도시외
2012.05,1.4612,대도시외
2012.06,1.45015,대도시외
2012.07,1.4391,대도시외
2012.08,1.42805,대도시외
2012.09,1.417,대도시외
2012.10,1.40595,대도시외
2012.11,1.3949,대도시외
2012.12,1.38385,대도시외
2013.01,1.3728,대도시외
2013.02,1.3729916666666666,대도시외
2013.03,1.3731833333333334,대도시외
2013.04,1.373375,대도시외
2013.05,1.3735666666666668,대도시외
2013.06,1.3737583333333334,대도시외
2013.07,1.3739500000000002,대도시외
2013.08,1.3741416666666668,대도시외
2013.09,1.3743333333333334,대도시외
2013.10,1.3745250000000002,대도시외
2013.11,1.3747166666666668,대도시외
2013.12,1.3749083333333336,대도시외
2014.01,1.3751000000000002,대도시외
2014.02,1.3825833333333335,대도시외
2014.03,1.3900666666666668,대도시외
