"지역별","시점",출생아수,합계출산율
"전국","2000",640089,1.480
"전국","2001",559934,1.309
"전국","2002",496911,1.178
"전국","2003",495036,1.191
"전국","2004",476958,1.164
"전국","2005",438707,1.085
"전국","2006",451759,1.132
"전국","2007",496822,1.259
"전국","2008",465892,1.192
"전국","2009",444849,1.149
"전국","2010",470171,1.226
"전국","2011",471265,1.244
"전국","2012",484550,1.297
"전국","2013",436455,1.187
"전국","2014",435435,1.205
"전국","2015",438420,1.239
"전국","2016",406243,1.172
"전국","2017",357771,1.052
"전국","2018",326822,0.977
"전국","2019",302676,0.918
"전국","2020",272337,0.837
"전국","2021",260562,0.808
"전국","2022",249186,0.778
"전국","2023",230028,0.721
