시점,지역별,저출산율,고용률,학생수,사설학원수,사교육참여율,수술인원,인터넷이용률,근로시간,어린이집,이동인구수,인구밀집도,주택유형별,주택규모별,ratio
2015.01,11,1.0,60.0,104.0,13989.0,74.3,254944.0,86.7,2100.0,6598.0,-3055.0,16364.0,0,1,70.463
2015.01,11,1.0,60.0,104.0,13989.0,74.3,254944.0,86.7,2100.0,6598.0,-3055.0,16364.0,0,2,74.382
2015.01,11,1.0,60.0,104.0,13989.0,74.3,254944.0,86.7,2100.0,6598.0,-3055.0,16364.0,0,3,75.04
2015.01,11,1.0,60.0,104.0,13989.0,74.3,254944.0,86.7,2100.0,6598.0,-3055.0,16364.0,0,4,78.388
2015.01,11,1.0,60.0,104.0,13989.0,74.3,254944.0,86.7,2100.0,6598.0,-3055.0,16364.0,0,5,80.434
2015.01,11,1.0,60.0,104.0,13989.0,74.3,254944.0,86.7,2100.0,6598.0,-3055.0,16364.0,1,1,89.459
2015.01,11,1.0,60.0,104.0,13989.0,74.3,254944.0,86.7,2100.0,6598.0,-3055.0,16364.0,1,2,90.024
2015.01,11,1.0,60.0,104.0,13989.0,74.3,254944.0,86.7,2100.0,6598.0,-3055.0,16364.0,1,3,90.253
2015.02,11,1.0,59.7,103.728,13988.0,74.25,255351.0,86.8,2087.9,6578.833,-4136.0,16350.517,0,1,70.734
2015.02,11,1.0,59.7,103.728,13988.0,74.25,255351.0,86.8,2087.9,6578.833,-4136.0,16350.517,0,2,74.581
2015.02,11,1.0,59.7,103.728,13988.0,74.25,255351.0,86.8,2087.9,6578.833,-4136.0,16350.517,0,3,75.283
2015.02,11,1.0,59.7,103.728,13988.0,74.25,255351.0,86.8,2087.9,6578.833,-4136.0,16350.517,0,4,78.625
2015.02,11,1.0,59.7,103.728,13988.0,74.25,255351.0,86.8,2087.9,6578.833,-4136.0,16350.517,0,5,80.602
2015.02,11,1.0,59.7,103.728,13988.0,74.25,255351.0,86.8,2087.9,6578.833,-4136.0,16350.517,1,1,89.507
2015.02,11,1.0,59.7,103.728,13988.0,74.25,255351.0,86.8,2087.9,6578.833,-4136.0,16350.517,1,2,90.102
2015.02,11,1.0,59.7,103.728,13988.0,74.25,255351.0,86.8,2087.9,6578.833,-4136.0,16350.517,1,3,90.228
2015.03,11,0.99,59.5,103.457,13986.0,74.2,255758.0,86.9,2075.8,6559.667,-9374.0,16337.033,0,1,71.196
2015.03,11,0.99,59.5,103.457,13986.0,74.2,255758.0,86.9,2075.8,6559.667,-9374.0,16337.033,0,2,74.943
2015.03,11,0.99,59.5,103.457,13986.0,74.2,255758.0,86.9,2075.8,6559.667,-9374.0,16337.033,0,3,75.561
2015.03,11,0.99,59.5,103.457,13986.0,74.2,255758.0,86.9,2075.8,6559.667,-9374.0,16337.033,0,4,78.897
2015.03,11,0.99,59.5,103.457,13986.0,74.2,255758.0,86.9,2075.8,6559.667,-9374.0,16337.033,0,5,80.944
2015.03,11,0.99,59.5,103.457,13986.0,74.2,255758.0,86.9,2075.8,6559.667,-9374.0,16337.033,1,1,89.644
2015.03,11,0.99,59.5,103.457,13986.0,74.2,255758.0,86.9,2075.8,6559.667,-9374.0,16337.033,1,2,90.191
2015.03,11,0.99,59.5,103.457,13986.0,74.2,255758.0,86.9,2075.8,6559.667,-9374.0,16337.033,1,3,90.439
2015.04,11,0.99,59.6,103.185,13985.0,74.15,256165.0,87.0,2063.7,6540.5,-11117.0,16323.55,0,1,71.848
2015.04,11,0.99,59.6,103.185,13985.0,74.15,256165.0,87.0,2063.7,6540.5,-11117.0,16323.55,0,2,75.522
2015.04,11,0.99,59.6,103.185,13985.0,74.15,256165.0,87.0,2063.7,6540.5,-11117.0,16323.55,0,3,75.965
2015.04,11,0.99,59.6,103.185,13985.0,74.15,256165.0,87.0,2063.7,6540.5,-11117.0,16323.55,0,4,79.354
2015.04,11,0.99,59.6,103.185,13985.0,74.15,256165.0,87.0,2063.7,6540.5,-11117.0,16323.55,0,5,81.243
2015.04,11,0.99,59.6,103.185,13985.0,74.15,256165.0,87.0,2063.7,6540.5,-11117.0,16323.55,1,1,89.84
2015.04,11,0.99,59.6,103.185,13985.0,74.15,256165.0,87.0,2063.7,6540.5,-11117.0,16323.55,1,2,90.41
2015.04,11,0.99,59.6,103.185,13985.0,74.15,256165.0,87.0,2063.7,6540.5,-11117.0,16323.55,1,3,90.643
2015.05,11,0.98,60.3,102.913,13984.0,74.1,256572.0,87.1,2051.6,6521.333,-11676.0,16310.067,0,1,72.394
2015.05,11,0.98,60.3,102.913,13984.0,74.1,256572.0,87.1,2051.6,6521.333,-11676.0,16310.067,0,2,75.94
2015.05,11,0.98,60.3,102.913,13984.0,74.1,256572.0,87.1,2051.6,6521.333,-11676.0,16310.067,0,3,76.432
2015.05,11,0.98,60.3,102.913,13984.0,74.1,256572.0,87.1,2051.6,6521.333,-11676.0,16310.067,0,4,79.693
2015.05,11,0.98,60.3,102.913,13984.0,74.1,256572.0,87.1,2051.6,6521.333,-11676.0,16310.067,0,5,81.559
2015.05,11,0.98,60.3,102.913,13984.0,74.1,256572.0,87.1,2051.6,6521.333,-11676.0,16310.067,1,1,90.071
2015.05,11,0.98,60.3,102.913,13984.0,74.1,256572.0,87.1,2051.6,6521.333,-11676.0,16310.067,1,2,90.637
