시점,지역,기업수,합계출산율
2021,강원,419563.0,0.979
2021,울산,231598.0,0.94
2021,경기,3913516.0,0.853
2021,경북,728744.0,0.966
2021,광주,380215.0,0.896
2021,대구,586239.0,0.785
2021,대전,353856.0,0.81
2021,서울,3258461.0,0.626
2021,세종,79754.0,1.277
2021,부산,910945.0,0.728
2021,인천,791040.0,0.778
2021,전남,518419.0,1.017
2021,전북,524488.0,0.85
2021,제주,222275.0,0.951
2021,충남,557845.0,0.963
2021,충북,445253.0,0.949
2021,경남,928464.0,0.903
2020,서울,3114152.0,0.642
2020,충남,514557.0,1.029
2020,제주,211961.0,1.021
2020,전북,494733.0,0.909
2020,전남,508264.0,1.145
2020,인천,716572.0,0.829
2020,울산,231536.0,0.984
2020,세종,71657.0,1.277
2020,충북,383345.0,0.983
2020,부산,914449.0,0.747
2020,대전,340523.0,0.805
2020,대구,575379.0,0.807
2020,광주,334170.0,0.811
2020,경북,690236.0,1.003
2020,경남,781514.0,0.945
2020,경기,3377097.0,0.878
2020,강원,348097.0,1.036
2019,경기,3241706.0,0.943
2019,강원,350455.0,1.082
2019,대전,339667.0,0.883
2019,세종,67321.0,1.472
2019,충북,357080.0,1.05
2019,경북,619151.0,1.089
2019,광주,299826.0,0.913
2019,대구,546503.0,0.932
2019,경남,688247.0,1.046
2019,부산,853599.0,0.827
2019,서울,2955032.0,0.717
2019,울산,220390.0,1.084
2019,인천,664307.0,0.94
2019,전남,455663.0,1.234
2019,전북,437167.0,0.971
2019,제주,202465.0,1.145
2019,충남,481867.0,1.112
2018,광주,290795.0,0.972
2018,대전,297900.0,0.952
2018,대구,570534.0,0.987
2018,강원,333628.0,1.067
2018,경북,600435.0,1.167
2018,경남,760098.0,1.122
2018,부산,825092.0,0.899
2018,충남,447413.0,1.186
2018,서울,2853196.0,0.761
2018,세종,56367.0,1.566
2018,울산,202174.0,1.131
2018,인천,651161.0,1.006
2018,전남,436254.0,1.24
2018,전북,452733.0,1.044
2018,제주,174816.0,1.22
2018,경기,3178281.0,1.002
2018,충북,337488.0,1.172
2017,서울,2722677.0,0.836
2017,경기,2941263.0,1.069
2017,경남,733783.0,1.227
2017,경북,579634.0,1.256
2017,광주,281345.0,1.053
2017,대구,527713.0,1.067
2017,대전,293909.0,1.075
2017,부산,798696.0,0.976
2017,세종,48166.0,1.668
2017,울산,192345.0,1.261
2017,인천,623182.0,1.007
2017,전남,406216.0,1.325
2017,전북,416733.0,1.151
2017,제주,172985.0,1.305
2017,충남,411235.0,1.276
2017,충북,323282.0,1.235
2017,강원,314054.0,1.123
2016,경기,2807402.0,1.194
2016,강원,282365.0,1.237
2016,충북,307715.0,1.358
2016,서울,2690159.0,0.94
2016,충남,394294.0,1.395
2016,경남,709792.0,1.358
2016,경북,547476.0,1.396
2016,광주,294512.0,1.168
2016,대전,272004.0,1.192
2016,부산,778818.0,1.095
2016,대구,485218.0,1.186
2016,세종,40055.0,1.821
2016,울산,207760.0,1.418
2016,인천,591379.0,1.144
2016,전남,385353.0,1.466
2016,전북,394083.0,1.251
2016,제주,167329.0,1.432
2015,부산,789545.0,1.139
2015,강원,275963.0,1.311
2015,경기,2679841.0,1.272
2015,경남,744461.0,1.437
2015,경북,527251.0,1.464
2015,광주,287105.0,1.207
2015,대구,488373.0,1.216
2015,대전,288774.0,1.277
2015,충남,437347.0,1.48
2015,세종,33752.0,1.893
2015,울산,208545.0,1.486
2015,인천,571127.0,1.216
2015,전남,423697.0,1.549
2015,전북,361516.0,1.352
2015,제주,137800.0,1.477
2015,충북,299861.0,1.414
2015,서울,2645099.0,1.001
