시점,기업수,지역별
2015.01,275963,강원
2015.02,276496,강원
2015.03,277030,강원
2015.04,277564,강원
2015.05,278097,강원
2015.06,278630,강원
2015.07,279164,강원
2015.08,279698,강원
2015.09,280231,강원
2015.10,280764,강원
2015.11,281298,강원
2015.12,281832,강원
2016.01,282365,강원
2016.02,285006,강원
2016.03,287646,강원
2016.04,290287,강원
2016.05,292928,강원
2016.06,295569,강원
2016.07,298210,강원
2016.08,300850,강원
2016.09,303491,강원
2016.10,306132,강원
2016.11,308772,강원
2016.12,311413,강원
2017.01,314054,강원
2017.02,315685,강원
2017.03,317316,강원
2017.04,318948,강원
2017.05,320579,강원
2017.06,322210,강원
2017.07,323841,강원
2017.08,325472,강원
2017.09,327103,강원
2017.10,328734,강원
2017.11,330366,강원
2017.12,331997,강원
2018.01,333628,강원
2018.02,335030,강원
2018.03,336432,강원
2018.04,337835,강원
2018.05,339237,강원
2018.06,340639,강원
2018.07,342042,강원
2018.08,343444,강원
2018.09,344846,강원
2018.10,346248,강원
2018.11,347650,강원
2018.12,349053,강원
2019.01,350455,강원
2019.02,350258,강원
2019.03,350062,강원
2019.04,349866,강원
2019.05,349669,강원
2019.06,349472,강원
2019.07,349276,강원
2019.08,349080,강원
2019.09,348883,강원
2019.10,348686,강원
2019.11,348490,강원
2019.12,348294,강원
2020.01,348097,강원
2020.02,354052,강원
2020.03,360008,강원
2020.04,365964,강원
2020.05,371919,강원
2020.06,377874,강원
2020.07,383830,강원
2020.08,389786,강원
2020.09,395741,강원
2020.10,401696,강원
2020.11,407652,강원
2020.12,413608,강원
2021.01,419563,강원
2015.01,2679841,경기
2015.02,2690471,경기
2015.03,2701101,경기
2015.04,2711731,경기
2015.05,2722361,경기
2015.06,2732991,경기
2015.07,2743622,경기
2015.08,2754252,경기
2015.09,2764882,경기
2015.10,2775512,경기
2015.11,2786142,경기
2015.12,2796772,경기
2016.01,2807402,경기
2016.02,2818557,경기
2016.03,2829712,경기
2016.04,2840867,경기
2016.05,2852022,경기
2016.06,2863177,경기
2016.07,2874332,경기
2016.08,2885488,경기
2016.09,2896643,경기
2016.10,2907798,경기
2016.11,2918953,경기
2016.12,2930108,경기
2017.01,2941263,경기
2017.02,2961014,경기
2017.03,2980766,경기
2017.04,3000518,경기
2017.05,3020269,경기
2017.06,3040020,경기
2017.07,3059772,경기
2017.08,3079524,경기
2017.09,3099275,경기
2017.10,3119026,경기
2017.11,3138778,경기
2017.12,3158530,경기
2018.01,3178281,경기
2018.02,3183566,경기
2018.03,3188852,경기
2018.04,3194137,경기
2018.05,3199423,경기
2018.06,3204708,경기
2018.07,3209994,경기
2018.08,3215279,경기
2018.09,3220564,경기
2018.10,3225850,경기
2018.11,3231135,경기
2018.12,3236421,경기
2019.01,3241706,경기
2019.02,3252989,경기
2019.03,3264271,경기
2019.04,3275554,경기
2019.05,3286836,경기
2019.06,3298119,경기
2019.07,3309402,경기
2019.08,3320684,경기
2019.09,3331967,경기
2019.10,3343249,경기
2019.11,3354532,경기
2019.12,3365814,경기
2020.01,3377097,경기
2020.02,3421799,경기
2020.03,3466500,경기
2020.04,3511202,경기
2020.05,3555903,경기
2020.06,3600605,경기
2020.07,3645306,경기
2020.08,3690008,경기
2020.09,3734710,경기
2020.10,3779411,경기
2020.11,3824113,경기
2020.12,3868814,경기
2021.01,3913516,경기
2015.01,744461,경남
2015.02,741572,경남
2015.03,738683,경남
2015.04,735794,경남
2015.05,732905,경남
2015.06,730016,경남
2015.07,727126,경남
2015.08,724237,경남
2015.09,721348,경남
2015.10,718459,경남
2015.11,715570,경남
2015.12,712681,경남
2016.01,709792,경남
2016.02,711791,경남
2016.03,713790,경남
2016.04,715790,경남
2016.05,717789,경남
2016.06,719788,경남
2016.07,721788,경남
2016.08,723787,경남
2016.09,725786,경남
2016.10,727785,경남
2016.11,729784,경남
2016.12,731784,경남
2017.01,733783,경남
2017.02,735976,경남
2017.03,738169,경남
2017.04,740362,경남
2017.05,742555,경남
2017.06,744748,경남
2017.07,746940,경남
2017.08,749133,경남
2017.09,751326,경남
2017.10,753519,경남
2017.11,755712,경남
2017.12,757905,경남
2018.01,760098,경남
2018.02,754110,경남
2018.03,748123,경남
2018.04,742135,경남
2018.05,736148,경남
2018.06,730160,경남
2018.07,724172,경남
2018.08,718185,경남
2018.09,712197,경남
2018.10,706210,경남
2018.11,700222,경남
2018.12,694235,경남
2019.01,688247,경남
2019.02,696019,경남
2019.03,703792,경남
2019.04,711564,경남
2019.05,719336,경남
2019.06,727108,경남
2019.07,734880,경남
2019.08,742653,경남
2019.09,750425,경남
2019.10,758197,경남
2019.11,765970,경남
2019.12,773742,경남
2020.01,781514,경남
2020.02,793760,경남
2020.03,806006,경남
2020.04,818252,경남
2020.05,830497,경남
2020.06,842743,경남
2020.07,854989,경남
2020.08,867235,경남
2020.09,879481,경남
2020.10,891726,경남
2020.11,903972,경남
2020.12,916218,경남
2021.01,928464,경남
2015.01,527251,경북
2015.02,528936,경북
2015.03,530622,경북
2015.04,532307,경북
2015.05,533993,경북
2015.06,535678,경북
2015.07,537364,경북
2015.08,539049,경북
2015.09,540734,경북
2015.10,542420,경북
2015.11,544105,경북
2015.12,545791,경북
2016.01,547476,경북
2016.02,550156,경북
2016.03,552836,경북
2016.04,555516,경북
2016.05,558195,경북
2016.06,560875,경북
2016.07,563555,경북
2016.08,566235,경북
2016.09,568915,경북
2016.10,571594,경북
2016.11,574274,경북
2016.12,576954,경북
2017.01,579634,경북
2017.02,581367,경북
2017.03,583101,경북
2017.04,584834,경북
2017.05,586568,경북
2017.06,588301,경북
2017.07,590034,경북
2017.08,591768,경북
2017.09,593501,경북
2017.10,595235,경북
2017.11,596968,경북
