시점,지역별,저출산율,고용률,학생수,사설학원수,사교육참여율,수술인원,인터넷이용률,근로시간,어린이집
2012.01,강원,1.37,50.8,98.090,2335,64.500,47112,72.1,2011.2,1244
2012.01,경기,1.35,58.2,118.050,18530,70.900,333152,83.1,1981.2,12869
2012.01,경남,1.50,58.9,108.030,5916,68.600,109474,73.2,1983.6,3562
2012.01,경북,1.49,58.0,99.890,3696,67.600,87551,69.0,1935.6,2264
2012.01,광주,1.29,55.5,116.330,2038,70.800,43139,81.4,1964.4,1239
2012.01,대구,1.22,57.9,117.350,3542,75.400,69875,76.5,2080.8,1580
2012.01,대전,1.31,55.8,112.590,2167,73.400,41554,81.4,2010.0,1659
2012.01,부산,1.14,55.2,111.600,4859,68.700,121829,76.3,2017.2,1830
2012.01,서울,1.06,59.1,114.510,13688,73.500,270958,81.5,1945.2,6538
2012.01,울산,1.48,59.1,114.710,2535,70.900,34095,85.7,1888.8,893
2012.01,인천,1.30,59.8,113.750,3338,66.600,82080,82.2,2010.0,2181
2012.01,전남,1.64,60.3,94.070,2845,62.100,70203,68.5,1987.2,1188
2012.01,전북,1.44,52.9,97.740,4005,62.000,63788,73.7,1951.2,1620
2012.01,제주,1.60,66.5,113.410,980,66.500,16501,74.5,2067.6,584
2012.01,충남,1.57,55.8,103.610,2738,61.200,66762,71.1,1953.6,1991
2012.01,충북,1.49,53.7,104.650,2393,63.900,51180,72.7,1982.4,1179
2012.02,강원,1.36,50.5,97.958,2334,64.283,47100,72.4,2021.3,1246
2012.02,경기,1.34,58.2,117.811,18497,70.992,332790,83.2,1992.6,12910
2012.02,경남,1.49,59.1,107.847,5895,68.492,109370,73.9,1991.8,3567
2012.02,경북,1.48,58.4,99.773,3688,67.325,87543,69.6,1946.4,2265
2012.02,광주,1.28,55.8,116.124,2149,70.717,43051,81.5,1974.2,1240
2012.02,대구,1.21,57.2,116.957,3550,75.108,69808,77.2,2087.3,1581
2012.02,대전,1.31,55.8,112.407,2166,73.342,41475,81.9,2020.3,1661
2012.02,부산,1.13,55.0,111.320,4841,68.583,121692,77.0,2028.0,1836
2012.02,서울,1.05,59.2,114.293,13664,73.625,270115,81.6,1958.4,6555
2012.02,울산,1.47,59.5,114.505,2516,70.600,34098,86.0,1899.6,896
2012.02,인천,1.29,59.7,113.515,3326,66.492,82076,82.2,2019.5,2188
2012.02,전남,1.63,60.9,93.932,2840,61.842,70351,68.5,1996.6,1191
2012.02,전북,1.43,53.2,97.614,3999,61.825,63775,73.7,1962.3,1622
2012.02,제주,1.58,65.6,113.259,980,66.325,16498,75.0,2074.7,586
2012.02,충남,1.56,56.1,103.505,2734,61.158,66942,71.9,1962.2,1999
2012.02,충북,1.48,54.6,104.436,2391,63.783,51192,73.4,1991.6,1182
2012.03,강원,1.35,52.6,97.827,2334,64.067,47088,72.7,2031.4,1248
2012.03,경기,1.33,58.9,117.572,18464,71.083,332427,83.3,2004.0,12952
2012.03,경남,1.48,59.8,107.665,5874,68.383,109266,74.7,2000.0,3573
2012.03,경북,1.47,61.3,99.655,3679,67.050,87535,70.3,1957.2,2266
2012.03,광주,1.27,55.7,115.918,2260,70.633,42963,81.7,1984.0,1241
2012.03,대구,1.20,57.4,116.563,3558,74.817,69741,77.9,2093.8,1582
2012.03,대전,1.30,56.6,112.225,2166,73.283,41395,82.5,2030.6,1662
2012.03,부산,1.12,55.7,111.040,4822,68.467,121556,77.6,2038.8,1841
2012.03,서울,1.04,59.7,114.075,13641,73.750,269273,81.8,1971.6,6572
2012.03,울산,1.47,59.5,114.300,2496,70.300,34100,86.3,1910.4,900
2012.03,인천,1.28,61.3,113.280,3315,66.383,82072,82.2,2029.0,2195
2012.03,전남,1.62,62.3,93.793,2835,61.583,70499,68.5,2006.0,1194
2012.03,전북,1.42,55.9,97.488,3993,61.650,63762,73.7,1973.4,1624
2012.03,제주,1.57,66.1,113.108,980,66.150,16495,75.5,2081.8,587
2012.03,충남,1.55,60.3,103.400,2729,61.117,67121,72.6,1970.8,2006
2012.03,충북,1.47,57.8,104.222,2388,63.667,51204,74.0,2000.8,1184
2012.04,강원,1.34,58.0,97.695,2333,63.850,47075,73.0,2041.5,1249
2012.04,경기,1.32,59.7,117.332,18431,71.175,332065,83.4,2015.4,12993
2012.04,경남,1.47,61.2,107.483,5852,68.275,109161,75.4,2008.2,3578
2012.04,경북,1.46,62.9,99.537,3670,66.775,87528,70.9,1968.0,2266
2012.04,광주,1.26,56.7,115.713,2370,70.550,42875,81.8,1993.8,1242
2012.04,대구,1.19,58.3,116.170,3566,74.525,69674,78.5,2100.3,1582
2012.04,대전,1.29,56.7,112.043,2165,73.225,41316,83.0,2040.9,1664
2012.04,부산,1.11,55.7,110.760,4804,68.350,121419,78.3,2049.6,1847
2012.04,서울,1.04,60.4,113.858,13617,73.875,268430,81.9,1984.8,6589
2012.04,울산,1.46,60.3,114.095,2477,70.000,34103,86.7,1921.2,903
2012.04,인천,1.27,62.2,113.045,3303,66.275,82069,82.2,2038.5,2202
2012.04,전남,1.61,63.6,93.655,2830,61.325,70648,68.4,2015.4,1196
2012.04,전북,1.41,57.9,97.362,3987,61.475,63748,73.7,1984.5,1627
2012.04,제주,1.56,65.2,112.957,980,65.975,16492,76.1,2088.9,589
2012.04,충남,1.54,63.2,103.295,2724,61.075,67301,73.4,1979.4,2014
2012.04,충북,1.46,60.1,104.008,2386,63.550,51216,74.7,2010.0,1187
2012.05,강원,1.33,59.6,97.563,2332,63.633,47063,73.3,2051.6,1251
2012.05,경기,1.31,60.7,117.093,18398,71.267,331703,83.5,2026.8,13034
2012.05,경남,1.46,61.5,107.300,5831,68.167,109057,76.1,2016.4,3583
2012.05,경북,1.45,64.0,99.420,3662,66.500,87520,71.5,1978.8,2267
2012.05,광주,1.25,56.8,115.507,2481,70.467,42787,81.9,2003.6,1243
2012.05,대구,1.19,59.1,115.777,3574,74.233,69608,79.2,2106.8,1583
2012.05,대전,1.29,57.7,111.860,2164,73.167,41237,83.6,2051.2,1666
2012.05,부산,1.11,56.3,110.480,4785,68.233,121282,79.0,2060.4,1852
2012.05,서울,1.03,61.0,113.640,13594,74.000,267588,82.1,1998.0,6606
2012.05,울산,1.45,60.7,113.890,2458,69.700,34106,87.0,1932.0,906
2012.05,인천,1.27,62.4,112.810,3291,66.167,82065,82.2,2048.0,2208
2012.05,전남,1.60,64.7,93.517,2826,61.067,70796,68.4,2024.8,1199
2012.05,전북,1.40,59.6,97.237,3981,61.300,63735,73.6,1995.6,1629
2012.05,제주,1.54,66.9,112.807,979,65.800,16489,76.6,2096.0,591
2012.05,충남,1.53,64.2,103.190,2720,61.033,67480,74.2,1988.0,2022
2012.05,충북,1.45,61.9,103.793,2384,63.433,51228,75.4,2019.2,1190
2012.06,강원,1.32,59.2,97.432,2331,63.417,47051,73.6,2061.7,1253
2012.06,경기,1.30,60.8,116.854,18365,71.358,331340,83.6,2038.2,13075
2012.06,경남,1.45,61.2,107.118,5810,68.058,108953,76.8,2024.6,3589
2012.06,경북,1.44,63.9,99.303,3654,66.225,87512,72.2,1989.6,2268
2012.06,광주,1.24,56.6,115.301,2592,70.383,42699,82.1,2013.4,1244
2012.06,대구,1.18,59.2,115.383,3582,73.942,69541,79.9,2113.3,1584
2012.06,대전,1.28,58.0,111.678,2164,73.108,41157,84.1,2061.5,1668
2012.06,부산,1.10,56.7,110.200,4767,68.117,121146,79.6,2071.2,1858
2012.06,서울,1.02,60.8,113.422,13570,74.125,266745,82.2,2011.2,6623
2012.06,울산,1.44,59.9,113.685,2438,69.400,34109,87.3,1942.8,910
2012.06,인천,1.26,62.5,112.575,3280,66.058,82061,82.2,2057.5,2215
2012.06,전남,1.59,64.9,93.378,2821,60.808,70944,68.4,2034.2,1202
2012.06,전북,1.39,59.5,97.111,3975,61.125,63722,73.6,2006.7,1631
2012.06,제주,1.53,67.1,112.656,979,65.625,16486,77.1,2103.1,592
2012.06,충남,1.52,63.7,103.085,2716,60.992,67660,74.9,1996.6,2029
2012.06,충북,1.44,61.5,103.579,2381,63.317,51240,76.0,2028.4,1193
2012.07,강원,1.31,60.1,97.300,2330,63.200,47038,74.0,2071.8,1254
2012.07,경기,1.29,60.6,116.615,18332,71.450,330978,83.7,2049.6,13116
2012.07,경남,1.44,60.4,106.935,5789,67.950,108848,77.5,2032.8,3594
2012.07,경북,1.43,63.8,99.185,3645,65.950,87504,72.8,2000.4,2268
2012.07,광주,1.23,56.6,115.095,2703,70.300,42611,82.2,2023.2,1245
2012.07,대구,1.17,59.4,114.990,3590,73.650,69474,80.6,2119.8,1585
2012.07,대전,1.27,58.0,111.495,2163,73.050,41078,84.7,2071.8,1670
2012.07,부산,1.09,56.6,109.920,4748,68.000,121009,80.3,2082.0,1864
2012.07,서울,1.01,60.6,113.205,13546,74.250,265902,82.3,2024.4,6640
2012.07,울산,1.44,60.6,113.480,2419,69.100,34112,87.6,1953.6,913
2012.07,인천,1.25,62.5,112.340,3268,65.950,82058,82.2,2067.0,2222
2012.07,전남,1.58,64.0,93.240,2816,60.550,71092,68.3,2043.6,1205
2012.07,전북,1.38,59.0,96.985,3969,60.950,63709,73.6,2017.8,1634
2012.07,제주,1.51,66.5,112.505,979,65.450,16482,77.7,2110.2,594
2012.07,충남,1.51,63.9,102.980,2711,60.950,67840,75.7,2005.2,2037
2012.07,충북,1.43,61.4,103.365,2379,63.200,51252,76.7,2037.6,1196
2012.08,강원,1.30,59.2,97.168,2330,62.983,47026,74.3,2081.9,1256
2012.08,경기,1.28,60.1,116.376,18299,71.542,330616,83.8,2061.0,13158
2012.08,경남,1.42,60.5,106.752,5768,67.842,108744,78.3,2041.0,3599
2012.08,경북,1.42,63.3,99.067,3636,65.675,87496,73.4,2011.2,2269
2012.08,광주,1.22,56.5,114.889,2814,70.217,42523,82.3,2033.0,1246
2012.08,대구,1.16,58.6,114.597,3599,73.358,69407,81.3,2126.3,1586
2012.08,대전,1.27,57.5,111.312,2162,72.992,40999,85.2,2082.1,1671
2012.08,부산,1.08,55.9,109.640,4730,67.883,120872,81.0,2092.8,1869
2012.08,서울,1.01,59.7,112.988,13523,74.375,265060,82.5,2037.6,6657
2012.08,울산,1.43,59.4,113.275,2400,68.800,34114,87.9,1964.4,916
2012.08,인천,1.24,61.5,112.105,3256,65.842,82054,82.1,2076.5,2229
2012.08,전남,1.57,63.5,93.102,2811,60.292,71240,68.3,2053.0,1208
2012.08,전북,1.37,59.1,96.859,3963,60.775,63696,73.6,2028.9,1636
2012.08,제주,1.50,65.7,112.354,979,65.275,16479,78.2,2117.3,596
2012.08,충남,1.50,62.7,102.875,2706,60.908,68019,76.5,2013.8,2045
2012.08,충북,1.42,59.6,103.151,2377,63.083,51263,77.4,2046.8,1198
2012.09,강원,1.29,60.2,97.037,2329,62.767,47014,74.6,2092.0,1258
2012.09,경기,1.27,60.5,116.137,18266,71.633,330253,83.9,2072.4,13199
2012.09,경남,1.41,60.2,106.570,5747,67.733,108640,79.0,2049.2,3605
2012.09,경북,1.42,63.6,98.950,3628,65.400,87488,74.1,2022.0,2270
2012.09,광주,1.21,56.8,114.683,2925,70.133,42435,82.5,2042.8,1247
2012.09,대구,1.16,58.4,114.203,3607,73.067,69340,82.0,2132.8,1587
2012.09,대전,1.26,57.9,111.130,2162,72.933,40919,85.7,2092.4,1673
2012.09,부산,1.08,56.0,109.360,4712,67.767,120736,81.6,2103.6,1875
2012.09,서울,1.00,59.9,112.770,13499,74.500,264217,82.6,2050.8,6674
2012.09,울산,1.42,60.0,113.070,2380,68.500,34117,88.2,1975.2,920
2012.09,인천,1.23,61.7,111.870,3245,65.733,82050,82.1,2086.0,2236
2012.09,전남,1.56,64.2,92.963,2806,60.033,71388,68.3,2062.4,1211
2012.09,전북,1.36,59.8,96.733,3957,60.600,63683,73.6,2040.0,1638
2012.09,제주,1.48,66.4,112.203,979,65.100,16476,78.7,2124.4,597
2012.09,충남,1.48,63.1,102.770,2702,60.867,68199,77.2,2022.4,2052
2012.09,충북,1.41,60.3,102.937,2374,62.967,51275,78.0,2056.0,1201
2012.10,강원,1.28,59.9,96.905,2328,62.550,47002,74.9,2102.1,1260
2012.10,경기,1.26,60.8,115.898,18233,71.725,329891,84.0,2083.8,13240
2012.10,경남,1.40,60.5,106.388,5726,67.625,108536,79.7,2057.4,3610
2012.10,경북,1.41,63.8,98.833,3620,65.125,87480,74.7,2032.8,2271
2012.10,광주,1.20,56.6,114.477,3036,70.050,42347,82.6,2052.6,1248
2012.10,대구,1.15,58.4,113.810,3615,72.775,69274,82.7,2139.3,1588
2012.10,대전,1.25,58.3,110.948,2161,72.875,40840,86.3,2102.7,1675
2012.10,부산,1.07,55.7,109.080,4693,67.650,120599,82.3,2114.4,1880
2012.10,서울,0.99,59.7,112.553,13476,74.625,263375,82.8,2064.0,6691
2012.10,울산,1.41,60.1,112.865,2361,68.200,34120,88.5,1986.0,923
2012.10,인천,1.22,62.2,111.635,3233,65.625,82046,82.1,2095.5,2242
2012.10,전남,1.55,63.9,92.825,2802,59.775,71536,68.3,2071.8,1214
2012.10,전북,1.35,59.4,96.608,3951,60.425,63670,73.5,2051.1,1640
2012.10,제주,1.47,68.1,112.052,978,64.925,16473,79.2,2131.5,599
2012.10,충남,1.47,63.5,102.665,2698,60.825,68378,78.0,2031.0,2060
2012.10,충북,1.40,60.4,102.722,2372,62.850,51287,78.7,2065.2,1204
2012.11,강원,1.27,58.1,96.773,2328,62.333,46990,75.2,2112.2,1262
2012.11,경기,1.25,60.3,115.658,18200,71.817,329529,84.1,2095.2,13282
2012.11,경남,1.39,60.6,106.205,5704,67.517,108432,80.5,2065.6,3615
2012.11,경북,1.40,63.7,98.715,3611,64.850,87473,75.3,2043.6,2272
2012.11,광주,1.19,56.6,114.272,3146,69.967,42259,82.7,2062.4,1249
2012.11,대구,1.14,58.3,113.417,3623,72.483,69207,83.3,2145.8,1588
2012.11,대전,1.25,57.7,110.765,2160,72.817,40761,86.8,2113.0,1676
2012.11,부산,1.06,55.8,108.800,4675,67.533,120462,83.0,2125.2,1886
2012.11,서울,0.98,59.5,112.335,13452,74.750,262532,82.9,2077.2,6708
2012.11,울산,1.41,59.6,112.660,2342,67.900,34122,88.9,1996.8,926
2012.11,인천,1.21,62.2,111.400,3221,65.517,82042,82.1,2105.0,2249
2012.11,전남,1.54,64.0,92.687,2797,59.517,71685,68.2,2081.2,1216
2012.11,전북,1.34,58.5,96.482,3945,60.250,63656,73.5,2062.2,1642
2012.11,제주,1.46,68.2,111.902,978,64.750,16470,79.8,2138.6,601
2012.11,충남,1.46,62.5,102.560,2693,60.783,68558,78.8,2039.6,2068
2012.11,충북,1.39,59.2,102.508,2370,62.733,51299,79.4,2074.4,1206
2012.12,강원,1.26,54.4,96.642,2327,62.117,46977,75.5,2122.3,1263
2012.12,경기,1.24,58.8,115.419,18167,71.908,329166,84.2,2106.6,13323
2012.12,경남,1.38,58.3,106.023,5683,67.408,108327,81.2,2073.8,3621
2012.12,경북,1.39,59.8,98.597,3602,64.575,87465,76.0,2054.4,2272
2012.12,광주,1.18,56.4,114.066,3257,69.883,42171,82.9,2072.2,1250
2012.12,대구,1.13,58.3,113.023,3631,72.192,69140,84.0,2152.3,1589
2012.12,대전,1.24,57.1,110.583,2160,72.758,40681,87.4,2123.3,1678
2012.12,부산,1.06,56.0,108.520,4656,67.417,120326,83.6,2136.0,1891
2012.12,서울,0.98,59.3,112.118,13429,74.875,261690,83.1,2090.4,6725
2012.12,울산,1.40,58.4,112.455,2322,67.600,34125,89.2,2007.6,930
2012.12,인천,1.20,60.8,111.165,3210,65.408,82039,82.1,2114.5,2256
2012.12,전남,1.53,62.1,92.548,2792,59.258,71833,68.2,2090.6,1219
2012.12,전북,1.33,55.8,96.356,3939,60.075,63643,73.5,2073.3,1645
2012.12,제주,1.44,67.8,111.751,978,64.575,16467,80.3,2145.7,602
2012.12,충남,1.45,58.7,102.455,2688,60.742,68737,79.5,2048.2,2075
2012.12,충북,1.38,55.7,102.294,2367,62.617,51311,80.0,2083.6,1209
2013.01,강원,1.25,51.4,96.510,2326,61.900,46965,75.8,2132.4,1265
2013.01,경기,1.23,58.1,115.180,18134,72.000,328804,84.3,2118.0,13364
2013.01,경남,1.37,57.8,105.840,5662,67.300,108223,81.9,2082.0,3626
2013.01,경북,1.38,57.4,98.480,3594,64.300,87457,76.6,2065.2,2273
2013.01,광주,1.17,56.5,113.860,3368,69.800,42083,83.0,2082.0,1251
2013.01,대구,1.13,58.1,112.630,3639,71.900,69073,84.7,2158.8,1590
2013.01,대전,1.23,56.1,110.400,2159,72.700,40602,87.9,2133.6,1680
2013.01,부산,1.05,56.1,108.240,4638,67.300,120189,84.3,2146.8,1897
2013.01,서울,0.97,59.1,111.900,13405,75.000,260847,83.2,2103.6,6742
2013.01,울산,1.39,58.0,112.250,2303,67.300,34128,89.5,2018.4,933
2013.01,인천,1.20,59.3,110.930,3198,65.300,82035,82.1,2124.0,2263
2013.01,전남,1.52,60.6,92.410,2787,59.000,71981,68.2,2100.0,1222
2013.01,전북,1.32,54.5,96.230,3933,59.900,63630,73.5,2084.4,1647
2013.01,제주,1.43,66.2,111.600,978,64.400,16464,80.8,2152.8,604
2013.01,충남,1.44,56.7,102.350,2684,60.700,68917,80.3,2056.8,2083
2013.01,충북,1.36,53.5,102.080,2365,62.500,51323,80.7,2092.8,1212
2013.02,강원,1.25,51.6,96.309,2320,61.817,46982,75.4,2130.4,1264
2013.02,경기,1.23,57.6,114.679,18129,72.067,328893,84.3,2117.1,13355
2013.02,경남,1.37,58.4,105.634,5681,67.283,108234,82.0,2083.2,3618
2013.02,경북,1.38,58.0,98.203,3615,64.317,87386,77.5,2066.1,2268
2013.02,광주,1.17,55.6,113.377,3379,69.708,42077,83.4,2082.6,1252
2013.02,대구,1.13,57.2,112.078,3640,71.767,69037,85.3,2157.1,1590
2013.02,대전,1.24,55.4,110.059,2153,72.517,40597,87.6,2131.2,1682
2013.02,부산,1.05,55.3,107.766,4629,67.175,120241,84.3,2146.3,1902
2013.02,서울,0.97,58.7,111.515,13427,74.950,260781,83.5,2102.9,6746
2013.02,울산,1.39,58.3,111.873,2307,67.325,34121,89.8,2020.3,934
2013.02,인천,1.20,59.1,110.522,3195,65.350,82100,82.1,2125.3,2267
2013.02,전남,1.52,60.4,92.176,2792,58.958,71920,68.6,2100.8,1224
2013.02,전북,1.32,54.7,96.108,3938,59.858,63654,73.7,2084.3,1648
2013.02,제주,1.43,64.3,111.337,980,64.308,16493,81.0,2153.0,604
2013.02,충남,1.44,56.5,102.127,2688,60.733,68861,79.8,2057.5,2080
2013.02,충북,1.36,55.1,101.835,2364,62.350,51320,80.3,2093.1,1213
2013.03,강원,1.25,54.5,96.108,2314,61.733,46999,75.1,2128.4,1264
2013.03,경기,1.23,58.7,114.178,18124,72.133,328982,84.4,2116.2,13346
2013.03,경남,1.37,59.7,105.428,5699,67.267,108245,82.1,2084.4,3610
2013.03,경북,1.38,60.7,97.925,3635,64.333,87314,78.4,2067.0,2263
2013.03,광주,1.17,55.6,112.895,3390,69.617,42071,83.8,2083.2,1252
2013.03,대구,1.13,57.7,111.527,3641,71.633,69002,85.9,2155.4,1590
2013.03,대전,1.24,56.6,109.718,2147,72.333,40592,87.2,2128.8,1683
2013.03,부산,1.06,55.7,107.292,4620,67.050,120294,84.2,2145.8,1907
2013.03,서울,0.97,58.8,111.130,13449,74.900,260716,83.7,2102.2,6750
2013.03,울산,1.40,58.7,111.495,2311,67.350,34115,90.0,2022.2,935
2013.03,인천,1.20,60.9,110.113,3193,65.400,82165,82.2,2126.6,2270
2013.03,전남,1.51,61.3,91.942,2798,58.917,71860,69.0,2101.6,1225
2013.03,전북,1.32,56.7,95.987,3942,59.817,63679,73.8,2084.2,1648
2013.03,제주,1.44,64.7,111.075,982,64.217,16522,81.3,2153.2,603
2013.03,충남,1.44,61.6,101.905,2692,60.767,68805,79.2,2058.2,2078
2013.03,충북,1.36,58.1,101.590,2362,62.200,51317,79.8,2093.4,1215
2013.04,강원,1.25,57.7,95.907,2308,61.650,47016,74.7,2126.4,1263
2013.04,경기,1.23,60.1,113.678,18119,72.200,329070,84.5,2115.3,13338
2013.04,경남,1.38,60.6,105.222,5718,67.250,108256,82.2,2085.6,3603
2013.04,경북,1.39,63.0,97.648,3656,64.350,87243,79.3,2067.9,2258
2013.04,광주,1.18,57.0,112.412,3400,69.525,42066,84.3,2083.8,1253
2013.04,대구,1.14,58.0,110.975,3642,71.500,68966,86.5,2153.7,1590
2013.04,대전,1.24,57.3,109.377,2141,72.150,40586,86.9,2126.4,1684
2013.04,부산,1.06,56.6,106.817,4611,66.925,120346,84.2,2145.3,1912
2013.04,서울,0.97,59.6,110.745,13472,74.850,260650,84.0,2101.5,6753
2013.04,울산,1.40,60.0,111.118,2315,67.375,34108,90.3,2024.1,936
2013.04,인천,1.20,61.7,109.705,3190,65.450,82230,82.2,2127.9,2274
2013.04,전남,1.51,63.3,91.707,2804,58.875,71799,69.4,2102.4,1227
2013.04,전북,1.32,58.9,95.865,3947,59.775,63704,74.0,2084.1,1649
2013.04,제주,1.44,66.2,110.812,983,64.125,16552,81.5,2153.4,603
2013.04,충남,1.44,64.2,101.683,2696,60.800,68748,78.7,2058.9,2076
2013.04,충북,1.36,60.8,101.345,2361,62.050,51314,79.4,2093.7,1216
2013.05,강원,1.25,59.6,95.707,2302,61.567,47033,74.4,2124.4,1262
2013.05,경기,1.23,60.6,113.177,18114,72.267,329159,84.5,2114.4,13329
2013.05,경남,1.38,61.2,105.017,5736,67.233,108268,82.2,2086.8,3595
2013.05,경북,1.39,64.5,97.370,3677,64.367,87171,80.2,2068.8,2253
2013.05,광주,1.18,57.5,111.930,3411,69.433,42060,84.7,2084.4,1254
2013.05,대구,1.14,58.0,110.423,3643,71.367,68930,87.2,2152.0,1589
2013.05,대전,1.24,58.5,109.037,2135,71.967,40581,86.5,2124.0,1686
2013.05,부산,1.06,56.8,106.343,4602,66.800,120398,84.1,2144.8,1917
2013.05,서울,0.97,60.0,110.360,13494,74.800,260584,84.2,2100.8,6757
2013.05,울산,1.41,60.2,110.740,2319,67.400,34101,90.6,2026.0,937
2013.05,인천,1.20,61.9,109.297,3188,65.500,82295,82.3,2129.2,2278
2013.05,전남,1.51,64.0,91.473,2809,58.833,71739,69.8,2103.2,1229
2013.05,전북,1.32,61.0,95.743,3952,59.733,63728,74.2,2084.0,1649
2013.05,제주,1.45,67.6,110.550,985,64.033,16581,81.8,2153.6,602
