시점,지역별,저출산율,고용률,학생수,사설학원수,사교육참여율,수술인원,인터넷이용률,근로시간,어린이집,이동인구수,인구밀집도,주택유형별,주택규모별,ratio
2000.01,강원,1.60,,,,,,,,,,,,,
2000.01,경기,1.63,,,,,,,,,,,,,
2000.01,경남,1.59,,,,,,,,,,,,,
2000.01,경북,1.58,,,,,,,,,,,,,
2000.01,광주,1.64,,,,,,,,,,,,,
2000.01,대구,1.38,,,,,,,,,,,,,
2000.01,대전,1.50,,,,,,,,,,,,,
2000.01,부산,1.24,,,,,,,,,,,,,
2000.01,서울,1.27,,,,,,,,,,,,,
2000.01,세종,0.00,,,,,,,,,,,,,
2000.01,울산,1.63,,,,,,,,,,,,,
2000.01,인천,1.47,,,,,,,,,,,,,
2000.01,전남,1.75,,,,,,,,,,,,,
2000.01,전북,1.59,,,,,,,,,,,,,
2000.01,제주,1.78,,,,,,,,,,,,,
2000.01,충남,1.70,,,,,,,,,,,,,
2000.01,충북,1.58,,,,,,,,,,,,,
2000.02,강원,1.58,,,,,,,,,,,,,
2000.02,경기,1.61,,,,,,,,,,,,,
2000.02,경남,1.57,,,,,,,,,,,,,
2000.02,경북,1.56,,,,,,,,,,,,,
2000.02,광주,1.62,,,,,,,,,,,,,
2000.02,대구,1.36,,,,,,,,,,,,,
2000.02,대전,1.49,,,,,,,,,,,,,
2000.02,부산,1.22,,,,,,,,,,,,,
2000.02,서울,1.26,,,,,,,,,,,,,
2000.02,세종,0.00,,,,,,,,,,,,,
2000.02,울산,1.62,,,,,,,,,,,,,
2000.02,인천,1.46,,,,,,,,,,,,,
2000.02,전남,1.73,,,,,,,,,,,,,
2000.02,전북,1.58,,,,,,,,,,,,,
2000.02,제주,1.76,,,,,,,,,,,,,
2000.02,충남,1.68,,,,,,,,,,,,,
2000.02,충북,1.57,,,,,,,,,,,,,
2000.03,강원,1.57,,,,,,,,,,,,,
2000.03,경기,1.60,,,,,,,,,,,,,
2000.03,경남,1.56,,,,,,,,,,,,,
2000.03,경북,1.55,,,,,,,,,,,,,
2000.03,광주,1.60,,,,,,,,,,,,,
2000.03,대구,1.35,,,,,,,,,,,,,
2000.03,대전,1.47,,,,,,,,,,,,,
2000.03,부산,1.21,,,,,,,,,,,,,
2000.03,서울,1.25,,,,,,,,,,,,,
2000.03,세종,0.00,,,,,,,,,,,,,
2000.03,울산,1.60,,,,,,,,,,,,,
2000.03,인천,1.45,,,,,,,,,,,,,
2000.03,전남,1.72,,,,,,,,,,,,,
2000.03,전북,1.57,,,,,,,,,,,,,
2000.03,제주,1.75,,,,,,,,,,,,,
2000.03,충남,1.67,,,,,,,,,,,,,
2000.03,충북,1.56,,,,,,,,,,,,,
2000.04,강원,1.55,,,,,,,,,,,,,
2000.04,경기,1.58,,,,,,,,,,,,,
2000.04,경남,1.54,,,,,,,,,,,,,
2000.04,경북,1.53,,,,,,,,,,,,,
2000.04,광주,1.58,,,,,,,,,,,,,
2000.04,대구,1.34,,,,,,,,,,,,,
2000.04,대전,1.46,,,,,,,,,,,,,
2000.04,부산,1.20,,,,,,,,,,,,,
2000.04,서울,1.23,,,,,,,,,,,,,
2000.04,세종,0.00,,,,,,,,,,,,,
2000.04,울산,1.58,,,,,,,,,,,,,
2000.04,인천,1.44,,,,,,,,,,,,,
2000.04,전남,1.70,,,,,,,,,,,,,
2000.04,전북,1.55,,,,,,,,,,,,,
2000.04,제주,1.73,,,,,,,,,,,,,
2000.04,충남,1.66,,,,,,,,,,,,,
2000.04,충북,1.54,,,,,,,,,,,,,
2000.05,강원,1.54,,,,,,,,,,,,,
2000.05,경기,1.56,,,,,,,,,,,,,
2000.05,경남,1.53,,,,,,,,,,,,,
2000.05,경북,1.52,,,,,,,,,,,,,
2000.05,광주,1.56,,,,,,,,,,,,,
2000.05,대구,1.32,,,,,,,,,,,,,
2000.05,대전,1.44,,,,,,,,,,,,,
2000.05,부산,1.19,,,,,,,,,,,,,
2000.05,서울,1.22,,,,,,,,,,,,,
2000.05,세종,0.00,,,,,,,,,,,,,
2000.05,울산,1.56,,,,,,,,,,,,,
2000.05,인천,1.42,,,,,,,,,,,,,
2000.05,전남,1.69,,,,,,,,,,,,,
2000.05,전북,1.54,,,,,,,,,,,,,
2000.05,제주,1.71,,,,,,,,,,,,,
2000.05,충남,1.64,,,,,,,,,,,,,
2000.05,충북,1.53,,,,,,,,,,,,,
2000.06,강원,1.52,,,,,,,,,,,,,
2000.06,경기,1.55,,,,,,,,,,,,,
2000.06,경남,1.52,,,,,,,,,,,,,
2000.06,경북,1.50,,,,,,,,,,,,,
2000.06,광주,1.55,,,,,,,,,,,,,
2000.06,대구,1.31,,,,,,,,,,,,,
2000.06,대전,1.43,,,,,,,,,,,,,
2000.06,부산,1.18,,,,,,,,,,,,,
2000.06,서울,1.21,,,,,,,,,,,,,
2000.06,세종,0.00,,,,,,,,,,,,,
2000.06,울산,1.55,,,,,,,,,,,,,
2000.06,인천,1.41,,,,,,,,,,,,,
2000.06,전남,1.67,,,,,,,,,,,,,
2000.06,전북,1.52,,,,,,,,,,,,,
2000.06,제주,1.69,,,,,,,,,,,,,
2000.06,충남,1.63,,,,,,,,,,,,,
2000.06,충북,1.52,,,,,,,,,,,,,
2000.07,강원,1.51,,,,,,,,,,,,,
2000.07,경기,1.53,,,,,,,,,,,,,
2000.07,경남,1.50,,,,,,,,,,,,,
2000.07,경북,1.49,,,,,,,,,,,,,
2000.07,광주,1.53,,,,,,,,,,,,,
2000.07,대구,1.30,,,,,,,,,,,,,
2000.07,대전,1.42,,,,,,,,,,,,,
2000.07,부산,1.17,,,,,,,,,,,,,
2000.07,서울,1.19,,,,,,,,,,,,,
2000.07,세종,0.00,,,,,,,,,,,,,
2000.07,울산,1.53,,,,,,,,,,,,,
2000.07,인천,1.40,,,,,,,,,,,,,
2000.07,전남,1.66,,,,,,,,,,,,,
2000.07,전북,1.51,,,,,,,,,,,,,
2000.07,제주,1.67,,,,,,,,,,,,,
2000.07,충남,1.61,,,,,,,,,,,,,
2000.07,충북,1.50,,,,,,,,,,,,,
2000.08,강원,1.49,,,,,,,,,,,,,
2000.08,경기,1.52,,,,,,,,,,,,,
2000.08,경남,1.49,,,,,,,,,,,,,
2000.08,경북,1.48,,,,,,,,,,,,,
2000.08,광주,1.51,,,,,,,,,,,,,
2000.08,대구,1.28,,,,,,,,,,,,,
2000.08,대전,1.40,,,,,,,,,,,,,
2000.08,부산,1.16,,,,,,,,,,,,,
2000.08,서울,1.18,,,,,,,,,,,,,
2000.08,세종,0.00,,,,,,,,,,,,,
2000.08,울산,1.51,,,,,,,,,,,,,
2000.08,인천,1.39,,,,,,,,,,,,,
2000.08,전남,1.64,,,,,,,,,,,,,
2000.08,전북,1.50,,,,,,,,,,,,,
2000.08,제주,1.66,,,,,,,,,,,,,
2000.08,충남,1.60,,,,,,,,,,,,,
2000.08,충북,1.49,,,,,,,,,,,,,
2000.09,강원,1.48,,,,,,,,,,,,,
2000.09,경기,1.50,,,,,,,,,,,,,
2000.09,경남,1.47,,,,,,,,,,,,,
2000.09,경북,1.46,,,,,,,,,,,,,
2000.09,광주,1.49,,,,,,,,,,,,,
2000.09,대구,1.27,,,,,,,,,,,,,
2000.09,대전,1.39,,,,,,,,,,,,,
2000.09,부산,1.15,,,,,,,,,,,,,
2000.09,서울,1.17,,,,,,,,,,,,,
2000.09,세종,0.00,,,,,,,,,,,,,
2000.09,울산,1.49,,,,,,,,,,,,,
2000.09,인천,1.37,,,,,,,,,,,,,
2000.09,전남,1.63,,,,,,,,,,,,,
2000.09,전북,1.48,,,,,,,,,,,,,
2000.09,제주,1.64,,,,,,,,,,,,,
2000.09,충남,1.59,,,,,,,,,,,,,
2000.09,충북,1.48,,,,,,,,,,,,,
2000.10,강원,1.46,,,,,,,,,,,,,
2000.10,경기,1.48,,,,,,,,,,,,,
2000.10,경남,1.46,,,,,,,,,,,,,
2000.10,경북,1.45,,,,,,,,,,,,,
2000.10,광주,1.47,,,,,,,,,,,,,
2000.10,대구,1.26,,,,,,,,,,,,,
2000.10,대전,1.37,,,,,,,,,,,,,
2000.10,부산,1.14,,,,,,,,,,,,,
2000.10,서울,1.15,,,,,,,,,,,,,
2000.10,세종,0.00,,,,,,,,,,,,,
2000.10,울산,1.48,,,,,,,,,,,,,
2000.10,인천,1.36,,,,,,,,,,,,,
2000.10,전남,1.61,,,,,,,,,,,,,
2000.10,전북,1.47,,,,,,,,,,,,,
2000.10,제주,1.62,,,,,,,,,,,,,
2000.10,충남,1.57,,,,,,,,,,,,,
2000.10,충북,1.47,,,,,,,,,,,,,
2000.11,강원,1.44,,,,,,,,,,,,,
2000.11,경기,1.47,,,,,,,,,,,,,
2000.11,경남,1.45,,,,,,,,,,,,,
2000.11,경북,1.43,,,,,,,,,,,,,
2000.11,광주,1.46,,,,,,,,,,,,,
2000.11,대구,1.24,,,,,,,,,,,,,
2000.11,대전,1.36,,,,,,,,,,,,,
2000.11,부산,1.12,,,,,,,,,,,,,
2000.11,서울,1.14,,,,,,,,,,,,,
2000.11,세종,0.00,,,,,,,,,,,,,
2000.11,울산,1.46,,,,,,,,,,,,,
2000.11,인천,1.35,,,,,,,,,,,,,
2000.11,전남,1.60,,,,,,,,,,,,,
2000.11,전북,1.45,,,,,,,,,,,,,
2000.11,제주,1.60,,,,,,,,,,,,,
2000.11,충남,1.56,,,,,,,,,,,,,
2000.11,충북,1.45,,,,,,,,,,,,,
2000.12,강원,1.43,,,,,,,,,,,,,
2000.12,경기,1.45,,,,,,,,,,,,,
2000.12,경남,1.43,,,,,,,,,,,,,
2000.12,경북,1.42,,,,,,,,,,,,,
2000.12,광주,1.44,,,,,,,,,,,,,
2000.12,대구,1.23,,,,,,,,,,,,,
2000.12,대전,1.34,,,,,,,,,,,,,
2000.12,부산,1.11,,,,,,,,,,,,,
2000.12,서울,1.12,,,,,,,,,,,,,
2000.12,세종,0.00,,,,,,,,,,,,,
2000.12,울산,1.44,,,,,,,,,,,,,
2000.12,인천,1.34,,,,,,,,,,,,,
2000.12,전남,1.58,,,,,,,,,,,,,
2000.12,전북,1.44,,,,,,,,,,,,,
2000.12,제주,1.58,,,,,,,,,,,,,
2000.12,충남,1.55,,,,,,,,,,,,,
2000.12,충북,1.44,,,,,,,,,,,,,
2001.01,강원,1.41,,,,,,,,,,,,,
2001.01,경기,1.44,,,,,,,,,,,,,
2001.01,경남,1.42,,,,,,,,,,,,,
2001.01,경북,1.40,,,,,,,,,,,,,
2001.01,광주,1.42,,,,,,,,,,,,,
2001.01,대구,1.22,,,,,,,,,,,,,
2001.01,대전,1.33,,,,,,,,,,,,,
2001.01,부산,1.10,,,,,,,,,,,,,
2001.01,서울,1.11,,,,,,,,,,,,,
2001.01,세종,0.00,,,,,,,,,,,,,
2001.01,울산,1.42,,,,,,,,,,,,,
2001.01,인천,1.32,,,,,,,,,,,,,
2001.01,전남,1.57,,,,,,,,,,,,,
2001.01,전북,1.43,,,,,,,,,,,,,
2001.01,제주,1.56,,,,,,,,,,,,,
2001.01,충남,1.53,,,,,,,,,,,,,
2001.01,충북,1.43,,,,,,,,,,,,,
2001.02,강원,1.41,,,,,,,,,,,,,
2001.02,경기,1.43,,,,,,,,,,,,,
2001.02,경남,1.40,,,,,,,,,,,,,
2001.02,경북,1.39,,,,,,,,,,,,,
2001.02,광주,1.41,,,,,,,,,,,,,
2001.02,대구,1.20,,,,,,,,,,,,,
2001.02,대전,1.32,,,,,,,,,,,,,
2001.02,부산,1.09,,,,,,,,,,,,,
2001.02,서울,1.10,,,,,,,,,,,,,
2001.02,세종,0.00,,,,,,,,,,,,,
2001.02,울산,1.41,,,,,,,,,,,,,
2001.02,인천,1.31,,,,,,,,,,,,,
2001.02,전남,1.55,,,,,,,,,,,,,
2001.02,전북,1.41,,,,,,,,,,,,,
2001.02,제주,1.55,,,,,,,,,,,,,
2001.02,충남,1.52,,,,,,,,,,,,,
2001.02,충북,1.42,,,,,,,,,,,,,
2001.03,강원,1.40,,,,,,,,,,,,,
2001.03,경기,1.42,,,,,,,,,,,,,
2001.03,경남,1.39,,,,,,,,,,,,,
2001.03,경북,1.37,,,,,,,,,,,,,
2001.03,광주,1.39,,,,,,,,,,,,,
2001.03,대구,1.19,,,,,,,,,,,,,
2001.03,대전,1.31,,,,,,,,,,,,,
2001.03,부산,1.08,,,,,,,,,,,,,
2001.03,서울,1.09,,,,,,,,,,,,,
2001.03,세종,0.00,,,,,,,,,,,,,
2001.03,울산,1.39,,,,,,,,,,,,,
2001.03,인천,1.30,,,,,,,,,,,,,
2001.03,전남,1.54,,,,,,,,,,,,,
2001.03,전북,1.40,,,,,,,,,,,,,
2001.03,제주,1.54,,,,,,,,,,,,,
2001.03,충남,1.50,,,,,,,,,,,,,
2001.03,충북,1.40,,,,,,,,,,,,,
2001.04,강원,1.39,,,,,,,,,,,,,
2001.04,경기,1.40,,,,,,,,,,,,,
2001.04,경남,1.38,,,,,,,,,,,,,
2001.04,경북,1.36,,,,,,,,,,,,,
2001.04,광주,1.38,,,,,,,,,,,,,
2001.04,대구,1.18,,,,,,,,,,,,,
2001.04,대전,1.30,,,,,,,,,,,,,
2001.04,부산,1.07,,,,,,,,,,,,,
2001.04,서울,1.08,,,,,,,,,,,,,
2001.04,세종,0.00,,,,,,,,,,,,,
2001.04,울산,1.38,,,,,,,,,,,,,
2001.04,인천,1.29,,,,,,,,,,,,,
2001.04,전남,1.52,,,,,,,,,,,,,
2001.04,전북,1.39,,,,,,,,,,,,,
2001.04,제주,1.52,,,,,,,,,,,,,
2001.04,충남,1.49,,,,,,,,,,,,,
2001.04,충북,1.39,,,,,,,,,,,,,
2001.05,강원,1.38,,,,,,,,,,,,,
2001.05,경기,1.39,,,,,,,,,,,,,
2001.05,경남,1.37,,,,,,,,,,,,,
2001.05,경북,1.35,,,,,,,,,,,,,
2001.05,광주,1.37,,,,,,,,,,,,,
2001.05,대구,1.17,,,,,,,,,,,,,
2001.05,대전,1.29,,,,,,,,,,,,,
2001.05,부산,1.06,,,,,,,,,,,,,
2001.05,서울,1.08,,,,,,,,,,,,,
2001.05,세종,0.00,,,,,,,,,,,,,
2001.05,울산,1.36,,,,,,,,,,,,,
2001.05,인천,1.28,,,,,,,,,,,,,
2001.05,전남,1.51,,,,,,,,,,,,,
2001.05,전북,1.38,,,,,,,,,,,,,
2001.05,제주,1.51,,,,,,,,,,,,,
2001.05,충남,1.48,,,,,,,,,,,,,
2001.05,충북,1.38,,,,,,,,,,,,,
2001.06,강원,1.37,,,,,,,,,,,,,
2001.06,경기,1.38,,,,,,,,,,,,,
2001.06,경남,1.36,,,,,,,,,,,,,
2001.06,경북,1.33,,,,,,,,,,,,,
2001.06,광주,1.36,,,,,,,,,,,,,
2001.06,대구,1.16,,,,,,,,,,,,,
2001.06,대전,1.28,,,,,,,,,,,,,
2001.06,부산,1.05,,,,,,,,,,,,,
2001.06,서울,1.07,,,,,,,,,,,,,
2001.06,세종,0.00,,,,,,,,,,,,,
2001.06,울산,1.35,,,,,,,,,,,,,
2001.06,인천,1.27,,,,,,,,,,,,,
2001.06,전남,1.49,,,,,,,,,,,,,
2001.06,전북,1.36,,,,,,,,,,,,,
2001.06,제주,1.49,,,,,,,,,,,,,
2001.06,충남,1.46,,,,,,,,,,,,,
2001.06,충북,1.37,,,,,,,,,,,,,
2001.07,강원,1.36,,,,,,,,,,,,,
2001.07,경기,1.37,,,,,,,,,,,,,
2001.07,경남,1.34,,,,,,,,,,,,,
2001.07,경북,1.32,,,,,,,,,,,,,
2001.07,광주,1.34,,,,,,,,,,,,,
2001.07,대구,1.15,,,,,,,,,,,,,
2001.07,대전,1.27,,,,,,,,,,,,,
2001.07,부산,1.04,,,,,,,,,,,,,
2001.07,서울,1.06,,,,,,,,,,,,,
2001.07,세종,0.00,,,,,,,,,,,,,
2001.07,울산,1.33,,,,,,,,,,,,,
2001.07,인천,1.25,,,,,,,,,,,,,
2001.07,전남,1.48,,,,,,,,,,,,,
2001.07,전북,1.35,,,,,,,,,,,,,
2001.07,제주,1.48,,,,,,,,,,,,,
2001.07,충남,1.45,,,,,,,,,,,,,
2001.07,충북,1.36,,,,,,,,,,,,,
2001.08,강원,1.36,,,,,,,,,,,,,
2001.08,경기,1.36,,,,,,,,,,,,,
2001.08,경남,1.33,,,,,,,,,,,,,
2001.08,경북,1.30,,,,,,,,,,,,,
2001.08,광주,1.33,,,,,,,,,,,,,
2001.08,대구,1.13,,,,,,,,,,,,,
2001.08,대전,1.26,,,,,,,,,,,,,
2001.08,부산,1.03,,,,,,,,,,,,,
2001.08,서울,1.05,,,,,,,,,,,,,
2001.08,세종,0.00,,,,,,,,,,,,,
2001.08,울산,1.32,,,,,,,,,,,,,
2001.08,인천,1.24,,,,,,,,,,,,,
2001.08,전남,1.46,,,,,,,,,,,,,
2001.08,전북,1.34,,,,,,,,,,,,,
2001.08,제주,1.46,,,,,,,,,,,,,
2001.08,충남,1.43,,,,,,,,,,,,,
2001.08,충북,1.35,,,,,,,,,,,,,
2001.09,강원,1.35,,,,,,,,,,,,,
2001.09,경기,1.35,,,,,,,,,,,,,
2001.09,경남,1.32,,,,,,,,,,,,,
2001.09,경북,1.29,,,,,,,,,,,,,
2001.09,광주,1.32,,,,,,,,,,,,,
2001.09,대구,1.12,,,,,,,,,,,,,
2001.09,대전,1.25,,,,,,,,,,,,,
2001.09,부산,1.02,,,,,,,,,,,,,
2001.09,서울,1.04,,,,,,,,,,,,,
2001.09,세종,0.00,,,,,,,,,,,,,
2001.09,울산,1.30,,,,,,,,,,,,,
2001.09,인천,1.23,,,,,,,,,,,,,
2001.09,전남,1.45,,,,,,,,,,,,,
2001.09,전북,1.33,,,,,,,,,,,,,
2001.09,제주,1.45,,,,,,,,,,,,,
2001.09,충남,1.42,,,,,,,,,,,,,
2001.09,충북,1.34,,,,,,,,,,,,,
2001.10,강원,1.34,,,,,,,,,,,,,
2001.10,경기,1.34,,,,,,,,,,,,,
2001.10,경남,1.31,,,,,,,,,,,,,
2001.10,경북,1.27,,,,,,,,,,,,,
2001.10,광주,1.30,,,,,,,,,,,,,
2001.10,대구,1.11,,,,,,,,,,,,,
2001.10,대전,1.24,,,,,,,,,,,,,
2001.10,부산,1.01,,,,,,,,,,,,,
2001.10,서울,1.03,,,,,,,,,,,,,
2001.10,세종,0.00,,,,,,,,,,,,,
2001.10,울산,1.29,,,,,,,,,,,,,
2001.10,인천,1.22,,,,,,,,,,,,,
2001.10,전남,1.43,,,,,,,,,,,,,
2001.10,전북,1.31,,,,,,,,,,,,,
2001.10,제주,1.44,,,,,,,,,,,,,
2001.10,충남,1.40,,,,,,,,,,,,,
2001.10,충북,1.33,,,,,,,,,,,,,
2001.11,강원,1.33,,,,,,,,,,,,,
2001.11,경기,1.33,,,,,,,,,,,,,
2001.11,경남,1.30,,,,,,,,,,,,,
2001.11,경북,1.26,,,,,,,,,,,,,
2001.11,광주,1.29,,,,,,,,,,,,,
2001.11,대구,1.10,,,,,,,,,,,,,
2001.11,대전,1.23,,,,,,,,,,,,,
2001.11,부산,1.00,,,,,,,,,,,,,
2001.11,서울,1.02,,,,,,,,,,,,,
2001.11,세종,0.00,,,,,,,,,,,,,
2001.11,울산,1.27,,,,,,,,,,,,,
2001.11,인천,1.21,,,,,,,,,,,,,
2001.11,전남,1.42,,,,,,,,,,,,,
2001.11,전북,1.30,,,,,,,,,,,,,
2001.11,제주,1.42,,,,,,,,,,,,,
2001.11,충남,1.39,,,,,,,,,,,,,
2001.11,충북,1.32,,,,,,,,,,,,,
