지역별,시점,아파트매매가격지수,인구밀도,사교육참여율,고용률,여성초혼연령,인터넷이용률,합계출산율,근로시간
강원,2015.01,82.1,90.2,61.6,51.7,29.62,74.1,1.311,173.1
경기,2015.01,89.6,1227.9,71.7,60.8,30.04,86.3,1.272,175.2
경남,2015.01,105.3,316.4,65.7,58.3,29.76,86.4,1.437,172.2
경북,2015.01,109.4,140.8,64.2,59.2,29.55,86.6,1.464,170.6
광주,2015.01,87.7,2998.5,66.0,57.6,30.09,90.2,1.207,171.5
대구,2015.01,93.8,2790.5,69.6,58.6,30.17,91.1,1.216,175.9
대전,2015.01,96.5,2851.9,69.2,58.7,29.84,85.7,1.277,175.0
부산,2015.01,81.5,4479.0,69.2,55.9,30.53,87.7,1.139,176.6
서울,2015.01,77.9,16350.5,73.9,60.0,30.82,86.8,1.001,174.0
울산,2015.01,95.7,1099.6,68.6,57.4,29.66,95.9,1.486,168.3
인천,2015.01,86.8,2754.3,65.2,59.6,29.87,85.9,1.216,175.9
전남,2015.01,86.4,146.1,56.3,60.4,29.34,76.0,1.549,175.6
전북,2015.01,96.0,227.4,60.8,55.6,29.42,78.9,1.352,172.1
제주,2015.01,68.4,328.3,64.5,68.0,30.08,85.9,1.477,178.8
충남,2015.01,107.7,256.8,59.5,58.1,29.16,76.7,1.48,171.2
충북,2015.01,108.2,214.8,60.8,57.0,29.49,78.6,1.414,173.1
강원,2015.02,82.3,90.2,61.4,52.2,29.64,74.2,1.305,172.1
경기,2015.02,90.3,1229.4,71.5,60.8,30.05,86.6,1.266,174.3
경남,2015.02,105.8,316.5,65.2,58.5,29.78,86.8,1.43,171.3
경북,2015.02,110.4,140.8,64.0,59.4,29.57,86.6,1.458,169.9
광주,2015.02,89.6,2998.3,64.8,57.5,30.1,90.3,1.204,170.6
대구,2015.02,94.9,2790.0,68.9,58.7,30.18,91.2,1.214,174.9
대전,2015.02,96.6,2851.4,68.8,59.1,29.85,86.2,1.27,173.9
부산,2015.02,82.1,4478.0,69.8,56.1,30.54,88.1,1.135,175.8
서울,2015.02,78.5,16337.0,73.7,59.7,30.84,86.9,0.996,173.0
울산,2015.02,96.6,1099.5,68.1,57.7,29.67,95.9,1.48,167.2
인천,2015.02,87.3,2753.1,64.9,59.3,29.89,86.1,1.21,175.0
전남,2015.02,86.7,146.0,54.9,60.4,29.35,76.5,1.542,174.8
전북,2015.02,96.2,227.4,60.9,56.2,29.44,79.5,1.344,171.1
제주,2015.02,68.2,329.1,64.6,66.6,30.11,86.0,1.473,178.2
충남,2015.02,108.2,257.0,58.8,59.2,29.17,77.5,1.473,170.2
충북,2015.02,108.1,214.9,60.5,58.8,29.49,79.4,1.409,172.1
강원,2015.03,83.0,90.2,61.4,55.4,29.65,74.2,1.299,171.2
경기,2015.03,91.1,1230.9,71.5,61.2,30.07,86.8,1.259,173.4
경남,2015.03,106.5,316.5,65.3,59.2,29.79,87.2,1.424,170.4
경북,2015.03,111.2,140.8,64.0,61.6,29.58,86.6,1.453,169.2
광주,2015.03,91.6,2998.0,64.8,57.8,30.1,90.4,1.2,169.7
대구,2015.03,96.9,2789.6,69.0,58.9,30.19,91.2,1.211,174.0
대전,2015.03,96.6,2851.0,68.8,59.0,29.86,86.6,1.263,172.7
부산,2015.03,82.8,4477.1,69.8,55.9,30.55,88.6,1.132,175.0
서울,2015.03,79.4,16323.6,73.7,59.5,30.85,87.0,0.991,172.0
울산,2015.03,97.2,1099.5,68.1,58.0,29.67,96.0,1.475,166.2
인천,2015.03,88.4,2752.0,64.9,60.3,29.9,86.3,1.204,174.1
전남,2015.03,87.4,146.0,54.9,61.6,29.36,76.9,1.535,173.9
전북,2015.03,96.0,227.4,60.9,57.7,29.46,80.1,1.335,170.1
제주,2015.03,70.6,329.9,64.6,66.4,30.14,86.0,1.469,177.6
충남,2015.03,108.4,257.2,58.9,61.2,29.18,78.2,1.466,169.3
충북,2015.03,108.6,215.1,60.5,60.5,29.5,80.1,1.405,171.2
강원,2015.04,84.1,90.3,61.5,58.7,29.67,74.3,1.292,170.2
경기,2015.04,92.0,1232.4,71.5,62.0,30.08,87.0,1.252,172.6
경남,2015.04,107.1,316.6,65.3,60.5,29.8,87.6,1.417,169.4
경북,2015.04,112.3,140.8,64.1,63.1,29.6,86.6,1.447,168.4
광주,2015.04,92.8,2997.8,64.9,57.9,30.11,90.5,1.197,168.8
대구,2015.04,98.6,2789.1,69.0,59.1,30.2,91.3,1.208,173.1
대전,2015.04,96.3,2850.5,68.9,59.4,29.87,87.1,1.256,171.6
부산,2015.04,83.6,4476.2,69.9,56.3,30.56,89.0,1.128,174.1
서울,2015.04,80.2,16310.1,73.8,59.6,30.87,87.1,0.986,171.0
울산,2015.04,97.8,1099.5,68.1,58.9,29.68,96.1,1.469,165.1
인천,2015.04,89.3,2750.8,65.0,61.1,29.92,86.5,1.198,173.2
전남,2015.04,87.9,146.0,54.9,62.7,29.38,77.4,1.528,173.0
전북,2015.04,96.5,227.3,61.0,59.6,29.48,80.7,1.327,169.1
제주,2015.04,73.1,330.7,64.6,66.8,30.17,86.0,1.466,177.0
충남,2015.04,108.2,257.5,58.9,63.1,29.19,78.9,1.459,168.4
충북,2015.04,108.4,215.2,60.5,62.8,29.51,80.9,1.4,170.3
강원,2015.05,84.3,90.3,61.5,59.7,29.68,74.3,1.286,169.3
경기,2015.05,92.6,1233.9,71.6,62.1,30.1,87.2,1.246,171.7
경남,2015.05,107.7,316.6,65.3,61.3,29.82,88.0,1.411,168.5
경북,2015.05,112.5,140.8,64.1,63.9,29.62,86.6,1.441,167.7
광주,2015.05,93.9,2997.5,64.9,58.5,30.11,90.6,1.194,167.9
대구,2015.05,100.3,2788.6,69.0,60.1,30.21,91.4,1.206,172.1
대전,2015.05,96.5,2850.0,68.9,60.1,29.88,87.5,1.249,170.4
부산,2015.05,84.1,4475.3,69.9,56.4,30.57,89.5,1.124,173.3
서울,2015.05,80.8,16296.6,73.8,60.3,30.89,87.2,0.981,170.0
울산,2015.05,99.0,1099.4,68.1,59.4,29.69,96.1,1.463,164.1
인천,2015.05,90.2,2749.6,65.0,61.7,29.94,86.7,1.192,172.3
전남,2015.05,88.0,146.0,55.0,63.6,29.39,77.9,1.521,172.2
전북,2015.05,96.3,227.3,61.0,60.9,29.5,81.3,1.318,168.1
제주,2015.05,75.0,331.5,64.6,68.6,30.2,86.1,1.462,176.4
충남,2015.05,108.1,257.7,59.0,64.2,29.2,79.6,1.452,167.5
충북,2015.05,107.3,215.4,60.6,63.4,29.51,81.7,1.395,169.3
강원,2015.06,84.3,90.3,61.5,60.2,29.7,74.4,1.28,168.4
경기,2015.06,93.2,1235.4,71.6,62.2,30.12,87.4,1.239,170.8
경남,2015.06,107.9,316.6,65.4,61.2,29.83,88.4,1.404,167.6
경북,2015.06,113.0,140.9,64.1,63.4,29.64,86.6,1.436,167.0
광주,2015.06,94.2,2997.2,64.9,58.7,30.12,90.8,1.191,167.0
대구,2015.06,101.9,2788.2,69.1,60.7,30.22,91.4,1.203,171.2
대전,2015.06,96.8,2849.6,68.9,59.8,29.89,87.9,1.242,169.2
부산,2015.06,84.9,4474.4,69.9,56.4,30.58,90.0,1.121,172.5
서울,2015.06,81.4,16283.1,73.8,59.8,30.9,87.3,0.976,169.0
울산,2015.06,99.9,1099.4,68.1,59.6,29.7,96.2,1.458,163.0
인천,2015.06,90.7,2748.4,65.0,61.7,29.96,86.9,1.186,171.4
전남,2015.06,88.0,146.0,55.0,64.5,29.4,78.4,1.514,171.3
전북,2015.06,96.8,227.3,61.0,60.4,29.52,81.9,1.31,167.1
제주,2015.06,75.0,332.3,64.7,68.7,30.24,86.1,1.458,175.8
충남,2015.06,108.1,257.9,59.0,64.3,29.21,80.4,1.445,166.6
충북,2015.06,107.0,215.6,60.6,63.8,29.52,82.4,1.391,168.4
강원,2015.07,85.5,90.3,61.6,60.9,29.71,74.4,1.274,167.4
경기,2015.07,94.1,1236.9,71.6,62.4,30.13,87.7,1.233,169.9
경남,2015.07,108.5,316.7,65.4,61.5,29.84,88.8,1.398,166.7
경북,2015.07,113.9,140.9,64.1,63.4,29.66,86.6,1.43,166.3
광주,2015.07,95.0,2997.0,65.0,59.4,30.12,90.9,1.188,166.2
대구,2015.07,104.0,2787.7,69.1,60.1,30.22,91.4,1.201,170.3
대전,2015.07,97.1,2849.2,69.0,60.1,29.9,88.4,1.234,168.1
부산,2015.07,85.7,4473.4,69.9,56.6,30.58,90.4,1.117,171.7
서울,2015.07,82.5,16269.6,73.9,60.3,30.92,87.4,0.97,167.9
울산,2015.07,101.6,1099.4,68.2,60.2,29.7,96.3,1.452,162.0
인천,2015.07,91.8,2747.3,65.0,61.7,29.97,87.1,1.18,170.6
전남,2015.07,88.3,145.9,55.0,63.9,29.41,78.8,1.507,170.4
전북,2015.07,97.1,227.3,61.1,60.5,29.55,82.6,1.301,166.2
제주,2015.07,77.1,333.1,64.7,68.8,30.27,86.1,1.454,175.2
충남,2015.07,108.7,258.1,59.1,63.9,29.22,81.1,1.438,165.6
충북,2015.07,107.5,215.7,60.6,63.8,29.53,83.2,1.386,167.5
강원,2015.08,86.3,90.3,61.6,60.7,29.72,74.4,1.268,166.5
경기,2015.08,94.8,1238.4,71.6,61.8,30.15,87.9,1.227,169.0
경남,2015.08,108.8,316.7,65.4,61.1,29.86,89.2,1.391,165.8
경북,2015.08,114.4,140.9,64.2,62.9,29.68,86.6,1.424,165.6
광주,2015.08,95.6,2996.7,65.0,59.4,30.12,91.0,1.184,165.3
대구,2015.08,105.3,2787.2,69.2,59.2,30.23,91.5,1.199,169.3
대전,2015.08,97.2,2848.7,69.0,59.3,29.91,88.8,1.227,166.9
부산,2015.08,86.4,4472.5,70.0,55.9,30.59,90.9,1.113,170.9
서울,2015.08,83.2,16256.1,73.9,60.3,30.94,87.5,0.965,166.9
울산,2015.08,103.0,1099.3,68.2,59.7,29.71,96.3,1.446,161.0
인천,2015.08,92.6,2746.1,65.1,61.3,29.99,87.3,1.174,169.7
전남,2015.08,88.8,145.9,55.0,63.2,29.42,79.3,1.501,169.6
전북,2015.08,97.6,227.3,61.1,60.4,29.57,83.2,1.293,165.2
제주,2015.08,80.0,333.9,64.7,69.1,30.3,86.2,1.451,174.6
충남,2015.08,108.7,258.3,59.1,62.9,29.23,81.8,1.43,164.7
충북,2015.08,107.4,215.9,60.6,63.7,29.53,84.0,1.381,166.5
강원,2015.09,87.3,90.4,61.6,60.5,29.74,74.5,1.262,165.5
경기,2015.09,95.3,1239.9,71.6,61.9,30.16,88.1,1.22,168.2
경남,2015.09,109.2,316.8,65.5,61.7,29.87,89.6,1.384,164.8
경북,2015.09,114.2,140.9,64.2,62.9,29.7,86.6,1.419,164.8
광주,2015.09,96.5,2996.5,65.0,59.4,30.13,91.1,1.181,164.4
대구,2015.09,106.3,2786.7,69.2,59.5,30.24,91.6,1.196,168.4
대전,2015.09,97.4,2848.2,69.0,60.2,29.92,89.3,1.22,165.8
부산,2015.09,87.4,4471.6,70.0,56.4,30.6,91.3,1.11,170.0
서울,2015.09,83.8,16242.6,73.9,60.0,30.96,87.6,0.96,165.9
울산,2015.09,104.4,1099.3,68.2,59.5,29.72,96.4,1.441,159.9
인천,2015.09,93.4,2744.9,65.1,61.8,30.01,87.5,1.168,168.8
전남,2015.09,89.3,145.9,55.0,63.6,29.44,79.8,1.494,168.7
전북,2015.09,97.9,227.2,61.1,60.9,29.59,83.8,1.285,164.2
제주,2015.09,80.4,334.7,64.7,69.4,30.33,86.2,1.447,174.0
충남,2015.09,109.0,258.6,59.1,63.7,29.24,82.5,1.423,163.8
충북,2015.09,107.5,216.0,60.6,64.3,29.54,84.8,1.377,165.6
강원,2015.1,87.4,90.4,61.7,60.0,29.75,74.5,1.256,164.6
경기,2015.1,95.7,1241.4,71.7,62.0,30.18,88.3,1.214,167.3
경남,2015.1,109.5,316.8,65.5,61.7,29.88,90.0,1.378,163.9
경북,2015.1,113.8,140.9,64.2,63.8,29.71,86.6,1.413,164.1
광주,2015.1,97.4,2996.2,65.1,58.6,30.13,91.2,1.178,163.5
대구,2015.1,106.6,2786.3,69.2,59.5,30.25,91.6,1.194,167.5
대전,2015.1,97.3,2847.8,69.1,60.3,29.93,89.7,1.213,164.6
부산,2015.1,88.3,4470.7,70.0,56.6,30.61,91.8,1.106,169.2
서울,2015.1,84.4,16229.2,74.0,59.9,30.97,87.7,0.955,164.9
울산,2015.1,105.0,1099.3,68.2,59.5,29.72,96.5,1.435,158.9
인천,2015.1,94.0,2743.8,65.1,61.7,30.02,87.7,1.162,167.9
전남,2015.1,89.8,145.9,55.0,63.9,29.45,80.2,1.487,167.8
전북,2015.1,97.9,227.2,61.1,60.6,29.61,84.4,1.276,163.2
제주,2015.1,86.2,335.5,64.7,70.2,30.36,86.2,1.443,173.4
충남,2015.1,109.1,258.8,59.2,63.8,29.25,83.2,1.416,162.9
충북,2015.1,107.3,216.2,60.7,64.6,29.55,85.5,1.372,164.7
강원,2015.11,88.1,90.4,61.7,59.1,29.77,74.6,1.249,163.6
경기,2015.11,95.8,1242.9,71.7,61.7,30.19,88.6,1.207,166.4
경남,2015.11,109.5,316.9,65.6,61.3,29.9,90.4,1.371,163.0
경북,2015.11,113.4,140.9,64.2,63.5,29.73,86.6,1.407,163.4
광주,2015.11,97.3,2996.0,65.1,58.5,30.14,91.3,1.175,162.6
대구,2015.11,104.1,2785.8,69.3,59.5,30.26,91.7,1.191,166.5
대전,2015.11,97.2,2847.4,69.1,60.1,29.94,90.2,1.206,163.5
부산,2015.11,89.0,4469.7,70.0,56.7,30.62,92.2,1.102,168.4
서울,2015.11,84.7,16215.7,74.0,60.2,30.99,87.8,0.95,163.9
울산,2015.11,105.7,1099.2,68.2,59.5,29.73,96.5,1.429,157.8
인천,2015.11,93.9,2742.6,65.1,62.1,30.04,87.9,1.156,167.0
전남,2015.11,90.1,145.8,55.1,63.8,29.46,80.7,1.48,167.0
전북,2015.11,97.1,227.2,61.2,59.9,29.63,85.0,1.268,162.2
제주,2015.11,87.4,336.3,64.7,70.2,30.39,86.3,1.44,172.8
충남,2015.11,108.7,259.0,59.2,62.6,29.26,84.0,1.409,161.9
충북,2015.11,106.8,216.3,60.7,64.2,29.55,86.3,1.367,163.7
강원,2015.12,88.1,90.4,61.7,55.2,29.78,74.6,1.243,162.7
경기,2015.12,95.3,1244.4,71.7,61.2,30.21,88.8,1.2,165.5
경남,2015.12,108.6,316.9,65.6,60.6,29.91,90.8,1.365,162.1
