"시점","시도별","연령계층별",고용률 (%)
"2000","서울특별시","계",58.2
"2000","부산광역시","계",55.4
"2000","대구광역시","계",56.0
"2000","인천광역시","계",58.2
"2000","광주광역시","계",53.4
"2000","대전광역시","계",54.8
"2000","울산광역시","계",57.6
"2000","경기도","계",59.8
"2000","강원도","계",57.3
"2000","충청북도","계",57.9
"2000","충청남도","계",61.1
"2000","전라북도","계",56.5
"2000","전라남도","계",62.0
"2000","경상북도","계",63.0
"2000","경상남도","계",58.9
"2000","제주도","계",66.1
"2001","서울특별시","계",58.8
"2001","부산광역시","계",55.9
"2001","대구광역시","계",57.0
"2001","인천광역시","계",59.1
"2001","광주광역시","계",54.9
"2001","대전광역시","계",56.5
"2001","울산광역시","계",58.1
"2001","경기도","계",60.0
"2001","강원도","계",56.7
"2001","충청북도","계",57.8
"2001","충청남도","계",61.3
"2001","전라북도","계",57.4
"2001","전라남도","계",62.9
"2001","경상북도","계",63.5
"2001","경상남도","계",59.5
"2001","제주도","계",66.5
"2002","서울특별시","계",59.5
"2002","부산광역시","계",58.2
"2002","대구광역시","계",58.5
"2002","인천광역시","계",60.1
"2002","광주광역시","계",56.6
"2002","대전광역시","계",58.5
"2002","울산광역시","계",60.0
"2002","경기도","계",60.8
"2002","강원도","계",58.6
"2002","충청북도","계",58.9
"2002","충청남도","계",62.1
"2002","전라북도","계",57.2
"2002","전라남도","계",64.3
"2002","경상북도","계",63.9
"2002","경상남도","계",60.0
"2002","제주도","계",67.8
"2003","서울특별시","계",59.3
"2003","부산광역시","계",55.3
"2003","대구광역시","계",57.7
"2003","인천광역시","계",59.2
"2003","광주광역시","계",54.8
"2003","대전광역시","계",57.2
"2003","울산광역시","계",59.2
"2003","경기도","계",59.8
"2003","강원도","계",57.2
"2003","충청북도","계",57.4
"2003","충청남도","계",61.7
"2003","전라북도","계",57.5
"2003","전라남도","계",64.3
"2003","경상북도","계",63.6
"2003","경상남도","계",61.5
"2003","제주도","계",69.5
"2004","서울특별시","계",60.3
"2004","부산광역시","계",55.6
"2004","대구광역시","계",58.7
"2004","인천광역시","계",59.2
"2004","광주광역시","계",55.4
"2004","대전광역시","계",57.0
"2004","울산광역시","계",59.8
"2004","경기도","계",60.7
"2004","강원도","계",58.0
"2004","충청북도","계",58.4
"2004","충청남도","계",63.2
"2004","전라북도","계",57.4
"2004","전라남도","계",64.1
"2004","경상북도","계",63.9
"2004","경상남도","계",62.1
"2004","제주도","계",68.6
"2005","서울특별시","계",60.5
"2005","부산광역시","계",55.9
"2005","대구광역시","계",58.3
"2005","인천광역시","계",58.9
"2005","광주광역시","계",56.0
"2005","대전광역시","계",55.8
"2005","울산광역시","계",59.0
"2005","경기도","계",60.5
"2005","강원도","계",57.6
"2005","충청북도","계",58.3
"2005","충청남도","계",62.7
"2005","전라북도","계",57.5
"2005","전라남도","계",64.2
"2005","경상북도","계",63.6
"2005","경상남도","계",61.0
"2005","제주도","계",68.9
"2006","서울특별시","계",60.5
"2006","부산광역시","계",56.1
"2006","대구광역시","계",57.9
"2006","인천광역시","계",59.5
"2006","광주광역시","계",55.7
"2006","대전광역시","계",56.2
"2006","울산광역시","계",58.1
"2006","경기도","계",60.7
"2006","강원도","계",58.3
"2006","충청북도","계",58.3
"2006","충청남도","계",63.9
"2006","전라북도","계",57.8
"2006","전라남도","계",63.9
"2006","경상북도","계",63.5
"2006","경상남도","계",60.8
"2006","제주도","계",69.1
"2007","서울특별시","계",60.8
"2007","부산광역시","계",56.1
"2007","대구광역시","계",57.3
"2007","인천광역시","계",60.0
"2007","광주광역시","계",56.7
"2007","대전광역시","계",56.7
"2007","울산광역시","계",59.6
"2007","경기도","계",60.5
"2007","강원도","계",57.6
"2007","충청북도","계",58.6
"2007","충청남도","계",64.6
"2007","전라북도","계",58.7
"2007","전라남도","계",64.0
"2007","경상북도","계",62.9
"2007","경상남도","계",61.1
"2007","제주도","계",68.2
"2008","서울특별시","계",60.1
"2008","부산광역시","계",55.3
"2008","대구광역시","계",56.5
"2008","인천광역시","계",59.3
"2008","광주광역시","계",56.4
"2008","대전광역시","계",57.2
"2008","울산광역시","계",60.3
"2008","경기도","계",60.5
"2008","강원도","계",57.6
"2008","충청북도","계",59.1
"2008","충청남도","계",62.1
"2008","전라북도","계",58.4
"2008","전라남도","계",63.8
"2008","경상북도","계",62.7
"2008","경상남도","계",61.4
"2008","제주도","계",68.0
"2009","서울특별시","계",58.5
"2009","부산광역시","계",54.2
"2009","대구광역시","계",56.4
"2009","인천광역시","계",59.2
"2009","광주광역시","계",56.4
"2009","대전광역시","계",56.7
"2009","울산광역시","계",58.7
"2009","경기도","계",59.2
"2009","강원도","계",57.5
"2009","충청북도","계",59.1
"2009","충청남도","계",60.2
"2009","전라북도","계",57.8
"2009","전라남도","계",64.1
"2009","경상북도","계",62.0
"2009","경상남도","계",60.1
"2009","제주도","계",67.1
"2010","서울특별시","계",59.2
"2010","부산광역시","계",54.3
"2010","대구광역시","계",57.0
"2010","인천광역시","계",59.6
"2010","광주광역시","계",56.9
"2010","대전광역시","계",56.4
"2010","울산광역시","계",59.1
"2010","경기도","계",59.2
"2010","강원도","계",56.0
"2010","충청북도","계",59.5
"2010","충청남도","계",60.2
"2010","전라북도","계",57.0
"2010","전라남도","계",62.3
"2010","경상북도","계",62.3
"2010","경상남도","계",59.7
"2010","제주도","계",65.2
"2011","서울특별시","계",60.0
"2011","부산광역시","계",54.5
"2011","대구광역시","계",56.8
"2011","인천광역시","계",60.7
"2011","광주광역시","계",56.6
"2011","대전광역시","계",56.9
"2011","울산광역시","계",59.8
"2011","경기도","계",59.3
"2011","강원도","계",56.2
"2011","충청북도","계",59.5
"2011","충청남도","계",61.0
"2011","전라북도","계",57.6
"2011","전라남도","계",62.3
"2011","경상북도","계",61.9
"2011","경상남도","계",60.7
"2011","제주도","계",66.0
"2012","서울특별시","계",59.9
"2012","부산광역시","계",55.9
"2012","대구광역시","계",58.4
"2012","인천광역시","계",61.6
"2012","광주광역시","계",56.4
"2012","대전광역시","계",57.3
"2012","울산광역시","계",59.8
"2012","경기도","계",59.8
