"시점","지역별",데이터
"2020","서울",157.1
"2020","부산",160.1
"2020","대구",159.4
"2020","인천",164.0
"2020","광주",160.3
"2020","대전",159.2
"2020","울산",168.1
"2020","세종",165.6
"2020","경기",166.4
"2020","강원",160.1
"2020","충북",168.7
"2020","충남",168.1
"2020","전북",167.2
"2020","전남",165.7
"2020","경북",165.5
"2020","경남",168.4
"2020","제주",153.5
"2021","서울",172.9
"2021","부산",175.5
"2021","대구",177.3
"2021","인천",178.7
"2021","광주",173.2
"2021","대전",173.2
"2021","울산",179.6
"2021","세종",179.1
"2021","경기",179.3
"2021","강원",173.6
"2021","충북",179.4
"2021","충남",181.2
"2021","전북",178.1
"2021","전남",176.5
"2021","경북",178.9
"2021","경남",180.4
"2021","제주",172.8
"2022","서울",166.1
"2022","부산",168.8
"2022","대구",169.3
"2022","인천",171.5
"2022","광주",166.1
"2022","대전",164.0
"2022","울산",170.2
"2022","세종",170.8
"2022","경기",171.4
"2022","강원",166.9
"2022","충북",172.4
"2022","충남",173.0
"2022","전북",169.0
"2022","전남",169.4
"2022","경북",172.1
"2022","경남",174.6
"2022","제주",168.0
