"시점","지역별","산업분류","규모별",상용총근로시간 (시간)
"2023","서울","전체","-5인이상",160.5
"2023","부산","전체","-5인이상",160.2
"2023","대구","전체","-5인이상",163.2
"2023","인천","전체","-5인이상",164.9
"2023","광주","전체","-5인이상",161.8
"2023","대전","전체","-5인이상",158.7
"2023","울산","전체","-5인이상",167.7
"2023","세종","전체","-5인이상",166.4
"2023","경기","전체","-5인이상",163.6
"2023","강원","전체","-5인이상",160.9
"2023","충북","전체","-5인이상",166.3
"2023","충남","전체","-5인이상",167.4
"2023","전북","전체","-5인이상",162.2
"2023","전남","전체","-5인이상",163.4
"2023","경북","전체","-5인이상",166.0
"2023","경남","전체","-5인이상",169.3
"2023","제주","전체","-5인이상",160.3
"2024","서울","전체","-5인이상",166.3
"2024","부산","전체","-5인이상",167.1
"2024","대구","전체","-5인이상",169.1
"2024","인천","전체","-5인이상",170.0
"2024","광주","전체","-5인이상",167.4
"2024","대전","전체","-5인이상",165.8
"2024","울산","전체","-5인이상",173.3
"2024","세종","전체","-5인이상",172.0
"2024","경기","전체","-5인이상",168.7
"2024","강원","전체","-5인이상",164.4
"2024","충북","전체","-5인이상",172.2
"2024","충남","전체","-5인이상",174.0
"2024","전북","전체","-5인이상",167.5
"2024","전남","전체","-5인이상",166.5
"2024","경북","전체","-5인이상",170.3
"2024","경남","전체","-5인이상",175.8
"2024","제주","전체","-5인이상",165.9
