"지역별","시점","사교육참여율"
"서울","2009",79.6
"서울","2010",77.5
"서울","2011",77.0
"서울","2012",73.5
"서울","2013",75.0
"서울","2014",74.4
"서울","2015",74.3
"서울","2016",73.7
"서울","2017",77.6
"서울","2018",79.9
"서울","2019",80.0
"서울","2020",75.0
"서울","2021",81.5
"서울","2022",84.3
"서울","2023",84.8
"부산","2009",72.4
"부산","2010",72.7
"부산","2011",69.7
"부산","2012",68.7
"부산","2013",67.3
"부산","2014",65.8
"부산","2015",67.8
"부산","2016",69.8
"부산","2017",73.0
"부산","2018",70.3
"부산","2019",75.9
"부산","2020",67.1
"부산","2021",77.4
"부산","2022",78.7
"부산","2023",80.1
"대구","2009",77.5
"대구","2010",77.4
"대구","2011",74.4
"대구","2012",75.4
"대구","2013",71.9
"대구","2014",70.3
"대구","2015",71.3
"대구","2016",68.9
"대구","2017",74.0
"대구","2018",73.7
"대구","2019",75.5
"대구","2020",65.9
"대구","2021",79.1
"대구","2022",79.9
"대구","2023",80.2
"인천","2009",73.9
"인천","2010",72.1
"인천","2011",70.0
"인천","2012",66.6
"인천","2013",65.3
"인천","2014",65.9
"인천","2015",65.9
"인천","2016",64.9
"인천","2017",68.0
"인천","2018",72.6
"인천","2019",75.1
"인천","2020",66.6
"인천","2021",73.9
"인천","2022",77.9
"인천","2023",77.3
"광주","2009",75.9
"광주","2010",74.5
"광주","2011",72.7
"광주","2012",70.8
"광주","2013",69.8
"광주","2014",68.7
"광주","2015",68.8
"광주","2016",64.8
"광주","2017",68.7
"광주","2018",69.4
"광주","2019",73.7
"광주","2020",67.1
"광주","2021",73.6
"광주","2022",74.9
"광주","2023",76.3
"대전","2009",74.2
"대전","2010",75.4
"대전","2011",73.2
"대전","2012",73.4
"대전","2013",72.7
"대전","2014",70.5
"대전","2015",70.2
"대전","2016",68.8
"대전","2017",72.7
"대전","2018",73.8
"대전","2019",74.5
"대전","2020",68.2
"대전","2021",75.6
"대전","2022",77.7
"대전","2023",77.9
"울산","2009",75.4
"울산","2010",73.5
"울산","2011",72.3
"울산","2012",70.9
"울산","2013",67.3
"울산","2014",67.6
"울산","2015",69.6
"울산","2016",68.1
"울산","2017",69.4
"울산","2018",73.3
"울산","2019",73.0
"울산","2020",65.2
"울산","2021",73.7
"울산","2022",78.4
"울산","2023",78.2
"세종","2014",66.3
"세종","2015",67.7
"세종","2016",69.2
"세종","2017",74.5
"세종","2018",77.9
"세종","2019",81.3
"세종","2020",73.0
"세종","2021",81.1
"세종","2022",80.5
"세종","2023",83.9
"경기","2009",77.4
"경기","2010",76.5
"경기","2011",75.4
"경기","2012",70.9
"경기","2013",72.0
"경기","2014",72.8
"경기","2015",72.3
"경기","2016",71.5
"경기","2017",74.0
"경기","2018",76.1
"경기","2019",78.3
"경기","2020",68.4
"경기","2021",77.6
"경기","2022",82.1
"경기","2023",81.9
"강원","2009",68.1
"강원","2010",66.5
"강원","2011",61.1
"강원","2012",64.5
"강원","2013",61.9
"강원","2014",60.9
"강원","2015",62.2
"강원","2016",61.4
"강원","2017",65.5
"강원","2018",65.8
"강원","2019",65.7
"강원","2020",63.6
"강원","2021",69.7
"강원","2022",70.3
"강원","2023",72.6
"충북","2009",69.4
"충북","2010",66.9
"충북","2011",64.9
"충북","2012",63.9
"충북","2013",62.5
"충북","2014",60.7
"충북","2015",61.6
"충북","2016",60.5
"충북","2017",63.0
"충북","2018",69.4
"충북","2019",69.0
"충북","2020",61.6
"충북","2021",69.5
"충북","2022",73.1
"충북","2023",72.0
"충남","2009",68.5
"충남","2010",66.2
"충남","2011",66.7
"충남","2012",61.2
"충남","2013",60.7
"충남","2014",61.1
"충남","2015",61.2
"충남","2016",58.8
"충남","2017",64.6
"충남","2018",63.7
"충남","2019",69.4
"충남","2020",59.2
"충남","2021",67.2
"충남","2022",68.9
"충남","2023",70.2
"전북","2009",65.8
"전북","2010",65.2
"전북","2011",60.9
"전북","2012",62.0
"전북","2013",59.9
"전북","2014",59.4
"전북","2015",60.6
"전북","2016",60.9
"전북","2017",64.6
"전북","2018",65.5
"전북","2019",68.3
"전북","2020",62.8
"전북","2021",69.8
"전북","2022",70.8
"전북","2023",69.8
"전남","2009",67.7
"전남","2010",65.9
"전남","2011",62.7
"전남","2012",62.1
"전남","2013",59.0
"전남","2014",58.5
"전남","2015",59.6
"전남","2016",54.9
"전남","2017",57.0
"전남","2018",61.5
"전남","2019",60.9
"전남","2020",58.1
"전남","2021",66.5
"전남","2022",67.6
"전남","2023",67.3
"경북","2009",74.0
"경북","2010",70.0
"경북","2011",68.5
"경북","2012",67.6
"경북","2013",64.3
"경북","2014",64.5
"경북","2015",64.5
"경북","2016",64.0
"경북","2017",67.3
"경북","2018",67.7
"경북","2019",69.7
"경북","2020",60.5
"경북","2021",71.8
"경북","2022",72.8
"경북","2023",73.8
"경남","2009",75.6
"경남","2010",73.6
"경남","2011",69.4
"경남","2012",68.6
"경남","2013",67.3
"경남","2014",67.1
"경남","2015",66.9
"경남","2016",65.2
"경남","2017",70.0
"경남","2018",70.3
"경남","2019",72.0
"경남","2020",64.8
"경남","2021",72.7
"경남","2022",75.3
"경남","2023",74.9
"제주","2009",68.7
"제주","2010",70.0
"제주","2011",68.5
"제주","2012",66.5
"제주","2013",64.4
"제주","2014",63.3
"제주","2015",64.2
"제주","2016",64.6
"제주","2017",66.3
"제주","2018",68.4
"제주","2019",72.1
"제주","2020",66.9
"제주","2021",72.7
"제주","2022",73.3
"제주","2023",74.8
