"시점","행정구역별",데이터
"2003.11","서울특별시",52.5
"2003.11","부산광역시",54.7
"2003.11","대구광역시",51.7
"2003.11","인천광역시",53.9
"2003.11","광주광역시",53.6
"2003.11","대전광역시",52.9
"2003.11","울산광역시",51.0
"2003.11","경기도",52.5
"2003.11","강원특별자치도",67.2
"2003.11","충청북도",60.7
"2003.11","충청남도",71.0
"2003.11","전북특별자치도",56.9
"2003.11","전라남도",59.1
"2003.11","경상북도",67.7
"2003.11","경상남도",65.0
"2003.11","제주특별자치도",53.6
"2003.12","서울특별시",52.1
"2003.12","부산광역시",54.2
"2003.12","대구광역시",51.2
"2003.12","인천광역시",53.6
"2003.12","광주광역시",53.3
"2003.12","대전광역시",52.3
"2003.12","울산광역시",50.6
"2003.12","경기도",52.3
"2003.12","강원특별자치도",67.5
"2003.12","충청북도",60.6
"2003.12","충청남도",70.9
"2003.12","전북특별자치도",57.0
"2003.12","전라남도",59.1
"2003.12","경상북도",67.6
"2003.12","경상남도",64.7
"2003.12","제주특별자치도",53.5
"2004.01","서울특별시",51.9
"2004.01","부산광역시",54.1
"2004.01","대구광역시",51.0
"2004.01","인천광역시",53.4
"2004.01","광주광역시",53.2
"2004.01","대전광역시",52.5
"2004.01","울산광역시",50.6
"2004.01","경기도",52.1
"2004.01","강원특별자치도",67.8
"2004.01","충청북도",60.7
"2004.01","충청남도",71.0
"2004.01","전북특별자치도",57.0
"2004.01","전라남도",59.0
"2004.01","경상북도",67.3
"2004.01","경상남도",64.6
"2004.01","제주특별자치도",53.6
"2004.02","서울특별시",52.2
"2004.02","부산광역시",54.1
"2004.02","대구광역시",51.1
"2004.02","인천광역시",53.5
"2004.02","광주광역시",53.4
"2004.02","대전광역시",53.0
"2004.02","울산광역시",50.7
"2004.02","경기도",52.1
"2004.02","강원특별자치도",68.5
"2004.02","충청북도",61.0
"2004.02","충청남도",72.0
"2004.02","전북특별자치도",57.3
"2004.02","전라남도",58.9
"2004.02","경상북도",67.4
"2004.02","경상남도",64.8
"2004.02","제주특별자치도",53.5
"2004.03","서울특별시",52.5
"2004.03","부산광역시",54.2
"2004.03","대구광역시",51.3
"2004.03","인천광역시",53.6
"2004.03","광주광역시",53.5
"2004.03","대전광역시",53.3
"2004.03","울산광역시",51.1
"2004.03","경기도",52.3
"2004.03","강원특별자치도",69.1
"2004.03","충청북도",61.3
"2004.03","충청남도",72.8
"2004.03","전북특별자치도",57.8
"2004.03","전라남도",58.7
"2004.03","경상북도",67.6
"2004.03","경상남도",65.1
"2004.03","제주특별자치도",53.5
"2004.04","서울특별시",52.9
"2004.04","부산광역시",54.3
"2004.04","대구광역시",51.4
"2004.04","인천광역시",53.7
"2004.04","광주광역시",53.6
"2004.04","대전광역시",53.7
"2004.04","울산광역시",51.6
"2004.04","경기도",52.4
"2004.04","강원특별자치도",69.3
"2004.04","충청북도",61.7
"2004.04","충청남도",73.5
"2004.04","전북특별자치도",58.1
"2004.04","전라남도",58.7
"2004.04","경상북도",67.8
"2004.04","경상남도",65.5
"2004.04","제주특별자치도",53.7
"2004.05","서울특별시",53.0
"2004.05","부산광역시",54.4
"2004.05","대구광역시",51.5
"2004.05","인천광역시",53.7
"2004.05","광주광역시",53.6
"2004.05","대전광역시",54.3
"2004.05","울산광역시",52.2
"2004.05","경기도",52.3
"2004.05","강원특별자치도",69.7
"2004.05","충청북도",61.9
"2004.05","충청남도",73.5
"2004.05","전북특별자치도",58.2
"2004.05","전라남도",58.7
"2004.05","경상북도",67.8
"2004.05","경상남도",65.7
"2004.05","제주특별자치도",53.6
"2004.06","서울특별시",52.9
"2004.06","부산광역시",54.3
"2004.06","대구광역시",51.4
"2004.06","인천광역시",53.6
"2004.06","광주광역시",53.8
"2004.06","대전광역시",54.6
"2004.06","울산광역시",52.3
"2004.06","경기도",52.1
"2004.06","강원특별자치도",70.0
"2004.06","충청북도",62.4
"2004.06","충청남도",73.2
"2004.06","전북특별자치도",58.3
"2004.06","전라남도",58.6
"2004.06","경상북도",67.7
"2004.06","경상남도",65.9
"2004.06","제주특별자치도",53.6
"2004.07","서울특별시",52.7
"2004.07","부산광역시",54.0
"2004.07","대구광역시",51.5
"2004.07","인천광역시",53.7
"2004.07","광주광역시",53.9
"2004.07","대전광역시",54.8
"2004.07","울산광역시",52.4
"2004.07","경기도",51.9
"2004.07","강원특별자치도",70.3
"2004.07","충청북도",62.8
"2004.07","충청남도",73.1
"2004.07","전북특별자치도",58.5
"2004.07","전라남도",58.6
"2004.07","경상북도",67.6
"2004.07","경상남도",66.0
"2004.07","제주특별자치도",53.3
"2004.08","서울특별시",52.4
"2004.08","부산광역시",53.9
"2004.08","대구광역시",51.4
"2004.08","인천광역시",53.5
"2004.08","광주광역시",54.0
"2004.08","대전광역시",54.8
"2004.08","울산광역시",52.4
"2004.08","경기도",51.6
"2004.08","강원특별자치도",70.8
"2004.08","충청북도",63.3
"2004.08","충청남도",72.3
"2004.08","전북특별자치도",58.8
"2004.08","전라남도",58.9
"2004.08","경상북도",67.6
"2004.08","경상남도",66.0
"2004.08","제주특별자치도",53.3
"2004.09","서울특별시",52.2
"2004.09","부산광역시",53.8
"2004.09","대구광역시",51.5
"2004.09","인천광역시",53.2
"2004.09","광주광역시",54.3
"2004.09","대전광역시",54.8
"2004.09","울산광역시",52.5
"2004.09","경기도",51.3
"2004.09","강원특별자치도",71.4
"2004.09","충청북도",63.3
"2004.09","충청남도",72.4
"2004.09","전북특별자치도",58.9
"2004.09","전라남도",58.7
"2004.09","경상북도",68.0
"2004.09","경상남도",66.2
"2004.09","제주특별자치도",53.3
"2004.10","서울특별시",52.0
"2004.10","부산광역시",53.7
"2004.10","대구광역시",51.5
"2004.10","인천광역시",53.0
"2004.10","광주광역시",55.1
"2004.10","대전광역시",54.7
"2004.10","울산광역시",52.8
"2004.10","경기도",51.1
"2004.10","강원특별자치도",71.9
"2004.10","충청북도",63.7
"2004.10","충청남도",72.3
"2004.10","전북특별자치도",59.2
"2004.10","전라남도",58.6
"2004.10","경상북도",68.1
"2004.10","경상남도",66.2
"2004.10","제주특별자치도",53.3
"2004.11","서울특별시",51.8
"2004.11","부산광역시",53.5
"2004.11","대구광역시",51.5
"2004.11","인천광역시",52.6
"2004.11","광주광역시",55.3
"2004.11","대전광역시",54.0
"2004.11","울산광역시",53.0
"2004.11","경기도",50.8
"2004.11","강원특별자치도",71.9
"2004.11","충청북도",63.5
"2004.11","충청남도",71.6
"2004.11","전북특별자치도",59.5
"2004.11","전라남도",58.5
"2004.11","경상북도",68.2
"2004.11","경상남도",66.1
"2004.11","제주특별자치도",53.3
"2004.12","서울특별시",51.6
"2004.12","부산광역시",53.2
"2004.12","대구광역시",51.5
"2004.12","인천광역시",52.2
"2004.12","광주광역시",55.4
"2004.12","대전광역시",53.4
"2004.12","울산광역시",53.1
"2004.12","경기도",50.5
"2004.12","강원특별자치도",71.9
"2004.12","충청북도",63.2
"2004.12","충청남도",71.3
"2004.12","전북특별자치도",59.6
"2004.12","전라남도",58.3
"2004.12","경상북도",68.2
"2004.12","경상남도",66.0
"2004.12","제주특별자치도",53.3
"2005.01","서울특별시",51.5
"2005.01","부산광역시",53.1
"2005.01","대구광역시",51.4
"2005.01","인천광역시",52.0
"2005.01","광주광역시",55.5
"2005.01","대전광역시",53.0
"2005.01","울산광역시",53.1
"2005.01","경기도",50.2
"2005.01","강원특별자치도",72.2
"2005.01","충청북도",63.3
"2005.01","충청남도",71.7
"2005.01","전북특별자치도",59.6
"2005.01","전라남도",58.1
"2005.01","경상북도",68.2
"2005.01","경상남도",66.0
"2005.01","제주특별자치도",53.1
"2005.02","서울특별시",52.0
"2005.02","부산광역시",53.0
"2005.02","대구광역시",51.7
"2005.02","인천광역시",52.0
"2005.02","광주광역시",55.8
"2005.02","대전광역시",53.2
"2005.02","울산광역시",53.2
"2005.02","경기도",50.6
"2005.02","강원특별자치도",72.5
"2005.02","충청북도",63.8
"2005.02","충청남도",72.5
"2005.02","전북특별자치도",59.8
"2005.02","전라남도",58.2
"2005.02","경상북도",68.3
"2005.02","경상남도",66.1
"2005.02","제주특별자치도",53.1
"2005.03","서울특별시",52.2
"2005.03","부산광역시",53.0
"2005.03","대구광역시",52.0
"2005.03","인천광역시",52.2
"2005.03","광주광역시",56.2
"2005.03","대전광역시",53.9
"2005.03","울산광역시",53.4
"2005.03","경기도",51.0
"2005.03","강원특별자치도",72.7
"2005.03","충청북도",64.3
"2005.03","충청남도",73.5
"2005.03","전북특별자치도",60.0
"2005.03","전라남도",58.0
"2005.03","경상북도",68.6
"2005.03","경상남도",66.5
"2005.03","제주특별자치도",53.1
"2005.04","서울특별시",52.8
"2005.04","부산광역시",53.2
"2005.04","대구광역시",52.6
"2005.04","인천광역시",52.4
"2005.04","광주광역시",56.5
"2005.04","대전광역시",54.4
"2005.04","울산광역시",54.0
"2005.04","경기도",51.3
"2005.04","강원특별자치도",72.6
"2005.04","충청북도",64.9
"2005.04","충청남도",74.4
"2005.04","전북특별자치도",60.3
"2005.04","전라남도",58.9
"2005.04","경상북도",69.1
"2005.04","경상남도",67.0
"2005.04","제주특별자치도",53.1
"2005.05","서울특별시",53.3
"2005.05","부산광역시",53.2
"2005.05","대구광역시",53.3
"2005.05","인천광역시",52.5
"2005.05","광주광역시",56.8
"2005.05","대전광역시",54.7
"2005.05","울산광역시",54.5
"2005.05","경기도",51.8
"2005.05","강원특별자치도",73.3
"2005.05","충청북도",65.4
"2005.05","충청남도",74.6
"2005.05","전북특별자치도",60.5
"2005.05","전라남도",58.8
"2005.05","경상북도",69.7
"2005.05","경상남도",67.5
"2005.05","제주특별자치도",53.0
"2005.06","서울특별시",54.3
"2005.06","부산광역시",53.2
"2005.06","대구광역시",53.8
"2005.06","인천광역시",52.6
"2005.06","광주광역시",57.0
"2005.06","대전광역시",55.0
"2005.06","울산광역시",54.9
"2005.06","경기도",53.0
"2005.06","강원특별자치도",73.6
"2005.06","충청북도",65.8
"2005.06","충청남도",75.0
"2005.06","전북특별자치도",60.6
"2005.06","전라남도",59.0
"2005.06","경상북도",70.4
"2005.06","경상남도",67.9
"2005.06","제주특별자치도",53.2
"2005.07","서울특별시",55.2
"2005.07","부산광역시",53.2
"2005.07","대구광역시",54.4
"2005.07","인천광역시",52.6
"2005.07","광주광역시",57.2
"2005.07","대전광역시",55.2
"2005.07","울산광역시",55.3
"2005.07","경기도",53.9
"2005.07","강원특별자치도",74.0
"2005.07","충청북도",66.2
"2005.07","충청남도",75.2
"2005.07","전북특별자치도",60.9
"2005.07","전라남도",59.1
"2005.07","경상북도",70.9
"2005.07","경상남도",68.3
"2005.07","제주특별자치도",53.3
"2005.08","서울특별시",55.5
"2005.08","부산광역시",53.2
"2005.08","대구광역시",54.9
"2005.08","인천광역시",52.6
"2005.08","광주광역시",57.8
"2005.08","대전광역시",55.2
"2005.08","울산광역시",55.7
"2005.08","경기도",54.2
"2005.08","강원특별자치도",74.3
"2005.08","충청북도",66.9
"2005.08","충청남도",75.6
"2005.08","전북특별자치도",61.3
"2005.08","전라남도",59.1
"2005.08","경상북도",71.1
"2005.08","경상남도",68.5
"2005.08","제주특별자치도",53.1
"2005.09","서울특별시",55.6
"2005.09","부산광역시",53.2
"2005.09","대구광역시",55.4
"2005.09","인천광역시",52.6
"2005.09","광주광역시",58.1
"2005.09","대전광역시",55.1
"2005.09","울산광역시",56.2
"2005.09","경기도",54.2
"2005.09","강원특별자치도",75.0
"2005.09","충청북도",67.5
"2005.09","충청남도",75.7
"2005.09","전북특별자치도",61.7
"2005.09","전라남도",59.2
"2005.09","경상북도",71.3
"2005.09","경상남도",68.8
"2005.09","제주특별자치도",53.0
"2005.10","서울특별시",55.6
"2005.10","부산광역시",53.2
"2005.10","대구광역시",55.8
"2005.10","인천광역시",52.5
"2005.10","광주광역시",58.2
"2005.10","대전광역시",54.7
"2005.10","울산광역시",56.2
"2005.10","경기도",54.1
"2005.10","강원특별자치도",75.2
"2005.10","충청북도",68.3
"2005.10","충청남도",75.7
"2005.10","전북특별자치도",62.3
"2005.10","전라남도",59.2
"2005.10","경상북도",72.1
"2005.10","경상남도",68.9
"2005.10","제주특별자치도",53.0
"2005.11","서울특별시",55.7
"2005.11","부산광역시",53.1
"2005.11","대구광역시",56.0
"2005.11","인천광역시",52.4
"2005.11","광주광역시",58.4
"2005.11","대전광역시",54.4
