"시점","행정구역별",데이터
"2000","서울특별시",16342.2
"2000","부산광역시",4820.4
"2000","대구광역시",2801.0
"2000","인천광역시",2566.2
"2000","광주광역시",2697.8
"2000","대전광역시",2534.5
"2000","울산광역시",960.4
"2000","경기도",886.4
"2000","강원특별자치도",89.7
"2000","충청북도",197.3
"2000","충청남도",214.9
"2000","전라북도",234.9
"2000","전라남도",166.6
"2000","경상북도",143.2
"2000","경상남도",283.2
"2000","제주특별자치도",278.0
"2005","서울특별시",16221.0
"2005","부산광역시",4609.4
"2005","대구광역시",2786.5
"2005","인천광역시",2546.3
"2005","광주광역시",2827.5
"2005","대전광역시",2673.0
"2005","울산광역시",992.5
"2005","경기도",1028.1
"2005","강원특별자치도",88.2
"2005","충청북도",196.5
"2005","충청남도",219.7
"2005","전라북도",221.5
"2005","전라남도",150.7
"2005","경상북도",137.1
"2005","경상남도",290.5
"2005","제주특별자치도",287.8
"2010","서울특별시",16188.9
"2010","부산광역시",4452.3
"2010","대구광역시",2767.4
"2010","인천광역시",2587.5
"2010","광주광역시",2945.6
"2010","대전광역시",2781.2
"2010","울산광역시",1022.3
"2010","경기도",1119.3
"2010","강원특별자치도",88.2
"2010","충청북도",203.4
"2010","충청남도",235.0
"2010","전라북도",220.3
"2010","전라남도",142.2
"2010","경상북도",136.6
"2010","경상남도",300.0
"2010","제주특별자치도",287.7
"2015","서울특별시",16364.0
"2015","부산광역시",4479.9
"2015","대구광역시",2791.0
"2015","인천광역시",2755.5
"2015","광주광역시",2998.8
"2015","대전광역시",2852.3
"2015","울산광역시",1099.6
"2015","세종특별자치시",439.0
"2015","경기도",1226.4
"2015","강원특별자치도",90.2
"2015","충청북도",214.6
"2015","충청남도",256.6
"2015","전라북도",227.4
"2015","전라남도",146.1
"2015","경상북도",140.8
"2015","경상남도",316.4
"2015","제주특별자치도",327.5
"2016","서울특별시",16202.2
"2016","부산광역시",4468.8
"2016","대구광역시",2785.3
"2016","인천광역시",2741.4
"2016","광주광역시",2995.7
"2016","대전광역시",2846.9
"2016","울산광역시",1099.2
"2016","세종특별자치시",521.7
"2016","경기도",1244.4
"2016","강원특별자치도",90.4
"2016","충청북도",216.5
"2016","충청남도",259.2
"2016","전라북도",227.2
"2016","전라남도",145.8
"2016","경상북도",140.9
"2016","경상남도",316.9
"2016","제주특별자치도",337.1
"2017","서울특별시",16095.8
"2017","부산광역시",4437.4
"2017","대구광역시",2776.2
"2017","인천광역시",2752.3
"2017","광주광역시",2985.3
"2017","대전광역시",2828.5
"2017","울산광역시",1090.4
"2017","세종특별자치시",595.0
"2017","경기도",1261.6
"2017","강원특별자치도",90.4
"2017","충청북도",217.5
"2017","충청남도",262.9
"2017","전라북도",226.3
"2017","전라남도",145.3
"2017","경상북도",140.7
"2017","경상남도",317.4
"2017","제주특별자치도",346.9
"2018","서울특별시",15983.7
"2018","부산광역시",4409.8
"2018","대구광역시",2766.7
"2018","인천광역시",2761.4
"2018","광주광역시",2973.2
"2018","대전광역시",2801.0
"2018","울산광역시",1083.4
"2018","세종특별자치시",671.9
"2018","경기도",1286.2
"2018","강원특별자치도",90.3
"2018","충청북도",218.8
"2018","충청남도",265.1
"2018","전라북도",225.3
"2018","전라남도",145.0
"2018","경상북도",140.4
"2018","경상남도",317.9
"2018","제주특별자치도",355.8
"2019","서울특별시",15926.9
"2019","부산광역시",4379.7
"2019","대구광역시",2750.3
"2019","인천광역시",2776.6
"2019","광주광역시",2972.7
"2019","대전광역시",2777.5
"2019","울산광역시",1076.9
"2019","세종특별자치시",727.3
"2019","경기도",1305.0
"2019","강원특별자치도",90.3
"2019","충청북도",220.0
"2019","충청남도",265.4
"2019","전라북도",224.0
"2019","전라남도",144.8
"2019","경상북도",140.2
"2019","경상남도",317.6
"2019","제주특별자치도",359.4
"2020","서울특별시",15839.0
"2020","부산광역시",4348.9
"2020","대구광역시",2728.6
"2020","인천광역시",2765.1
"2020","광주광역시",2948.5
"2020","대전광역시",2758.1
"2020","울산광역시",1069.0
"2020","세종특별자치시",761.3
"2020","경기도",1325.3
"2020","강원특별자치도",90.4
"2020","충청북도",220.3
"2020","충청남도",264.0
"2020","전라북도",223.4
"2020","전라남도",144.9
"2020","경상북도",138.9
"2020","경상남도",316.2
"2020","제주특별자치도",362.6
"2021","서울특별시",15650.1
"2021","부산광역시",4316.4
"2021","대구광역시",2702.2
"2021","인천광역시",2772.8
"2021","광주광역시",2944.0
"2021","대전광역시",2742.8
"2021","울산광역시",1055.0
"2021","세종특별자치시",787.7
"2021","경기도",1338.9
"2021","강원특별자치도",90.4
"2021","충청북도",219.4
"2021","충청남도",263.8
"2021","전라북도",221.4
"2021","전라남도",143.9
"2021","경상북도",138.4
"2021","경상남도",313.6
"2021","제주특별자치도",363.8
"2022","서울특별시",15560.7
"2022","부산광역시",4272.8
"2022","대구광역시",2673.7
"2022","인천광역시",2801.3
"2022","광주광역시",2931.9
"2022","대전광역시",2730.7
"2022","울산광역시",1044.9
"2022","세종특별자치시",822.9
"2022","경기도",1344.9
"2022","강원특별자치도",90.8
"2022","충청북도",219.4
"2022","충청남도",265.9
"2022","전라북도",219.8
"2022","전라남도",143.3
"2022","경상북도",137.7
"2022","경상남도",311.2
"2022","제주특별자치도",365.6
"2023","서울특별시",15506.4
"2023","부산광역시",4252.0
"2023","대구광역시",1586.7
"2023","인천광역시",2835.7
"2023","광주광역시",2908.5
"2023","대전광역시",2724.0
"2023","울산광역시",1042.0
"2023","세종특별자치시",830.7
"2023","경기도",1354.5
"2023","강원특별자치도",90.8
"2023","충청북도",221.6
"2023","충청남도",268.7
"2023","전라북도",219.1
"2023","전라남도",143.7
"2023","경상북도",140.6
"2023","경상남도",310.3
"2023","제주특별자치도",365.8
