"시점","특성별(1)",특성별(2),특성별(3),이용,이용안함
"2008","지역별",서울,소계,80.1,19.9
"2008","지역별",부산,소계,74.2,25.8
"2008","지역별",대구,소계,74.1,25.9
"2008","지역별",인천,소계,80.7,19.3
"2008","지역별",광주,소계,79.6,20.4
"2008","지역별",대전,소계,77.3,22.7
"2008","지역별",울산,소계,83.6,16.4
"2008","지역별",경기,소계,82.0,18.0
"2008","지역별",강원,소계,70.2,29.8
"2008","지역별",충청,충북,71.1,28.9
"2008","지역별",충청,충남,67.7,32.3
"2008","지역별",전라,전북,70.7,29.3
"2008","지역별",전라,전남,66.5,33.5
"2008","지역별",경상,경북,66.4,33.6
"2008","지역별",경상,경남,72.0,28.0
"2008","지역별",제주,소계,71.2,28.8
"2009","지역별",서울,소계,80.6,19.4
"2009","지역별",부산,소계,75.0,25.0
"2009","지역별",대구,소계,74.7,25.3
"2009","지역별",인천,소계,81.3,18.7
"2009","지역별",광주,소계,80.2,19.8
"2009","지역별",대전,소계,78.8,21.2
"2009","지역별",울산,소계,84.0,16.0
"2009","지역별",경기,소계,82.6,17.4
"2009","지역별",강원,소계,70.7,29.3
"2009","지역별",충청,충북,71.4,28.6
"2009","지역별",충청,충남,68.4,31.6
"2009","지역별",전라,전북,70.9,29.1
"2009","지역별",전라,전남,66.6,33.4
"2009","지역별",경상,경북,67.3,32.7
"2009","지역별",경상,경남,72.2,27.8
"2009","지역별",제주,소계,72.2,27.8
"2010","지역별",서울,소계,80.9,19.1
"2010","지역별",부산,소계,75.8,24.2
"2010","지역별",대구,소계,75.9,24.1
"2010","지역별",인천,소계,81.7,18.3
"2010","지역별",광주,소계,81.0,19.0
"2010","지역별",대전,소계,80.4,19.6
"2010","지역별",울산,소계,85.0,15.0
"2010","지역별",경기,소계,82.9,17.1
"2010","지역별",강원,소계,71.2,28.8
"2010","지역별",충청,충북,72.1,27.9
"2010","지역별",충청,충남,69.7,30.3
"2010","지역별",전라,전북,72.2,27.8
"2010","지역별",전라,전남,67.8,32.2
"2010","지역별",경상,경북,68.4,31.6
"2010","지역별",경상,경남,72.5,27.5
"2010","지역별",제주,소계,73.6,26.4
"2011","지역별",서울,소계,81.1,18.9
"2011","지역별",부산,소계,75.9,24.1
"2011","지역별",대구,소계,76.0,24.0
"2011","지역별",인천,소계,81.8,18.2
"2011","지역별",광주,소계,81.0,19.0
"2011","지역별",대전,소계,80.9,19.1
"2011","지역별",울산,소계,85.0,15.0
"2011","지역별",경기,소계,82.9,17.1
"2011","지역별",강원,소계,71.2,28.8
"2011","지역별",충청,충북,72.1,27.9
"2011","지역별",충청,충남,69.8,30.2
"2011","지역별",전라,전북,72.7,27.3
"2011","지역별",전라,전남,67.9,32.1
"2011","지역별",경상,경북,68.5,31.5
"2011","지역별",경상,경남,72.6,27.4
"2011","지역별",제주,소계,73.9,26.1
"2012","지역별",서울,소계,81.5,18.5
"2012","지역별",부산,소계,76.3,23.7
"2012","지역별",대구,소계,76.5,23.5
"2012","지역별",인천,소계,82.2,17.8
"2012","지역별",광주,소계,81.4,18.6
"2012","지역별",대전,소계,81.4,18.6
"2012","지역별",울산,소계,85.7,14.3
"2012","지역별",경기,소계,83.1,16.9
"2012","지역별",강원,소계,72.1,27.9
"2012","지역별",충청,충북,72.7,27.3
"2012","지역별",충청,충남,71.1,28.9
"2012","지역별",전라,전북,73.7,26.3
"2012","지역별",전라,전남,68.5,31.5
"2012","지역별",경상,경북,69.0,31.0
"2012","지역별",경상,경남,73.2,26.8
"2012","지역별",제주,소계,74.5,25.5
"2013","지역별",서울,소계,83.2,16.8
"2013","지역별",부산,소계,84.3,15.7
"2013","지역별",대구,소계,84.7,15.3
"2013","지역별",인천,소계,82.1,17.9
"2013","지역별",광주,소계,83.0,17.0
"2013","지역별",대전,소계,87.9,12.1
"2013","지역별",울산,소계,89.5,10.5
"2013","지역별",경기,소계,84.3,15.7
"2013","지역별",강원,소계,75.8,24.2
"2013","지역별",충청,충북,80.7,19.3
"2013","지역별",충청,충남,80.3,19.7
"2013","지역별",전라,전북,73.5,26.5
"2013","지역별",전라,전남,68.2,31.8
"2013","지역별",경상,경북,76.6,23.4
"2013","지역별",경상,경남,81.9,18.1
"2013","지역별",제주,소계,80.8,19.2
"2014","지역별",서울,소계,86.2,13.8
"2014","지역별",부산,소계,83.8,16.2
"2014","지역별",대구,소계,92.1,7.9
"2014","지역별",인천,소계,82.6,17.4
"2014","지역별",광주,소계,88.1,11.9
"2014","지역별",대전,소계,83.8,16.2
"2014","지역별",울산,소계,92.7,7.3
"2014","지역별",경기,소계,84.9,15.1
"2014","지역별",강원,소계,71.5,28.5
"2014","지역별",충청,충북,75.4,24.6
"2014","지역별",충청,충남,74.0,26.0
"2014","지역별",충청,세종,70.9,29.1
"2014","지역별",전라,전북,75.5,24.5
"2014","지역별",전라,전남,73.0,27.0
"2014","지역별",경상,경북,87.5,12.5
"2014","지역별",경상,경남,82.9,17.1
"2014","지역별",제주,소계,83.8,16.2
"2015","지역별",서울,소계,86.7,13.3
"2015","지역별",부산,소계,87.2,12.8
"2015","지역별",대구,소계,91.1,8.9
"2015","지역별",인천,소계,85.7,14.3
"2015","지역별",광주,소계,90.1,9.9
"2015","지역별",대전,소계,85.3,14.7
"2015","지역별",울산,소계,95.8,4.2
"2015","지역별",경기,소계,86.1,13.9
"2015","지역별",강원,소계,74.1,25.9
"2015","지역별",충청,충북,77.8,22.2
"2015","지역별",충청,충남,76.0,24.0
"2015","지역별",충청,세종,81.5,18.5
"2015","지역별",전라,전북,78.3,21.7
"2015","지역별",전라,전남,75.5,24.5
"2015","지역별",경상,경북,86.6,13.4
"2015","지역별",경상,경남,86.0,14.0
"2015","지역별",제주,소계,85.9,14.1
"2016","지역별",서울,소계,87.9,12.1
"2016","지역별",부산,소계,92.7,7.3
"2016","지역별",대구,소계,91.7,8.3
"2016","지역별",인천,소계,88.1,11.9
"2016","지역별",광주,소계,91.4,8.6
"2016","지역별",대전,소계,90.6,9.4
"2016","지역별",울산,소계,96.6,3.4
"2016","지역별",경기,소계,88.8,11.2
"2016","지역별",강원,소계,74.6,25.4
"2016","지역별",충청,충북,87.1,12.9
"2016","지역별",충청,충남,84.7,15.3
"2016","지역별",충청,세종,91.0,9.0
"2016","지역별",전라,전북,85.6,14.4
"2016","지역별",전라,전남,81.2,18.8
"2016","지역별",경상,경북,86.6,13.4
"2016","지역별",경상,경남,90.8,9.2
"2016","지역별",제주,소계,86.3,13.7
"2017","지역별",서울,소계,90.5,9.5
"2017","지역별",부산,소계,93.3,6.7
"2017","지역별",대구,소계,93.6,6.4
"2017","지역별",인천,소계,89.0,11.0
"2017","지역별",광주,소계,93.9,6.1
"2017","지역별",대전,소계,91.8,8.2
"2017","지역별",울산,소계,97.0,3.0
"2017","지역별",경기,소계,90.3,9.7
"2017","지역별",강원,소계,83.1,16.9
"2017","지역별",충청,충북,87.8,12.2
"2017","지역별",충청,충남,89.0,11.0
"2017","지역별",충청,세종,92.4,7.6
"2017","지역별",전라,전북,89.4,10.6
"2017","지역별",전라,전남,83.6,16.4
"2017","지역별",경상,경북,89.0,11.0
"2017","지역별",경상,경남,91.0,9.0
"2017","지역별",제주,소계,86.7,13.3
"2018","지역별",서울,소계,91.4,8.6
"2018","지역별",부산,소계,92.8,7.2
"2018","지역별",대구,소계,94.9,5.1
"2018","지역별",인천,소계,91.5,8.5
"2018","지역별",광주,소계,94.5,5.5
"2018","지역별",대전,소계,94.1,5.9
"2018","지역별",울산,소계,95.2,4.8
"2018","지역별",경기,소계,91.7,8.3
"2018","지역별",강원,소계,83.7,16.3
"2018","지역별",충청,충북,91.1,8.9
"2018","지역별",충청,충남,92.2,7.8
"2018","지역별",충청,세종,95.5,4.5
"2018","지역별",전라,전북,90.2,9.8
"2018","지역별",전라,전남,85.3,14.7
"2018","지역별",경상,경북,92.3,7.7
"2018","지역별",경상,경남,90.7,9.3
"2018","지역별",제주,소계,88.9,11.1
"2019","지역별",서울,소계,92.2,7.8
"2019","지역별",부산,소계,92.8,7.2
"2019","지역별",대구,소계,98.2,1.8
"2019","지역별",인천,소계,93.2,6.8
"2019","지역별",광주,소계,91.5,8.5
"2019","지역별",대전,소계,94.7,5.3
"2019","지역별",울산,소계,93.7,6.3
"2019","지역별",경기,소계,91.1,8.9
"2019","지역별",강원,소계,84.9,15.1
"2019","지역별",충청,충북,95.6,4.4
"2019","지역별",충청,충남,95.8,4.2
"2019","지역별",충청,세종,97.9,2.1
"2019","지역별",전라,전북,85.1,14.9
"2019","지역별",전라,전남,84.3,15.7
"2019","지역별",경상,경북,94.4,5.6
"2019","지역별",경상,경남,88.7,11.3
"2019","지역별",제주,소계,88.8,11.2
"2020","지역별",서울,소계,92.3,7.7
"2020","지역별",부산,소계,93.0,7.0
"2020","지역별",대구,소계,96.5,3.5
"2020","지역별",인천,소계,91.4,8.6
"2020","지역별",광주,소계,92.0,8.0
"2020","지역별",대전,소계,94.1,5.9
"2020","지역별",울산,소계,95.9,4.1
"2020","지역별",경기,소계,92.3,7.7
"2020","지역별",강원,소계,80.6,19.4
"2020","지역별",충청,충북,95.0,5.0
"2020","지역별",충청,충남,92.3,7.7
"2020","지역별",충청,세종,99.1,0.9
"2020","지역별",전라,전북,87.4,12.6
"2020","지역별",전라,전남,86.0,14.0
"2020","지역별",경상,경북,93.3,6.7
"2020","지역별",경상,경남,89.5,10.5
"2020","지역별",제주,소계,89.1,10.9
"2021","지역별",서울,소계,93.2,6.8
"2021","지역별",부산,소계,96.1,3.9
"2021","지역별",대구,소계,93.5,6.5
"2021","지역별",인천,소계,93.9,6.1
"2021","지역별",광주,소계,95.2,4.8
"2021","지역별",대전,소계,92.1,7.9
"2021","지역별",울산,소계,97.9,2.1
"2021","지역별",경기,소계,94.3,5.7
"2021","지역별",강원,소계,82.0,18.0
"2021","지역별",충청,충북,91.5,8.5
"2021","지역별",충청,충남,91.1,8.9
"2021","지역별",충청,세종,89.4,10.6
"2021","지역별",전라,전북,89.7,10.3
"2021","지역별",전라,전남,86.6,13.4
"2021","지역별",경상,경북,91.4,8.6
"2021","지역별",경상,경남,94.9,5.1
"2021","지역별",제주,소계,87.8,12.2
"2022","지역별",서울,소계,92.0,8.0
"2022","지역별",부산,소계,95.5,4.5
"2022","지역별",대구,소계,95.6,4.4
"2022","지역별",인천,소계,93.6,6.4
"2022","지역별",광주,소계,98.6,1.4
"2022","지역별",대전,소계,93.8,6.2
"2022","지역별",울산,소계,97.9,2.1
"2022","지역별",경기,소계,93.0,7.0
"2022","지역별",강원,소계,83.1,16.9
"2022","지역별",충청,충북,93.5,6.5
"2022","지역별",충청,충남,92.3,7.7
"2022","지역별",충청,세종,89.7,10.3
"2022","지역별",전라,전북,92.7,7.3
"2022","지역별",전라,전남,85.7,14.3
"2022","지역별",경상,경북,93.9,6.1
"2022","지역별",경상,경남,94.0,6.0
"2022","지역별",제주,소계,96.0,4.0
"2023","지역별",서울,소계,93.2,6.8
"2023","지역별",부산,소계,94.8,5.2
"2023","지역별",대구,소계,98.4,1.6
"2023","지역별",인천,소계,93.6,6.4
"2023","지역별",광주,소계,96.7,3.3
"2023","지역별",대전,소계,96.8,3.2
"2023","지역별",울산,소계,97.2,2.8
"2023","지역별",경기,소계,93.2,6.8
"2023","지역별",강원,소계,90.9,9.1
"2023","지역별",충청,충북,95.4,4.6
"2023","지역별",충청,충남,95.2,4.8
"2023","지역별",충청,세종,95.6,4.4
"2023","지역별",전라,전북,93.6,6.4
"2023","지역별",전라,전남,90.6,9.4
"2023","지역별",경상,경북,94.9,5.1
"2023","지역별",경상,경남,94.7,5.3
"2023","지역별",제주,소계,89.9,10.1
