"시점","시도별",남편,아내
"2000","서울특별시",29.65,27.25
"2000","부산광역시",29.43,26.74
"2000","대구광역시",29.10,26.51
"2000","인천광역시",29.21,26.39
"2000","광주광역시",28.98,26.17
"2000","대전광역시",28.92,26.31
"2000","울산광역시",29.13,26.15
"2000","경기도",29.29,26.51
"2000","강원특별자치도",29.08,26.04
"2000","충청북도",28.68,25.70
"2000","충청남도",28.56,25.43
"2000","전라북도",28.81,25.72
"2000","전라남도",28.95,25.35
"2000","경상북도",28.83,25.90
"2000","경상남도",28.95,26.04
"2000","제주특별자치도",29.14,26.71
"2001","서울특별시",29.88,27.52
"2001","부산광역시",29.68,27.04
"2001","대구광역시",29.43,26.77
"2001","인천광역시",29.38,26.64
"2001","광주광역시",29.20,26.51
"2001","대전광역시",29.28,26.66
"2001","울산광역시",29.43,26.45
"2001","경기도",29.58,26.80
"2001","강원특별자치도",29.37,26.33
"2001","충청북도",28.81,25.97
"2001","충청남도",28.85,25.70
"2001","전라북도",29.14,26.02
"2001","전라남도",29.11,25.67
"2001","경상북도",29.08,26.16
"2001","경상남도",29.21,26.36
"2001","제주특별자치도",29.45,26.98
"2002","서울특별시",30.12,27.78
"2002","부산광역시",29.95,27.26
"2002","대구광역시",29.65,27.09
"2002","인천광역시",29.58,26.85
"2002","광주광역시",29.47,26.74
"2002","대전광역시",29.51,26.93
"2002","울산광역시",29.62,26.55
"2002","경기도",29.76,27.02
"2002","강원특별자치도",29.67,26.53
"2002","충청북도",29.16,26.26
"2002","충청남도",29.20,26.00
"2002","전라북도",29.41,26.27
"2002","전라남도",29.38,25.86
"2002","경상북도",29.37,26.43
"2002","경상남도",29.46,26.59
"2002","제주특별자치도",29.62,27.09
"2003","서울특별시",30.51,28.02
"2003","부산광역시",30.35,27.60
"2003","대구광역시",29.90,27.33
"2003","인천광역시",30.03,27.11
"2003","광주광역시",29.80,27.01
"2003","대전광역시",29.81,27.16
"2003","울산광역시",29.83,26.88
"2003","경기도",30.11,27.31
"2003","강원특별자치도",30.01,26.86
"2003","충청북도",29.53,26.50
"2003","충청남도",29.56,26.28
"2003","전라북도",29.79,26.54
"2003","전라남도",29.86,26.26
"2003","경상북도",29.72,26.76
"2003","경상남도",29.70,26.82
"2003","제주특별자치도",30.06,27.46
"2004","서울특별시",30.89,28.31
"2004","부산광역시",30.61,27.90
"2004","대구광역시",30.30,27.66
"2004","인천광역시",30.35,27.32
"2004","광주광역시",30.30,27.35
"2004","대전광역시",30.21,27.52
"2004","울산광역시",30.07,27.13
"2004","경기도",30.47,27.56
"2004","강원특별자치도",30.31,27.09
"2004","충청북도",29.92,26.83
"2004","충청남도",29.92,26.51
"2004","전라북도",30.40,26.87
"2004","전라남도",30.18,26.39
