"시점","시군구별",데이터
"2000","전국",1.480
"2000","서울특별시",1.275
"2000","부산광역시",1.235
"2000","대구광역시",1.378
"2000","인천광역시",1.473
"2000","광주광역시",1.636
"2000","대전광역시",1.501
"2000","울산광역시",1.633
"2000","세종특별자치시",-
"2000","경기도",1.628
"2000","강원특별자치도",1.600
"2000","충청북도",1.583
"2000","충청남도",1.698
"2000","전라북도",1.595
"2000","전라남도",1.750
"2000","경상북도",1.578
"2000","경상남도",1.586
"2000","제주특별자치도",1.783
"2001","전국",1.309
"2001","서울특별시",1.111
"2001","부산광역시",1.103
"2001","대구광역시",1.216
"2001","인천광역시",1.324
"2001","광주광역시",1.421
"2001","대전광역시",1.330
"2001","울산광역시",1.423
"2001","세종특별자치시",-
"2001","경기도",1.437
"2001","강원특별자치도",1.413
"2001","충청북도",1.426
"2001","충청남도",1.532
"2001","전라북도",1.426
"2001","전라남도",1.566
"2001","경상북도",1.402
"2001","경상남도",1.417
"2001","제주특별자치도",1.564
"2002","전국",1.178
"2002","서울특별시",1.006
"2002","부산광역시",0.975
"2002","대구광역시",1.076
"2002","인천광역시",1.185
"2002","광주광역시",1.264
"2002","대전광역시",1.207
"2002","울산광역시",1.242
"2002","세종특별자치시",-
"2002","경기도",1.305
"2002","강원특별자치도",1.317
"2002","충청북도",1.294
"2002","충청남도",1.361
"2002","전라북도",1.275
"2002","전라남도",1.391
"2002","경상북도",1.232
"2002","경상남도",1.272
"2002","제주특별자치도",1.394
"2003","전국",1.191
"2003","서울특별시",1.014
"2003","부산광역시",0.988
"2003","대구광역시",1.116
"2003","인천광역시",1.213
"2003","광주광역시",1.278
"2003","대전광역시",1.221
"2003","울산광역시",1.280
"2003","세종특별자치시",-
"2003","경기도",1.321
"2003","강원특별자치도",1.279
"2003","충청북도",1.270
"2003","충청남도",1.358
"2003","전라북도",1.274
"2003","전라남도",1.389
"2003","경상북도",1.253
"2003","경상남도",1.290
"2003","제주특별자치도",1.438
"2004","전국",1.164
"2004","서울특별시",1.015
"2004","부산광역시",0.953
"2004","대구광역시",1.087
"2004","인천광역시",1.158
"2004","광주광역시",1.203
"2004","대전광역시",1.181
"2004","울산광역시",1.241
"2004","세종특별자치시",-
"2004","경기도",1.280
"2004","강원특별자치도",1.261
"2004","충청북도",1.272
"2004","충청남도",1.357
"2004","전라북도",1.239
"2004","전라남도",1.360
"2004","경상북도",1.203
"2004","경상남도",1.266
"2004","제주특별자치도",1.365
"2005","전국",1.085
"2005","서울특별시",0.932
"2005","부산광역시",0.887
"2005","대구광역시",1.001
"2005","인천광역시",1.075
"2005","광주광역시",1.105
"2005","대전광역시",1.107
"2005","울산광역시",1.186
"2005","세종특별자치시",-
"2005","경기도",1.183
"2005","강원특별자치도",1.188
"2005","충청북도",1.195
"2005","충청남도",1.267
"2005","전라북도",1.184
"2005","전라남도",1.290
"2005","경상북도",1.173
"2005","경상남도",1.189
"2005","제주특별자치도",1.310
"2006","전국",1.132
"2006","서울특별시",0.980
"2006","부산광역시",0.915
"2006","대구광역시",1.011
"2006","인천광역시",1.116
"2006","광주광역시",1.152
"2006","대전광역시",1.158
"2006","울산광역시",1.242
"2006","세종특별자치시",-
"2006","경기도",1.239
"2006","강원특별자치도",1.202
"2006","충청북도",1.233
"2006","충청남도",1.356
"2006","전라북도",1.213
"2006","전라남도",1.337
"2006","경상북도",1.208
"2006","경상남도",1.254
"2006","제주특별자치도",1.372
"2007","전국",1.259
"2007","서울특별시",1.068
"2007","부산광역시",1.024
"2007","대구광역시",1.137
"2007","인천광역시",1.257
"2007","광주광역시",1.262
"2007","대전광역시",1.274
"2007","울산광역시",1.403
"2007","세종특별자치시",-
"2007","경기도",1.361
"2007","강원특별자치도",1.356
"2007","충청북도",1.398
"2007","충청남도",1.506
"2007","전라북도",1.380
"2007","전라남도",1.542
"2007","경상북도",1.369
"2007","경상남도",1.434
"2007","제주특별자치도",1.489
"2008","전국",1.192
"2008","서울특별시",1.010
"2008","부산광역시",0.980
"2008","대구광역시",1.072
"2008","인천광역시",1.186
"2008","광주광역시",1.198
"2008","대전광역시",1.215
"2008","울산광역시",1.338
"2008","세종특별자치시",-
"2008","경기도",1.285
"2008","강원특별자치도",1.253
"2008","충청북도",1.319
"2008","충청남도",1.444
"2008","전라북도",1.305
"2008","전라남도",1.449
"2008","경상북도",1.313
"2008","경상남도",1.368
