시점,지역,합계출산율(명),아파트매매가격지수(%),인구밀도(명/km2),사교육참여율(%),고용률(%),여성초혼연령(년),인터넷이용률(%),근로시간(시간)
2011,강원,1.338,85.758,88.6,61.1,36.3,28.86,71.2,2092.8
2011,경기,1.314,74.467,1140.72,75.4,41.8,29.35,82.9,2086.8
2011,경남,1.446,102.467,303.28,69.4,37.6,29.02,72.6,2061.6
2011,경북,1.434,83.917,137.44,68.5,37.8,28.83,68.5,2029.2
2011,광주,1.234,72.908,2956.24,72.7,37.3,29.15,81.0,2090.4
2011,대구,1.146,58.125,2772.12,74.4,38.1,29.55,76.0,2150.4
2011,대전,1.261,67.125,2795.42,73.2,37.1,29.24,80.9,2076.0
2011,부산,1.078,78.942,4457.82,69.7,34.8,29.73,75.9,2119.2
2011,서울,1.014,79.7,16223.92,77.0,45.5,30.03,81.1,2046.0
2011,울산,1.393,82.583,1037.76,72.3,39.0,29.17,85.0,1986.0
2011,인천,1.232,77.383,2621.1,70.0,42.8,29.17,81.8,2127.6
2011,전남,1.568,86.2,142.98,62.7,36.2,28.57,67.9,2094.0
2011,전북,1.405,96.375,221.72,60.9,30.4,28.7,72.7,2076.0
2011,제주,1.487,68.95,295.66,68.5,41.2,29.4,73.9,2169.6
2011,충남,1.496,82.725,239.32,66.7,43.3,28.38,69.8,2044.8
2011,충북,1.428,87.767,205.64,64.9,38.6,28.66,72.1,2046.0
2012,강원,1.374,96.942,89.0,64.5,35.6,29.18,72.1,2011.2
2012,경기,1.355,72.817,1162.14,70.9,42.1,29.59,83.1,1981.2
2012,경남,1.503,108.267,306.56,68.6,37.1,29.31,73.2,1983.6
2012,경북,1.489,92.175,138.28,67.6,38.3,29.1,69.0,1935.6
2012,광주,1.295,81.158,2966.88,70.8,35.5,29.57,81.4,1964.4
2012,대구,1.217,64.375,2776.84,75.4,37.6,29.72,76.5,2080.8
2012,대전,1.315,68.975,2809.64,73.4,36.5,29.48,81.4,2010.0
2012,부산,1.135,82.617,4463.34,68.7,38.4,29.96,76.3,2017.2
2012,서울,1.059,76.633,16258.94,73.5,43.9,30.24,81.5,1945.2
2012,울산,1.481,92.408,1053.22,70.9,37.4,29.37,85.7,1888.8
2012,인천,1.301,74.525,2654.7,66.6,42.9,29.48,82.2,2010.0
2012,전남,1.642,94.675,143.76,62.1,36.1,28.79,68.5,1987.2
2012,전북,1.440,104.533,223.14,62.0,33.0,28.93,73.7,1951.2
2012,제주,1.598,78.708,303.62,66.5,42.2,29.59,74.5,2067.6
2012,충남,1.571,90.8,243.64,61.2,43.0,28.65,71.1,1953.6
2012,충북,1.485,97.55,207.88,63.9,36.4,28.83,72.7,1982.4
2013,강원,1.249,96.592,89.4,61.9,34.3,29.3,75.8,2132.4
2013,경기,1.226,69.8,1183.56,72.0,41.3,29.72,84.3,2118.0
2013,경남,1.367,106.692,309.84,67.3,36.4,29.44,81.9,2082.0
2013,경북,1.379,99.7,139.12,64.3,36.9,29.23,76.6,2065.2
2013,광주,1.170,82.642,2977.52,69.8,33.9,29.68,83.0,2082.0
2013,대구,1.127,69.133,2781.56,71.9,35.7,29.86,84.7,2158.8
2013,대전,1.234,68.3,2823.86,72.7,36.9,29.52,87.9,2133.6
2013,부산,1.049,80.508,4468.86,67.3,37.3,30.11,84.3,2146.8
2013,서울,0.968,73.025,16293.96,75.0,42.7,30.41,83.2,2103.6
2013,울산,1.391,92.625,1068.68,67.3,37.7,29.45,89.5,2018.4
2013,인천,1.195,71.342,2688.3,65.3,41.3,29.54,82.1,2124.0
2013,전남,1.518,93.775,144.54,59.0,38.0,29.02,68.2,2100.0
2013,전북,1.320,100.483,224.56,59.9,34.9,29.21,73.5,2084.4
2013,제주,1.427,79.333,311.58,64.4,41.4,29.97,80.8,2152.8
2013,충남,1.442,95.225,247.96,60.7,42.0,28.84,80.3,2056.8
2013,충북,1.365,99.05,210.12,62.5,38.9,29.04,80.7,2092.8
2014,강원,1.248,97.333,89.8,60.9,33.3,29.4,71.5,2108.4
2014,경기,1.241,71.125,1204.98,72.8,42.4,29.89,84.9,2107.2
2014,경남,1.409,108.525,313.12,67.1,36.0,29.64,82.9,2096.4
