시점,지역,고용률(%)
2000,서울,47.2
2000,부산,39.6
2000,대구,40.2
2000,인천,44.9
2000,광주,37.9
2000,대전,39.9
2000,울산,42.5
2000,경기,47.0
2000,강원,39.5
2000,충북,41.0
2000,충남,40.6
2000,전북,37.1
2000,전남,37.2
2000,경북,42.5
2000,경남,42.2
2000,제주,48.4
2001,서울,47.3
2001,부산,40.3
2001,대구,40.8
2001,인천,46.3
2001,광주,39.7
2001,대전,40.4
2001,울산,42.3
2001,경기,47.3
2001,강원,39.1
2001,충북,40.8
2001,충남,42.8
2001,전북,37.0
2001,전남,39.6
2001,경북,44.1
2001,경남,42.7
2001,제주,48.5
2002,서울,47.5
2002,부산,44.3
2002,대구,43.6
2002,인천,46.1
2002,광주,40.5
2002,대전,43.3
2002,울산,45.8
2002,경기,48.5
2002,강원,40.7
2002,충북,41.1
2002,충남,45.3
2002,전북,36.8
2002,전남,41.5
2002,경북,44.5
2002,경남,41.6
2002,제주,49.1
2003,서울,48.2
2003,부산,40.9
2003,대구,41.4
2003,인천,45.5
2003,광주,38.3
2003,대전,42.7
2003,울산,45.1
2003,경기,46.6
2003,강원,39.5
2003,충북,39.8
2003,충남,44.5
2003,전북,38.2
2003,전남,43.1
2003,경북,44.5
2003,경남,43.0
2003,제주,52.3
2004,서울,49.3
2004,부산,41.3
2004,대구,43.3
2004,인천,46.9
2004,광주,38.1
2004,대전,41.4
2004,울산,45.6
2004,경기,47.5
2004,강원,40.9
2004,충북,40.0
2004,충남,46.7
2004,전북,37.3
2004,전남,42.1
2004,경북,44.6
2004,경남,44.5
2004,제주,49.5
2005,서울,49.9
2005,부산,41.2
2005,대구,42.6
2005,인천,45.2
2005,광주,37.9
2005,대전,40.5
2005,울산,43.3
2005,경기,47.5
2005,강원,40.7
2005,충북,41.4
2005,충남,44.7
2005,전북,35.8
2005,전남,41.2
2005,경북,45.3
2005,경남,40.6
2005,제주,51.3
2006,서울,48.4
2006,부산,41.0
2006,대구,39.5
2006,인천,44.8
2006,광주,36.2
2006,대전,41.7
2006,울산,40.0
2006,경기,45.9
2006,강원,40.3
2006,충북,39.4
2006,충남,46.8
2006,전북,33.1
2006,전남,41.6
2006,경북,43.1
2006,경남,38.6
2006,제주,51.9
2007,서울,48.7
2007,부산,40.0
2007,대구,38.5
2007,인천,44.2
2007,광주,36.4
2007,대전,40.0
2007,울산,41.6
2007,경기,44.5
2007,강원,37.3
2007,충북,36.3
2007,충남,46.2
2007,전북,34.9
2007,전남,40.3
2007,경북,42.6
2007,경남,39.3
2007,제주,49.5
2008,서울,47.1
2008,부산,39.3
2008,대구,38.2
2008,인천,43.8
2008,광주,36.4
2008,대전,38.5
2008,울산,41.9
2008,경기,42.8
2008,강원,38.5
2008,충북,35.2
2008,충남,42.3
2008,전북,33.6
2008,전남,37.9
2008,경북,41.3
2008,경남,39.0
2008,제주,47.9
2009,서울,44.9
2009,부산,37.0
2009,대구,37.8
2009,인천,43.9
2009,광주,37.0
2009,대전,37.2
2009,울산,40.3
2009,경기,41.2
2009,강원,38.4
2009,충북,37.2
2009,충남,40.3
2009,전북,30.6
2009,전남,38.5
2009,경북,39.1
2009,경남,39.8
