시점,지역,근로시간(시간)
2011,강원,2092.8
2011,경기,2086.8
2011,경남,2061.6
2011,경북,2029.2
2011,광주,2090.4
2011,대구,2150.4
2011,대전,2076.0
2011,부산,2119.2
2011,서울,2046.0
2011,울산,1986.0
2011,인천,2127.6
2011,전남,2094.0
2011,전북,2076.0
2011,제주,2169.6
2011,충남,2044.8
2011,충북,2046.0
2012,강원,2011.2
2012,경기,1981.2
2012,경남,1983.6
2012,경북,1935.6
2012,광주,1964.4
2012,대구,2080.8
2012,대전,2010.0
2012,부산,2017.2
2012,서울,1945.2
2012,울산,1888.8
2012,인천,2010.0
2012,전남,1987.2
2012,전북,1951.2
2012,제주,2067.6
2012,충남,1953.6
2012,충북,1982.4
2013,강원,2132.4
2013,경기,2118.0
2013,경남,2082.0
2013,경북,2065.2
2013,광주,2082.0
2013,대구,2158.8
2013,대전,2133.6
2013,부산,2146.8
2013,서울,2103.6
2013,울산,2018.4
2013,인천,2124.0
2013,전남,2100.0
2013,전북,2084.4
2013,제주,2152.8
2013,충남,2056.8
2013,충북,2092.8
2014,강원,2108.4
2014,경기,2107.2
2014,경남,2096.4
2014,경북,2076.0
2014,광주,2089.2
2014,대구,2138.4
2014,대전,2104.8
2014,부산,2140.8
2014,서울,2095.2
2014,울산,2041.2
2014,인천,2139.6
2014,전남,2109.6
2014,전북,2083.2
2014,제주,2155.2
2014,충남,2065.2
2014,충북,2096.4
2015,강원,2088.0
2015,경기,2113.2
2015,경남,2077.2
2015,경북,2055.6
2015,광주,2068.8
2015,대구,2121.6
2015,대전,2114.4
2015,부산,2128.8
2015,서울,2100.0
2015,울산,2031.6
2015,인천,2121.6
2015,전남,2118.0
2015,전북,2077.2
2015,제주,2152.8
2015,충남,2065.2
2015,충북,2088.0
2016,강원,1952.4
2016,경기,1986.0
2016,경남,1945.2
2016,경북,1952.4
2016,광주,1940.4
2016,대구,1987.2
2016,대전,1947.6
2016,부산,2011.2
2016,서울,1954.8
2016,울산,1881.6
2016,인천,1993.2
2016,전남,1993.2
2016,전북,1934.4
2016,제주,2066.4
2016,충남,1932.0
2016,충북,1953.6
2017,강원,1918.8
2017,경기,1948.8
2017,경남,1917.6
2017,경북,1935.6
2017,광주,1942.8
2017,대구,1958.4
2017,대전,1920.0
2017,부산,1980.0
2017,서울,1933.2
2017,울산,1852.8
2017,인천,1956.0
2017,전남,1975.2
2017,전북,1930.8
2017,제주,2032.8
2017,충남,1891.2
2017,충북,1918.8
2018,강원,1975.2
2018,경기,2001.6
2018,경남,1960.8
2018,경북,1964.4
2018,광주,1987.2
2018,대구,2001.6
2018,대전,1953.6
2018,부산,2007.6
2018,서울,1990.8
2018,울산,1912.8
2018,인천,2000.4
2018,전남,2002.8
2018,전북,1974.0
2018,제주,2056.8
2018,충남,1956.0
2018,충북,1982.4
2019,강원,2029.2
2019,경기,2077.2
2019,경남,2034.0
2019,경북,2023.2
2019,광주,2058.0
2019,대구,2071.2
2019,대전,2026.8
2019,부산,2071.2
2019,서울,2058.0
2019,울산,2014.8
2019,인천,2070.0
2019,전남,2061.6
2019,전북,2047.2
2019,제주,2059.2
2019,충남,2035.2
2019,충북,2029.2
2020,강원,151.2
2020,경기,157.2
2020,경남,153.6
2020,경북,151.2
2020,광주,153.6
2020,대구,151.2
2020,대전,153.6
2020,부산,153.6
2020,서울,151.2
2020,세종,151.2
2020,울산,152.4
2020,인천,154.8
2020,전남,157.2
2020,전북,156.0
2020,제주,148.8
2020,충남,153.6
2020,충북,154.8
2021,강원,164.4
2021,경기,170.4
2021,경남,166.8
2021,경북,164.4
2021,광주,165.6
2021,대구,166.8
2021,대전,168.0
2021,부산,168.0
2021,서울,166.8
2021,세종,165.6
2021,울산,164.4
2021,인천,169.2
2021,전남,168.0
2021,전북,166.8
2021,제주,168.0
2021,충남,166.8
2021,충북,166.8
2022,강원,158.4
2022,경기,162.0
2022,경남,159.6
2022,경북,157.2
2022,광주,158.4
2022,대구,159.6
2022,대전,158.4
2022,부산,162.0
2022,서울,160.8
2022,세종,157.2
2022,울산,154.8
2022,인천,162.0
2022,전남,160.8
2022,전북,158.4
2022,제주,162.0
2022,충남,158.4
2022,충북,158.4
2023,강원,152.4
2023,경기,154.8
2023,경남,154.8
2023,경북,153.6
2023,광주,154.8
2023,대구,153.6
2023,대전,153.6
2023,부산,154.8
2023,서울,154.8
2023,세종,153.6
2023,울산,151.2
2023,인천,156.0
2023,전남,156.0
2023,전북,151.2
2023,제주,154.8
2023,충남,153.6
2023,충북,153.6
