시점,지역,아파트매매가격지수(%)
2003,강원,67.350
2003,경기,52.400
2003,경남,64.850
2003,경북,67.650
2003,광주,53.450
2003,대구,51.450
2003,대전,52.600
2003,부산,54.450
2003,서울,52.300
2003,울산,50.800
2003,인천,53.750
2003,전남,59.100
2003,전북,56.950
2003,제주,53.550
2003,충남,70.950
2003,충북,60.650
2004,강원,70.217
2004,경기,51.708
2004,경남,65.675
2004,경북,67.775
2004,광주,54.092
2004,대구,51.383
2004,대전,53.992
2004,부산,53.958
2004,서울,52.342
2004,울산,52.058
2004,인천,53.308
2004,전남,58.683
2004,전북,58.433
2004,제주,53.442
2004,충남,72.417
2004,충북,62.400
2005,강원,73.850
2005,경기,52.708
2005,경남,67.767
2005,경북,70.483
2005,광주,57.167
2005,대구,53.975
2005,대전,54.458
2005,부산,53.142
2005,서울,54.142
2005,울산,54.892
2005,인천,52.400
2005,전남,58.867
2005,전북,61.000
2005,제주,53.092
2005,충남,74.575
2005,충북,66.167
2006,강원,76.917
2006,경기,59.242
2006,경남,69.575
2006,경북,76.817
2006,광주,59.867
2006,대구,57.392
2006,대전,54.033
2006,부산,52.858
2006,서울,61.142
2006,울산,59.825
2006,인천,53.950
2006,전남,60.058
2006,전북,65.183
2006,제주,53.192
2006,충남,75.258
2006,충북,71.542
2007,강원,75.708
2007,경기,72.542
2007,경남,70.342
2007,경북,81.550
2007,광주,60.850
2007,대구,56.492
2007,대전,52.408
2007,부산,52.842
2007,서울,72.292
2007,울산,68.925
2007,인천,63.375
2007,전남,62.808
2007,전북,68.283
2007,제주,54.558
2007,충남,74.625
2007,충북,71.517
2008,강원,74.908
2008,경기,77.333
2008,경남,72.658
2008,경북,81.875
2008,광주,62.050
2008,대구,54.967
2008,대전,52.425
2008,부산,54.825
2008,서울,79.150
2008,울산,71.250
2008,인천,76.100
2008,전남,70.225
2008,전북,72.983
2008,제주,56.117
2008,충남,75.325
2008,충북,72.908
2009,강원,75.967
2009,경기,75.683
2009,경남,74.900
2009,경북,79.283
2009,광주,62.367
2009,대구,52.625
2009,대전,53.467
2009,부산,57.200
2009,서울,79.592
2009,울산,71.583
2009,인천,79.692
2009,전남,74.158
2009,전북,76.617
2009,제주,59.050
2009,충남,76.458
2009,충북,73.650
2010,강원,77.842
2010,경기,74.825
2010,경남,81.008
2010,경북,79.383
2010,광주,63.200
2010,대구,53.517
2010,대전,58.100
2010,부산,64.208
2010,서울,80.483
2010,울산,75.025
2010,인천,78.992
2010,전남,78.442
2010,전북,84.058
2010,제주,63.392
2010,충남,77.592
2010,충북,76.625
2011,강원,85.758
2011,경기,74.467
2011,경남,102.467
2011,경북,83.917
2011,광주,72.908
2011,대구,58.125
2011,대전,67.125
2011,부산,78.942
2011,서울,79.700
2011,울산,82.583
2011,인천,77.383
2011,전남,86.200
2011,전북,96.375
2011,제주,68.950
2011,충남,82.725
2011,충북,87.767
2012,강원,96.942
2012,경기,72.817
2012,경남,108.267
2012,경북,92.175
2012,광주,81.158
2012,대구,64.375
2012,대전,68.975
2012,부산,82.617
2012,서울,76.633
2012,세종,61.700
2012,울산,92.408
2012,인천,74.525
2012,전남,94.675
2012,전북,104.533
2012,제주,78.708
2012,충남,90.800
2012,충북,97.550
2013,강원,96.592
2013,경기,69.800
2013,경남,106.692
2013,경북,99.700
2013,광주,82.642
2013,대구,69.133
2013,대전,68.300
2013,부산,80.508
2013,서울,73.025
2013,세종,65.342
2013,울산,92.625
2013,인천,71.342
2013,전남,93.775
2013,전북,100.483
2013,제주,79.333
2013,충남,95.225
2013,충북,99.050
2014,강원,97.333
2014,경기,71.125
2014,경남,108.525
2014,경북,108.800
2014,광주,83.875
2014,대구,76.650
2014,대전,68.708
2014,부산,81.233
2014,서울,73.850
2014,세종,65.975
2014,울산,94.725
2014,인천,73.458
2014,전남,91.900
2014,전북,99.800
2014,제주,79.992
2014,충남,100.008
2014,충북,101.700
2015,강원,99.300
2015,경기,74.458
2015,경남,111.408
2015,경북,113.792
2015,광주,88.475
2015,대구,83.017
2015,대전,69.042
2015,부산,83.883
2015,서울,76.925
2015,세종,64.883
2015,울산,98.400
2015,인천,76.458
2015,전남,91.217
2015,전북,99.625
2015,제주,86.725
2015,충남,102.475
2015,충북,105.475
2016,강원,101.925
2016,경기,76.767
2016,경남,111.875
2016,경북,112.567
2016,광주,91.150
2016,대구,84.450
2016,대전,68.983
2016,부산,87.133
2016,서울,80.417
2016,세종,64.758
2016,울산,101.033
2016,인천,78.592
2016,전남,92.700
2016,전북,99.742
2016,제주,97.917
2016,충남,100.700
2016,충북,105.117
2017,강원,104.517
2017,경기,77.900
2017,경남,109.317
2017,경북,107.742
2017,광주,91.542
2017,대구,83.175
2017,대전,69.583
2017,부산,90.875
2017,서울,83.708
2017,세종,66.542
2017,울산,100.025
2017,인천,79.650
2017,전남,94.383
2017,전북,100.517
2017,제주,100.183
2017,충남,97.808
2017,충북,103.392
2018,강원,103.475
2018,경기,79.258
2018,경남,102.042
2018,경북,102.400
2018,광주,93.367
2018,대구,85.108
2018,대전,70.742
2018,부산,89.675
2018,서울,90.317
2018,세종,68.283
2018,울산,94.083
2018,인천,80.275
2018,전남,96.350
2018,전북,100.200
2018,제주,98.592
2018,충남,94.108
2018,충북,99.167
2019,강원,96.725
2019,경기,78.883
2019,경남,94.142
2019,경북,95.725
2019,광주,95.067
2019,대구,86.283
2019,대전,73.683
2019,부산,86.233
2019,서울,91.867
2019,세종,67.108
2019,울산,85.858
2019,인천,80.025
2019,전남,97.258
2019,전북,97.100
2019,제주,95.592
2019,충남,90.167
2019,충북,92.375
2020,강원,94.150
2020,경기,84.767
2020,경남,93.200
2020,경북,93.125
2020,광주,95.033
2020,대구,88.183
2020,대전,85.217
2020,부산,87.158
2020,서울,95.167
2020,세종,82.867
2020,울산,88.575
2020,인천,85.267
2020,전남,97.675
2020,전북,95.800
2020,제주,92.317
2020,충남,90.742
2020,충북,92.242
2021,강원,100.667
2021,경기,100.883
2021,경남,100.767
2021,경북,100.167
2021,광주,100.825
2021,대구,98.967
2021,대전,100.125
2021,부산,100.267
2021,서울,100.633
2021,세종,99.092
2021,울산,100.667
2021,인천,100.267
2021,전남,100.367
2021,전북,101.017
2021,제주,100.292
2021,충남,100.733
2021,충북,100.850
2022,강원,105.883
2022,경기,107.017
2022,경남,105.767
2022,경북,104.008
2022,광주,105.883
2022,대구,95.975
2022,대전,102.292
2022,부산,104.392
2022,서울,102.692
2022,세종,90.342
2022,울산,102.792
2022,인천,106.817
2022,전남,100.858
2022,전북,107.067
2022,제주,109.575
2022,충남,106.100
2022,충북,106.900
2023,강원,102.708
2023,경기,92.192
2023,경남,96.408
2023,경북,98.767
2023,광주,96.875
2023,대구,81.783
2023,대전,90.208
2023,부산,92.008
2023,서울,93.508
2023,세종,75.508
2023,울산,92.000
2023,인천,91.375
2023,전남,93.958
2023,전북,101.608
2023,제주,103.817
2023,충남,99.600
2023,충북,101.025
2024,강원,103.564
2024,경기,92.282
2024,경남,94.864
2024,경북,98.691
2024,광주,95.445
2024,대구,78.800
2024,대전,89.764
2024,부산,88.927
2024,서울,95.700
2024,세종,73.300
2024,울산,91.300
2024,인천,91.918
2024,전남,92.409
2024,전북,101.273
2024,제주,101.155
2024,충남,98.391
2024,충북,101.491
