시점,지역,여성초혼연령(년)
2000,서울,27.25
2000,부산,26.74
2000,대구,26.51
2000,인천,26.39
2000,광주,26.17
2000,대전,26.31
2000,울산,26.15
2000,경기,26.51
2000,강원,26.04
2000,충북,25.7
2000,충남,25.43
2000,전북,25.72
2000,전남,25.35
2000,경북,25.9
2000,경남,26.04
2000,제주,26.71
2001,서울,27.52
2001,부산,27.04
2001,대구,26.77
2001,인천,26.64
2001,광주,26.51
2001,대전,26.66
2001,울산,26.45
2001,경기,26.8
2001,강원,26.33
2001,충북,25.97
2001,충남,25.7
2001,전북,26.02
2001,전남,25.67
2001,경북,26.16
2001,경남,26.36
2001,제주,26.98
2002,서울,27.78
2002,부산,27.26
2002,대구,27.09
2002,인천,26.85
2002,광주,26.74
2002,대전,26.93
2002,울산,26.55
2002,경기,27.02
2002,강원,26.53
2002,충북,26.26
2002,충남,26.0
2002,전북,26.27
2002,전남,25.86
2002,경북,26.43
2002,경남,26.59
2002,제주,27.09
2003,서울,28.02
2003,부산,27.6
2003,대구,27.33
2003,인천,27.11
2003,광주,27.01
2003,대전,27.16
2003,울산,26.88
2003,경기,27.31
2003,강원,26.86
2003,충북,26.5
2003,충남,26.28
2003,전북,26.54
2003,전남,26.26
2003,경북,26.76
2003,경남,26.82
2003,제주,27.46
2004,서울,28.31
2004,부산,27.9
2004,대구,27.66
2004,인천,27.32
2004,광주,27.35
2004,대전,27.52
2004,울산,27.13
2004,경기,27.56
2004,강원,27.09
2004,충북,26.83
2004,충남,26.51
2004,전북,26.87
2004,전남,26.39
2004,경북,26.98
2004,경남,27.11
2004,제주,27.71
2005,서울,28.58
2005,부산,28.14
2005,대구,27.85
2005,인천,27.65
2005,광주,27.64
2005,대전,27.68
2005,울산,27.52
2005,경기,27.84
2005,강원,27.41
2005,충북,27.1
2005,충남,26.83
2005,전북,27.19
2005,전남,26.91
2005,경북,27.27
2005,경남,27.37
2005,제주,28.04
2006,서울,28.76
2006,부산,28.4
2006,대구,28.13
2006,인천,27.75
2006,광주,27.88
2006,대전,27.85
2006,울산,27.63
2006,경기,28.0
2006,강원,27.64
2006,충북,27.35
2006,충남,27.08
2006,전북,27.34
2006,전남,27.24
2006,경북,27.43
2006,경남,27.61
2006,제주,28.31
2007,서울,28.99
2007,부산,28.64
2007,대구,28.38
2007,인천,28.01
2007,광주,28.07
2007,대전,28.1
2007,울산,27.9
2007,경기,28.25
2007,강원,27.93
2007,충북,27.62
2007,충남,27.31
