시점,지역,합계출산율(명)
2000,서울,1.275
2000,부산,1.235
2000,대구,1.378
2000,인천,1.473
2000,광주,1.636
2000,대전,1.501
2000,울산,1.633
2000,세종,-
2000,경기,1.628
2000,강원,1.600
2000,충북,1.583
2000,충남,1.698
2000,전북,1.595
2000,전남,1.750
2000,경북,1.578
2000,경남,1.586
2000,제주,1.783
2001,서울,1.111
2001,부산,1.103
2001,대구,1.216
2001,인천,1.324
2001,광주,1.421
2001,대전,1.330
2001,울산,1.423
2001,세종,-
2001,경기,1.437
2001,강원,1.413
2001,충북,1.426
2001,충남,1.532
2001,전북,1.426
2001,전남,1.566
2001,경북,1.402
2001,경남,1.417
2001,제주,1.564
2002,서울,1.006
2002,부산,0.975
2002,대구,1.076
2002,인천,1.185
2002,광주,1.264
2002,대전,1.207
2002,울산,1.242
2002,세종,-
2002,경기,1.305
2002,강원,1.317
2002,충북,1.294
2002,충남,1.361
2002,전북,1.275
2002,전남,1.391
2002,경북,1.232
2002,경남,1.272
2002,제주,1.394
2003,서울,1.014
2003,부산,0.988
2003,대구,1.116
2003,인천,1.213
2003,광주,1.278
2003,대전,1.221
2003,울산,1.280
2003,세종,-
2003,경기,1.321
2003,강원,1.279
2003,충북,1.270
2003,충남,1.358
2003,전북,1.274
2003,전남,1.389
2003,경북,1.253
2003,경남,1.290
2003,제주,1.438
2004,서울,1.015
2004,부산,0.953
2004,대구,1.087
2004,인천,1.158
2004,광주,1.203
2004,대전,1.181
2004,울산,1.241
2004,세종,-
2004,경기,1.280
2004,강원,1.261
2004,충북,1.272
2004,충남,1.357
2004,전북,1.239
2004,전남,1.360
2004,경북,1.203
2004,경남,1.266
2004,제주,1.365
2005,서울,0.932
2005,부산,0.887
2005,대구,1.001
2005,인천,1.075
2005,광주,1.105
2005,대전,1.107
2005,울산,1.186
2005,세종,-
2005,경기,1.183
2005,강원,1.188
2005,충북,1.195
2005,충남,1.267
2005,전북,1.184
2005,전남,1.290
2005,경북,1.173
2005,경남,1.189
2005,제주,1.310
2006,서울,0.980
2006,부산,0.915
2006,대구,1.011
2006,인천,1.116
2006,광주,1.152
2006,대전,1.158
2006,울산,1.242
2006,세종,-
2006,경기,1.239
2006,강원,1.202
2006,충북,1.233
2006,충남,1.356
2006,전북,1.213
2006,전남,1.337
2006,경북,1.208
2006,경남,1.254
2006,제주,1.372
2007,서울,1.068
2007,부산,1.024
2007,대구,1.137
2007,인천,1.257
2007,광주,1.262
2007,대전,1.274
2007,울산,1.403
2007,세종,-
2007,경기,1.361
2007,강원,1.356
2007,충북,1.398
2007,충남,1.506
2007,전북,1.380
2007,전남,1.542
2007,경북,1.369
2007,경남,1.434
2007,제주,1.489
2008,서울,1.010
2008,부산,0.980
2008,대구,1.072
2008,인천,1.186
2008,광주,1.198
2008,대전,1.215
2008,울산,1.338
2008,세종,-
2008,경기,1.285
2008,강원,1.253
2008,충북,1.319
2008,충남,1.444
2008,전북,1.305
2008,전남,1.449
2008,경북,1.313
2008,경남,1.368
2008,제주,1.386
2009,서울,0.962
2009,부산,0.940
2009,대구,1.029
2009,인천,1.143
2009,광주,1.137
2009,대전,1.156
2009,울산,1.308
2009,세종,-
2009,경기,1.226
2009,강원,1.248
2009,충북,1.317
2009,충남,1.408
2009,전북,1.279
2009,전남,1.445
2009,경북,1.274
2009,경남,1.323
2009,제주,1.378
2010,서울,1.015
2010,부산,1.045
2010,대구,1.109
2010,인천,1.214
2010,광주,1.223
2010,대전,1.205
