"시점","시도별",계,남자,여자
"2000","서울특별시",61.4,74.6,48.8
"2000","부산광역시",59.6,72.9,47.4
"2000","대구광역시",58.9,71.3,47.4
"2000","인천광역시",61.5,77.1,46.5
"2000","광주광역시",57.1,69.4,45.8
"2000","대전광역시",57.6,70.0,45.7
"2000","울산광역시",60.1,79.4,41.1
"2000","경기도",62.2,77.5,47.5
"2000","강원특별자치도",58.8,70.2,48.2
"2000","충청북도",60.1,72.0,48.9
"2000","충청남도",62.8,74.2,52.2
"2000","전북특별자치도",58.4,70.1,47.7
"2000","전라남도",64.1,74.7,54.4
"2000","경상북도",65.2,76.4,54.9
"2000","경상남도",61.0,73.9,49.2
"2000","제주도",68.0,75.8,60.8
"2001","서울특별시",61.7,74.5,49.6
"2001","부산광역시",59.3,72.0,47.5
"2001","대구광역시",59.9,71.8,48.8
"2001","인천광역시",62.0,77.0,47.6
"2001","광주광역시",57.8,69.2,47.4
"2001","대전광역시",59.1,71.5,47.4
"2001","울산광역시",60.1,78.5,41.9
"2001","경기도",62.2,77.3,47.7
"2001","강원특별자치도",58.0,70.4,46.5
"2001","충청북도",59.9,72.2,48.3
"2001","충청남도",63.1,73.9,52.9
"2001","전북특별자치도",59.3,71.0,48.6
"2001","전라남도",64.8,74.3,56.3
"2001","경상북도",65.2,76.2,55.2
"2001","경상남도",61.6,74.2,49.9
"2001","제주도",68.2,75.6,61.5
"2002","서울특별시",62.2,75.3,49.8
"2002","부산광역시",60.5,73.0,49.1
"2002","대구광역시",61.1,73.2,49.9
"2002","인천광역시",62.6,77.3,48.5
"2002","광주광역시",58.9,69.4,49.2
"2002","대전광역시",60.8,72.4,49.9
"2002","울산광역시",61.5,78.8,44.3
"2002","경기도",62.5,77.8,47.7
"2002","강원특별자치도",59.7,71.0,49.1
"2002","충청북도",60.4,72.4,49.2
"2002","충청남도",63.8,75.1,53.2
"2002","전북특별자치도",58.6,70.6,47.8
"2002","전라남도",65.8,75.0,57.5
"2002","경상북도",65.3,76.2,55.2
"2002","경상남도",61.5,75.4,48.6
"2002","제주도",69.4,75.7,63.6
"2003","서울특별시",62.1,74.8,50.2
"2003","부산광역시",57.6,70.8,45.5
