"시점","행정구역(시도)별(1)",계,계,계
"시점","행정구역(시도)별(1)",소계,부,모
"2015","서울특별시",32036,1707,30329
"2015","부산광역시",7931,412,7519
"2015","대구광역시",5844,331,5513
"2015","인천광역시",7325,441,6884
"2015","광주광역시",4157,211,3946
"2015","대전광역시",4528,238,4290
"2015","울산광역시",2611,136,2475
"2015","세종특별자치시",1195,109,1086
"2015","경기도",36653,2240,34413
"2015","강원특별자치도",2937,235,2702
"2015","충청북도",3713,229,3484
"2015","충청남도",4735,316,4419
"2015","전라북도",3593,243,3350
"2015","전라남도",3084,196,2888
"2015","경상북도",5352,310,5042
"2015","경상남도",7075,360,6715
"2015","제주특별자치도",1896,186,1710
"2016","서울특별시",32439,2694,29745
"2016","부산광역시",8106,575,7531
"2016","대구광역시",6114,409,5705
"2016","인천광역시",7286,580,6706
"2016","광주광역시",4278,295,3983
"2016","대전광역시",4494,305,4189
"2016","울산광역시",2724,214,2510
"2016","세종특별자치시",1569,171,1398
"2016","경기도",37661,3196,34465
"2016","강원특별자치도",2929,307,2622
"2016","충청북도",3883,285,3598
"2016","충청남도",4901,446,4455
"2016","전라북도",3664,286,3378
"2016","전라남도",3244,295,2949
"2016","경상북도",5451,387,5064
"2016","경상남도",7488,810,6678
"2016","제주특별자치도",2107,263,1844
"2017","서울특별시",31636,3496,28140
"2017","부산광역시",8009,988,7021
"2017","대구광역시",5956,631,5325
"2017","인천광역시",7221,825,6396
"2017","광주광역시",4213,455,3758
"2017","대전광역시",4628,477,4151
"2017","울산광역시",2840,410,2430
"2017","세종특별자치시",1838,270,1568
"2017","경기도",37955,4428,33527
"2017","강원특별자치도",3132,425,2707
"2017","충청북도",3838,438,3400
"2017","충청남도",4975,627,4348
"2017","전라북도",3719,428,3291
"2017","전라남도",3409,467,2942
"2017","경상북도",5416,657,4759
"2017","경상남도",8805,2258,6547
"2017","제주특별자치도",2198,349,1849
"2018","서울특별시",33161,4809,28352
"2018","부산광역시",8520,1293,7227
"2018","대구광역시",6277,866,5411
"2018","인천광역시",7940,1252,6688
"2018","광주광역시",4669,720,3949
"2018","대전광역시",4648,680,3968
"2018","울산광역시",3145,663,2482
"2018","세종특별자치시",2355,466,1889
"2018","경기도",42016,6520,35496
"2018","강원특별자치도",3637,687,2950
"2018","충청북도",4286,683,3603
"2018","충청남도",5523,931,4592
"2018","전라북도",4028,589,3439
"2018","전라남도",3996,817,3179
"2018","경상북도",5921,970,4951
"2018","경상남도",8563,1892,6671
"2018","제주특별자치도",2500,500,2000
"2019","서울특별시",34314,5554,28760
"2019","부산광역시",8843,1669,7174
"2019","대구광역시",6602,1096,5506
"2019","인천광역시",8787,1722,7065
"2019","광주광역시",4868,963,3905
"2019","대전광역시",4862,937,3925
"2019","울산광역시",3338,871,2467
"2019","세종특별자치시",2681,648,2033
"2019","경기도",44858,8490,36368
"2019","강원특별자치도",3976,838,3138
"2019","충청북도",4564,897,3667
"2019","충청남도",5844,1291,4553
"2019","전라북도",4204,795,3409
"2019","전라남도",4479,989,3490
"2019","경상북도",6177,1279,4898
"2019","경상남도",9371,2548,6823
"2019","제주특별자치도",2743,672,2071
"2020","서울특별시",34105,6671,27434
"2020","부산광역시",9576,2127,7449
"2020","대구광역시",6762,1390,5372
"2020","인천광역시",9280,2268,7012
"2020","광주광역시",5036,1186,3850
"2020","대전광역시",5031,1081,3950
"2020","울산광역시",3450,1013,2437
"2020","세종특별자치시",2909,774,2135
"2020","경기도",47568,10562,37006
"2020","강원특별자치도",4310,1051,3259
"2020","충청북도",4909,1134,3775
"2020","충청남도",6385,1613,4772
"2020","전라북도",4428,980,3448
"2020","전라남도",4694,1112,3582
"2020","경상북도",6625,1583,5042
"2020","경상남도",9504,2595,6909
"2020","제주특별자치도",2904,808,2096
"2021","서울특별시",34477,6974,27503
"2021","부산광역시",9971,2363,7608
"2021","대구광역시",6859,1606,5253
"2021","인천광역시",9217,2362,6855
"2021","광주광역시",5422,1309,4113
"2021","대전광역시",5195,1200,3995
"2021","울산광역시",3663,1109,2554
"2021","세종특별자치시",3333,966,2367
"2021","경기도",49967,11829,38138
"2021","강원특별자치도",4458,1168,3290
"2021","충청북도",5272,1324,3948
"2021","충청남도",6777,1925,4852
"2021","전라북도",4582,1017,3565
"2021","전라남도",4804,1270,3534
"2021","경상북도",6709,1742,4967
"2021","경상남도",9616,2606,7010
"2021","제주특별자치도",2970,857,2113
"2022","서울특별시",37972,8881,29091
"2022","부산광역시",11324,3038,8286
"2022","대구광역시",7889,2029,5860
"2022","인천광역시",11457,3322,8135
"2022","광주광역시",6089,1588,4501
"2022","대전광역시",6299,1662,4637
"2022","울산광역시",4034,1294,2740
"2022","세종특별자치시",3864,1305,2559
"2022","경기도",58662,15295,43367
"2022","강원특별자치도",5480,1627,3853
"2022","충청북도",5886,1626,4260
"2022","충청남도",7788,2441,5347
"2022","전라북도",5350,1456,3894
"2022","전라남도",5465,1626,3839
