지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
21229,2023-01-01 00:00,7.3,283,10.1,1024.2,49,6.2,14.9,2,1.2,.9,6.4,358
21229,2023-01-01 01:00,6.7,280,9,1024.3,53,7.9,15,2.3,1.4,1,5.8,35
21229,2023-01-01 02:00,7.5,275,10.7,1024.3,55,8.1,15,1.8,1.3,.9,7.1,358
21229,2023-01-01 03:00,7.3,287,11.4,1024.3,49,6.2,15,2.1,1.5,1,5.8,331
21229,2023-01-01 04:00,6.5,296,9,1024.4,50,6,15,2.3,1.5,1.1,6.4,334
21229,2023-01-01 05:00,7,285,10.3,1024,55,7.8,15.1,2.4,1.4,1,6.4,349
21229,2023-01-01 06:00,5,302,8.4,1024,53,7.6,15.1,3,1.9,1.4,8,355
21229,2023-01-01 07:00,3.7,281,7.5,1023.9,48,6,15,3.3,2.3,1.7,8,351
21229,2023-01-01 08:00,6,290,10.3,1024,48,6.4,14.7,3.5,2.5,1.8,7.1,353
21229,2023-01-01 09:00,8,298,12.9,1024.2,51,7.9,14.6,3.9,2.5,1.7,8,11
21229,2023-01-01 10:00,7.9,294,11.4,1024.5,53,8,14.8,3.7,2.3,1.6,8,8
21229,2023-01-01 11:00,7.6,296,11.7,1024.9,53,8.1,14.8,4.8,2.2,1.5,7.1,3
21229,2023-01-01 12:00,6.2,298,9.4,1025.4,51,8.1,14.9,4.7,2.8,2,8,3
21229,2023-01-01 13:00,6.1,307,8.9,1025,49,8,15,3.9,2.1,1.5,7.1,359
21229,2023-01-01 14:00,5.6,294,9.5,1024.1,49,7.9,15.1,3.4,2.1,1.5,7.1,6
21229,2023-01-01 15:00,7.1,292,11,1023.3,51,7.9,15,3.1,1.8,1.3,6.4,3
21229,2023-01-01 16:00,7.9,301,12.1,1022.9,50,7.9,15,3,1.7,1.2,6.4,351
21229,2023-01-01 17:00,9.8,303,13.7,1022.8,47,8.2,15,3,1.6,1.2,7.1,337
21229,2023-01-01 18:00,10,307,13.2,1023.3,48,8.5,15,2.9,1.7,1.2,5.8,37
21229,2023-01-01 19:00,8.8,311,13,1023.8,42,8.6,15,3.4,2,1.4,6.4,334
21229,2023-01-01 20:00,9.7,318,15.7,1023.9,49,9,15,3,1.9,1.3,7.1,350
21229,2023-01-01 21:00,9.6,318,14.2,1023.8,47,8.8,15,3.1,1.8,1.3,7.1,3
21229,2023-01-01 22:00,9.2,316,13.4,1023.8,46,8.9,15,3.5,2,1.4,7.1,2
21229,2023-01-01 23:00,9.5,307,13.9,1024.3,46,9,15,3.5,2.3,1.6,6.4,353
21229,2023-01-02 00:00,10.4,322,14.2,1024.5,46,8.5,14.9,3.2,2.3,1.6,6.4,350
21229,2023-01-02 01:00,11.3,320,15.7,1025,51,7.9,14.9,3.1,2.3,1.6,6.4,344
21229,2023-01-02 02:00,12,326,15.7,1025,55,7.5,15,3.8,2.3,1.6,8,344
21229,2023-01-02 03:00,10.9,323,14.7,1025,52,6.9,14.9,3.5,2,1.4,7.1,1
21229,2023-01-02 04:00,9.3,310,13.6,1025.9,48,6.3,15,3.3,2.2,1.6,7.1,348
21229,2023-01-02 05:00,7.6,333,11.4,1025.7,47,6.6,14.9,3.2,1.9,1.4,6.4,349
21229,2023-01-02 06:00,4.5,311,10.3,1025.2,61,6.1,14.9,2.5,1.9,1.3,8,351
21229,2023-01-02 07:00,8.2,349,12.5,1025.5,55,6.9,14.9,2.8,1.8,1.3,7.1,351
21229,2023-01-02 08:00,9,337,12.7,1025.6,51,6.8,14.9,3,1.9,1.4,8,346
21229,2023-01-02 09:00,7.3,323,10.1,1025.9,47,6.4,14.9,3.2,1.9,1.3,6.4,328
21229,2023-01-02 10:00,6.9,320,10.4,1026.1,52,6,14.9,2.7,1.8,1.3,8,342
21229,2023-01-02 11:00,7.9,305,10.4,1026.4,55,5.8,14.9,,1.5,1.1,5.3,311
21229,2023-01-02 12:00,8.5,319,10.7,1026.8,55,5.7,14.9,2.3,1.3,.9,5.8,145
21229,2023-01-02 13:00,7.8,330,10.5,1026.6,56,5.7,15,2.1,1.3,.9,7.1,344
21229,2023-01-02 14:00,9.1,326,12.4,1025.8,58,5.2,15,2.3,1.3,1,7.1,3
21229,2023-01-02 15:00,8.2,322,11.2,1025.1,56,5.5,15,2,1.4,1,6.4,354
