"시점",전체,서울,광역시,중소도시,읍면지역
"시점",전체 (억원),전체 (억원),전체 (억원),전체 (억원),전체 (억원)
"2007",200400,47410,54016,84634,14339
"2008",209095,48258,55401,90785,14650
"2009",216259,52502,51584,91114,21059
"2010",208718,49119,49716,88467,21415
"2011",201266,48018,47021,85577,20649
"2012",190395,43536,48026,83514,15318
"2013",185960,43629,46087,79432,16812
"2014",182297,42771,43717,77823,17986
"2015",178346,41424,42459,78885,15577
"2016",180606,41263,43011,81301,15031
"2017",186703,44017,44940,78752,18993
"2018",194852,44439,45022,87116,18274
"2019",209970,46853,48209,94318,20588
"2020",193532,45758,44381,83143,20251
"2021",234158,52389,53833,102006,25931
"2022",259538,57709,58671,113730,29427
"2023",271144,59154,62038,120404,29548
