"시점",15세이상인구 (천명),경제활동인구 (천명)
"1989",30265,18023
"1990",30887,18539
"1991",31535,19109
"1992",32020,19499
"1993",32526,19806
"1994",33046,20353
"1995",33659,20845
"1996",34274,21288
"1997",34851,21782
"1998",35347,21428
"1999",35757,21665
"2000",36192,22086
"2001",36608,22458
"2002",37014,22939
"2003",37410,23002
"2004",37772,23497
"2005",38120,23665
"2006",38632,23980
"2007",39180,24302
"2008",39775,24507
"2009",40301,24522
"2010",40825,24868
"2011",41387,25293
"2012",41857,25683
"2013",42304,26021
"2014",42795,26733
"2015",43239,27153
"2016",43606,27418
"2017",43931,27748
"2018",44182,27895
"2019",44504,28186
"2020",44785,28012
"2021",45080,28310
"2022",45260,28922
"2023",45407,29203
