,서울,광역시,대도시외,시점
2007-01-31,47410,54016,98973,2007.01
2007-02-28,47480,54131,99511,2007.02
2007-03-31,47551,54246,100050,2007.03
2007-04-30,47622,54362,100588,2007.04
2007-05-31,47692,54477,101127,2007.05
2007-06-30,47763,54593,101665,2007.06
2007-07-31,47834,54708,102204,2007.07
2007-08-31,47904,54823,102742,2007.08
2007-09-30,47975,54939,103281,2007.09
2007-10-31,48046,55054,103819,2007.10
2007-11-30,48116,55170,104358,2007.11
2007-12-31,48187,55285,104896,2007.12
2008-01-31,48258,55401,105435,2008.01
2008-02-29,48611,55082,105996,2008.02
2008-03-31,48965,54764,106558,2008.03
2008-04-30,49319,54446,107119,2008.04
2008-05-31,49672,54128,107681,2008.05
2008-06-30,50026,53810,108242,2008.06
2008-07-31,50380,53492,108804,2008.07
2008-08-31,50733,53174,109365,2008.08
2008-09-30,51087,52856,109927,2008.09
2008-10-31,51441,52538,110488,2008.10
2008-11-30,51794,52220,111050,2008.11
2008-12-31,52148,51902,111611,2008.12
2009-01-31,52502,51584,112173,2009.01
2009-02-28,52220,51428,111982,2009.02
2009-03-31,51938,51272,111791,2009.03
2009-04-30,51656,51117,111600,2009.04
2009-05-31,51374,50961,111409,2009.05
2009-06-30,51092,50805,111218,2009.06
2009-07-31,50810,50650,111027,2009.07
2009-08-31,50528,50494,110836,2009.08
2009-09-30,50246,50338,110645,2009.09
2009-10-31,49964,50183,110454,2009.10
2009-11-30,49682,50027,110263,2009.11
2009-12-31,49400,49871,110072,2009.12
2010-01-31,49119,49716,109882,2010.01
2010-02-28,49027,49491,109577,2010.02
2010-03-31,48935,49266,109272,2010.03
2010-04-30,48843,49042,108968,2010.04
2010-05-31,48752,48817,108663,2010.05
2010-06-30,48660,48593,108358,2010.06
2010-07-31,48568,48368,108054,2010.07
2010-08-31,48476,48143,107749,2010.08
2010-09-30,48385,47919,107444,2010.09
2010-10-31,48293,47694,107140,2010.10
2010-11-30,48201,47470,106835,2010.11
2010-12-31,48109,47245,106530,2010.12
2011-01-31,48018,47021,106226,2011.01
2011-02-28,47644,47104,105609,2011.02
2011-03-31,47271,47188,104993,2011.03
2011-04-30,46897,47272,104377,2011.04
2011-05-31,46524,47356,103761,2011.05
2011-06-30,46150,47439,103145,2011.06
2011-07-31,45777,47523,102529,2011.07
2011-08-31,45403,47607,101912,2011.08
2011-09-30,45030,47691,101296,2011.09
2011-10-31,44656,47774,100680,2011.10
2011-11-30,44283,47858,100064,2011.11
2011-12-31,43909,47942,99448,2011.12
2012-01-31,43536,48026,98832,2012.01
2012-02-29,43543,47864,98616,2012.02
2012-03-31,43551,47702,98400,2012.03
2012-04-30,43559,47541,98185,2012.04
2012-05-31,43567,47379,97969,2012.05
2012-06-30,43574,47218,97753,2012.06
2012-07-31,43582,47056,97538,2012.07
2012-08-31,43590,46894,97322,2012.08
2012-09-30,43598,46733,97106,2012.09
2012-10-31,43605,46571,96891,2012.10
2012-11-30,43613,46410,96675,2012.11
2012-12-31,43621,46248,96459,2012.12
2013-01-31,43629,46087,96244,2013.01
